rail_id,gimmick_1_id,gimmick_1_x,gimmick_2_id,gimmick_2_x,gimmick_3_id,gimmick_3_x,gimmick_4_id,gimmick_4_x,gimmick_5_id,gimmick_5_x,gimmick_6_id,gimmick_6_x,gimmick_7_id,gimmick_7_x,gimmick_8_id,gimmick_8_x,gimmick_9_id,gimmick_9_x,gimmick_10_id,gimmick_10_x
1027,SpeedTerritoryA,400,BeachTrap,630,Balloon,700,EnemyB_NoColl,1700,EnemyA_NoColl,2600,BeachJumpBoard,3100,NONE,0,NONE,0,NONE,0,NONE,0
1028,SpeedTerritoryA,600,AccelBoardA,1400,SummerEnemyD,2300,BeachTrap,2700,AccelBoardA,3200,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1029,SummerEnemyC,500,BeachTrap,1000,SpeedTerritoryA,1700,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1030,WaterMelon,500,AccelBoardA,1500,AccelBoardA,2000,BeachTrap,2500,BeachTrap,2800,SpeedTerritoryA,3500,NONE,0,NONE,0,NONE,0,NONE,0
1031,Balloon,350,SpeedTerritoryA_NoColl,1200,SpeedTerritoryA_NoColl,2200,BeachTrap,2900,SummerEnemyD,3200,AccelBoardA,3500,NONE,0,NONE,0,NONE,0,NONE,0
1032,AccelBoardA,700,SummerEnemyA,1500,SummerEnemyA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1033,BeachTrap,700,AccelBoardA,1400,SummerEnemyA,2200,SpeedTerritoryA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1034,BeachTrap,500,BeachJumpOverTrap,1000,SummerJumpOverEnemyC,2000,SummerJumpOverEnemyD,2500,SummerJumpOverEnemyA,3000,SpeedTerritoryB,3500,NONE,0,NONE,0,NONE,0,NONE,0
1035,BeachJumpOverTrap,400,SummerEnemyC,800,BeachTrap,1200,Balloon,1500,EnemyB_NoColl,2300,BeachTrap_NoColl,2700,EnemyB_NoColl,3100,NONE,0,NONE,0,NONE,0
1036,AccelBoardA,500,SpeedTerritoryA,1200,BeachTrap,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1037,SummerEnemyD,500,AccelBoardA,1000,BeachTrap,2000,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1038,SpeedTerritoryB,500,WaterMelon,1000,AccelBoardA,2200,EnemyB,2700,AccelBoardA,3000,AccelBoardA,3500,NONE,0,NONE,0,NONE,0,NONE,0
1039,SpeedTerritoryA,800,BeachTrap,1700,WarpGateA,2500,NONE,2400,NONE,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1040,EnemyB,500,SummerEnemyC,1000,SummerJumpOverEnemyA,1400,SummerJumpOverEnemyA,1800,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1041,BeachTrap,1000,BeachTrap,1500,AccelBoardA,2000,SummerEnemyC,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1042,BeachTrap,500,BeachTrap,900,AccelBoardA,1300,WaterMelon,1800,SummerJumpOverEnemyA,2700,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0
1043,AccelBoardA,500,SummerEnemyB,1100,AccelBoardA,1500,SummerEnemyC,2200,BeachTrap,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1044,AccelBoardA,500,SummerEnemyB,1400,BeachJumpBoard,2300,SpeedTerritoryB,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1045,EnemyB,1280,AccelBoardA,1900,AccelBoardA,2300,AccelBoardA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1046,AccelBoardA,400,AccelBoardA,900,AccelBoardA,1300,EnemyB,2000,BeachJumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1047,SpeedTerritoryB,700,AccelBoardA,1500,WarpGateA,2400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1048,SummerEnemyD,550,AccelBoardA,1600,BeachTrap,2500,BeachTrap,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1049,SpeedTerritoryB,500,WaterMelon,1000,AccelBoardA,2000,BeachJumpOverTrap,2500,BeachTrap,3000,BeachTrap,3500,NONE,0,NONE,0,NONE,0,NONE,0
1050,BeachJumpOverTrap,600,BeachJumpOverTrap,1200,BeachJumpOverTrap,1800,BeachJumpOverTrap,2400,BeachJumpOverTrap,3000,BeachJumpOverTrap,3600,NONE,0,NONE,0,NONE,0,NONE,0
1051,BeachJumpBoard,500,BeachJumpBoard,1300,BeachJumpBoard,2200,BeachJumpBoard,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1052,BeachJumpBoard,300,BeachJumpBoard,1200,BeachJumpBoard,2100,SpeedTerritoryA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1053,BeachJumpOverTrap,600,BeachJumpOverTrap,1200,BeachJumpOverTrap,1800,BeachTrap,2400,BeachTrap,3000,BeachTrap,3600,NONE,0,NONE,0,NONE,0,NONE,0
1054,BeachJumpBoard,500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1055,BeachJumpBoard,300,BeachJumpBoard,1200,BeachJumpBoard,2100,EnemyB,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1056,BeachJumpOverTrap,600,BeachJumpOverTrap,1200,BeachJumpOverTrap,1800,BeachJumpOverTrap,2400,BeachJumpOverTrap,3000,BeachTrap,3600,NONE,0,NONE,0,NONE,0,NONE,0
1057,BeachJumpBoard,500,BeachJumpBoard,1500,BeachJumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1058,BeachJumpBoard,300,BeachJumpBoard,1200,BeachJumpBoard,2100,SummerEnemyC,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1059,BeachJumpOverTrap,600,BeachJumpOverTrap,1200,BeachJumpOverTrap,1800,BeachJumpOverTrap,2400,BeachTrap,3000,BeachTrap,3600,NONE,0,NONE,0,NONE,0,NONE,0
1060,BeachJumpBoard,1300,BeachJumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1061,BeachJumpBoard,300,BeachJumpBoard,1200,BeachJumpBoard,2100,SummerJumpOverEnemyB,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1062,SummerEnemyD,500,BeachTrap,1200,AccelBoardA,1800,BeachJumpOverTrap,2600,BeachJumpOverTrap,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1063,BeachJumpBoard,700,SpeedTerritoryB,2300,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
9990,AccelBoardA,500,SummerEnemyG,1400,WarpGateA,2000,BeachJumpBoard,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
9991,AccelBoardA,500,BeachTrap,800,BeachTrap,1300,SummerJumpOverEnemyC,2000,EnemyB,2500,NONE,3000,NONE,0,NONE,0,NONE,0,NONE,0
9992,AccelBoardA,500,SummerEnemyD,1100,SummerJumpOverEnemyB,1400,EnemyB,2100,AccelBoardA,2800,BeachTrap,3300,NONE,0,NONE,0,NONE,0,NONE,0
9993,AccelBoardA,500,SummerJumpOverEnemyA,1200,SummerEnemyA,2000,AccelBoardA,2500,SummerEnemyC,3000,SummerEnemyA,3300,SummerEnemyA,3600,NONE,0,NONE,0,NONE,0
9994,WaterMelon,300,SummerJumpOverEnemyA,1000,SummerEnemyG,1500,AccelBoardA,2000,AccelBoardA,2500,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0
9995,SummerJumpOverEnemyA,500,EnemyB,900,BeachJumpOverTrap,1400,SpeedTerritoryA,1700,BeachJumpOverTrap,2600,SummerJumpOverEnemyA,3000,NONE,0,NONE,0,NONE,0,NONE,0
9996,SummerJumpOverEnemyC,400,WarpGateA,700,AccelBoardA,1900,AccelBoardA,2700,SummerEnemyG,3600,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
