area_id,area_name,area_display_name,map_type,sheet_id,que_id,start_time,end_time
12014,"14. Eugenia Hotlands","14. Eugenia Hotlands",101,bgm_M95,bgm_M95,"2021/07/09 13:00:00","2030/12/17 14:59:59"
12015,"15. Thalia Volcano","15. Thalia Volcano",101,bgm_M96,bgm_M96,"2021/08/09 13:00:00","2030/12/17 14:59:59"
12016,"16. Themis Snowpeaks","16. Themis Snowpeaks",101,bgm_M140,bgm_M140,"2021/09/07 13:00:00","2030/12/17 14:59:59"
12017,"17. Fides Icefields","17. Fides Icefields",101,bgm_M141,bgm_M141,"2021/10/12 13:00:00","2030/12/17 14:59:59"
12018,"18. Phaethon Fields (North)","18. Phaethon Fields (North)",102,bgm_M179,bgm_M179,"2021/11/11 13:00:00","2030/12/17 14:59:59"
12019,"19. Phaethon Fields (South)","19. Phaethon Fields (South)",102,bgm_M179,bgm_M179,"2021/12/06 13:00:00","2030/12/17 14:59:59"
12020,"20. Castalia Woods (West)","20. Castalia Woods (West)",102,bgm_M180,bgm_M180,"2022/01/05 13:00:00","2030/12/17 14:59:59"
12021,"21. Castalia Woods (East)","21. Castalia Woods (East)",102,bgm_M180,bgm_M180,"2022/02/01 13:00:00","2030/12/17 14:59:59"
12022,"22. Mathilde Ridges (South)","22. Mathilde Ridges (South)",102,bgm_M232,bgm_M232,"2022/03/01 13:00:00","2030/12/17 14:59:59"
12023,"23. Mathilde Ridges (North)","23. Mathilde Ridges (North)",102,bgm_M232,bgm_M232,"2022/03/23 13:00:00","2030/12/17 14:59:59"
12024,"24. Redius Rockies (West)","24. Redius Rockies (West)",102,bgm_M233,bgm_M233,"2022/04/19 13:00:00","2030/12/17 14:59:59"
12025,"25. Redius Rockies (East)","25. Redius Rockies (East)",102,bgm_M233,bgm_M233,"2022/05/19 13:00:00","2030/12/17 14:59:59"
12026,"26. Petro Forest (West)","26. Petro Forest (West)",102,bgm_M260,bgm_M260,"2022/06/27 13:00:00","2030/12/17 14:59:59"
12027,"27. Petro Forest (East)","27. Petro Forest (East)",102,bgm_M260,bgm_M260,"2022/08/04 13:00:00","2030/12/17 14:59:59"
12028,"28. Diestal Ravine (North)","28. Diestal Ravine (North)",102,bgm_M278,bgm_M278,"2022/09/08 13:00:00","2030/12/17 14:59:59"
12029,"29. Diestal Ravine (South)","29. Diestal Ravine (South)",102,bgm_M278,bgm_M278_E29,"2022/10/13 13:00:00","2030/12/17 14:59:59"
12030,"30. Photella Cliffs (North)","30. Photella Cliffs (North)",102,bgm_M293,bgm_M293,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12031,"31. Photella Cliffs (South)","31. Photella Cliffs (South)",102,bgm_M293,bgm_M293,"2015/12/17 15:00:00","2030/12/17 14:59:59"
13018,"18. Phaethon Fields (North)","18. Phaethon Fields (North)",102,bgm_M179,bgm_M179,"2022/08/04 13:00:00","2030/12/17 14:59:00"
13019,"19. Phaethon Fields (South)","19. Phaethon Fields (South)",102,bgm_M179,bgm_M179,"2022/09/01 08:00:00","2030/12/17 14:59:00"
13020,"20. Castalia Woods (West)","20. Castalia Woods (West)",102,bgm_M180,bgm_M180,"2015/12/17 15:00:00","2030/12/17 14:59:59"
18001,"Sanctum Survey","Sanctum Survey",0,"","","2015/12/17 15:00:00","2030/12/17 14:59:59"
19001,"Temple Trek","Temple Trek",0,"","","2022/08/04 13:00:00","2030/12/17 14:59:00"
21001,"Mana Quests","Mana Quests",0,"","","2015/12/17 15:00:00","2030/12/17 14:59:59"
21002,"EXP Quests","EXP Quests",0,"","","2015/12/17 15:00:00","2030/12/17 14:59:59"
