id,event_id,type,description
40,10011,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
41,10011,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
42,10012,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
43,10012,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
44,10012,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
45,10012,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
46,10013,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
47,10013,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
48,10013,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
49,10013,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
50,10013,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
51,10014,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
52,10014,1,"Progress through enough quests, and you'll encounter a powerful boss.\nYou can battle the boss by spending Boss Tickets.\nDefeating a boss will earn you Victory Medals galore, so don't hold back."
53,10014,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
54,10014,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
55,10015,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
56,10015,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
57,10015,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
58,10015,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
59,10016,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
60,10016,1,"Progress through enough quests, and you'll encounter a powerful boss.\nYou can battle the boss by spending Boss Tickets.\nDefeating a boss will earn you Victory Medals galore, so don't hold back."
61,10016,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
62,10016,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
63,10017,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
64,10017,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
65,10017,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
66,10017,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
67,10017,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
68,10017,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
69,10017,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
70,10018,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
71,10018,1,"Progress through enough quests, and you'll encounter a powerful boss.\nYou can battle the boss by spending Boss Tickets.\nDefeating a boss will earn you Victory Medals galore, so don't hold back."
72,10018,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
73,10018,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1001901,10019,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1001902,10019,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1001903,10019,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1001904,10019,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1001905,10019,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1001906,10019,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
1002001,10020,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002002,10020,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1002003,10020,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002004,10020,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002201,10022,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002202,10022,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1002203,10022,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002204,10022,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002301,10023,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002302,10023,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002303,10023,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002304,10023,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1002305,10023,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
1002306,10023,5,"Some time after her days at St. Theresa's Academy,\nAoi receives a letter from the members\nof the Friendship Club..."
1002307,10023,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1002401,10024,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002402,10024,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002403,10024,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002501,10025,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002502,10025,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1002503,10025,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002504,10025,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002505,10025,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1002506,10025,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1002507,10025,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
1002601,10026,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002602,10026,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1002603,10026,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002604,10026,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002701,10027,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002702,10027,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002703,10027,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002704,10027,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1002705,10027,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1002706,10027,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
1002801,10028,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002802,10028,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002803,10028,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002901,10029,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1002902,10029,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1002903,10029,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1002904,10029,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1002905,10029,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1002906,10029,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1002907,10029,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
1003001,10030,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003002,10030,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1003003,10030,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003004,10030,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003101,10031,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003102,10031,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1003103,10031,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003104,10031,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003105,10031,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1003106,10031,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1003201,10032,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003202,10032,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1003203,10032,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003204,10032,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003301,10033,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003302,10033,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1003303,10033,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003304,10033,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003305,10033,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1003306,10033,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1003307,10033,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
1003401,10034,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003402,10034,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1003403,10034,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003404,10034,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003405,10034,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1003406,10034,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1003501,10035,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003502,10035,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1003503,10035,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003504,10035,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003505,10035,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1003506,10035,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1003601,10036,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003602,10036,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1003603,10036,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003604,10036,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003605,10036,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1003606,10036,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1003701,10037,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003702,10037,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003703,10037,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003704,10037,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1003705,10037,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1003801,10038,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003802,10038,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003803,10038,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003804,10038,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1003805,10038,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1003806,10038,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
1003901,10039,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1003902,10039,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
1003903,10039,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1003904,10039,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1003905,10039,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1003906,10039,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1004001,10040,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
1004002,10040,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
1004003,10040,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
1004004,10040,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
1004005,10040,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1004006,10040,4,"After clearing an event quest or boss, Intimacy Episodes may appear.\nYour intimacy with the character will grow based on your responses,\nand you will earn presents for reaching certain intimacy levels."
100210105,10021,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
100210106,10021,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
100210107,10021,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
100210108,10021,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
100210309,10021,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
100210310,10021,3,"In Exhibition Mode, you can attempt the Special Battle as many times\nas you like. What is more, you can save your battle logs for reference,\nallowing you to explore various methods and devise new strategies."
1000802001,10008,2,"Anna seeks a job at the Canyon Cavern.\nNanaka sets off to purchase some ancient tomes.\nRuka heads to a village to answer a plea for help.\nBut where will these destinations lead them?"
1000802002,10008,2,"Ruka dispatches a thieving thug at the village.\nAs the villagers quake in fear of retribution,\nshe learns of the true villain at the Canyon Cavern.\nMeanwhile, Anna approaches that very place..."
1000802003,10008,2,"Anna begins her job at the Canyon Cavern,\nbut far from the description, it turns out to be\na den of outlaws, harsh conditions, and hard labor.\nMeanwhile, Nanaka heads to meet a merchant..."
1000802004,10008,2,"With the tomes she sought snatched away by a\nvisiting noble, Nanaka heads back empty-handed.\nAmbushed by bandits on the road, she hurries\ntowards the village to meet up with Ruka."
1000802005,10008,2,"Ruka and Nanaka head for the Canyon Cavern\nto check on Anna and confront their true enemy.\nBut Anna stumbles out the cavern in tatters,\nso they decide to retreat together and regroup."
1001002001,10010,2,"This temple exists to offer up and purify the wishes of those who\nvisit. But some wishes can't be fulfilled, causing them to become\ncorporeal and attack its visitors. Yui and co., requested to act as\nsecurity on the premises, to which they accept."
1001002002,10010,2,"Though the crew find themselves incredibly busy due to all the\nvisitors, they get by with the help of those around then. A\ncorporeal wish in search of its parents appears, but is\nsuccessfully purified when Hiyori acts as a surrogate mother for it."
1001002003,10010,2,"Just as the crew find themselves getting used to their work, a\ncorporeal wish that wants to know how to kiss someone\nappears. The shock causes Yui to collapse, leading Mr. Knight to\ncatch and almost kiss her, successfully purifying the wish."
1001002004,10010,2,"Visitors increase as night falls, leaving the crew even busier than\nusual. Another corporeal wish appears, this time in search of\nsomeone who can cheer it up. Rei steps up to the challenge,\nsuccessfully purifying it through her sheer desperation."
1001002005,10010,2,"Having purified a number of wishes at this point, the crew decide\nto take a break. The last few hours of the year contain the highest\ndensity of wishes, however, causing a swarm of them to\nmaterialize and morph into a black mist that envelops the temple."
1001702001,10017,2,"A man named Petelgeuse attacks the Gourmet Guild.\nArriving just in time to defeat this strange Sin Archbishop\nof the Witch Cult, Emilia and her friends bond with our\nheroes and decide to stay at the Sarendia Orphanage."
1001702002,10017,2,"Nightmare's knights take up arms against Petelgeuse,\nsending Christina after him to a certain village.\nHearing of the Archbishop's dangerous deeds from Karyl,\nEmilia and her friends also set out to confront him."
1001702003,10017,2,"As Christina struggles in battle, our heroes arrive.\nIt seems they have the upper hand until Witch Cultists\nappear and stand in their way. Using ice to isolate the\nArchbishop, they prepare for the final showdown!"
1002802001,10028,2,"Anna seeks a job at the Canyon Cavern.\nNanaka sets off to purchase some ancient tomes.\nRuka heads to a village to answer a plea for help.\nBut where will these destinations lead them?"
1002802002,10028,2,"Ruka dispatches a thieving thug at the village.\nAs the villagers quake in fear of retribution,\nshe learns of the true villain at the Canyon Cavern.\nMeanwhile, Anna approaches that very place..."
