chara_id,name,love_level,scale,position_x,position_y,voice_id_1,face_1,serif_1,voice_id_2,face_2,serif_2,voice_id_3,face_3,serif_3
1016,"Suzuna Minami",2,1.4,0,0,0,1,"Sup!\nSuzuna Minami here! ♪",0,1,"I also happen to be a successful amateur model!",0,1,"Hey, whiz-boy!\nSeriously, great vibes! ♪"
1017,"Kaori Kyan",2,1.4,0,0,0,1,"Haitai!\nThe name's Kaori Kyan!",0,1,"Tokyo is like one big amusement park!",0,1,"Okinawa is a real beauty as well!"
1018,"Io Hasekura",2,1.4,0,0,0,1,"I am Io Hasekura.",0,1,"I feel embarrassed\nto be called ""teacher.""",0,1,"Call me Io, okay?"
1020,"Mimi Akane",2,1.5,0,0,0,1,"Huh?\nI don't get it.\nIt's too difficult...",0,1,"Oh! Mister,\nwait up!",0,1,"Don't leave me all by myself!"
1021,"Kurumi Kuribayashi",2,1.5,0,0,0,1,"W-well... um...\nMy name is\nKuri...bayashi\nKurumi...",0,1,Umm...\nUnhhh...,0,1,Waaahhh...
1022,"Yori Kazemiya",2,1.4,0,0,0,1,"I'm Yori Kazemiya.\nOh no!",0,1,"Thank you for spending\nyour valuable time on me.",0,1,"Why thank you so much!"
1023,"Ayane Hojo",2,1.5,0,0,0,1,"Call me Ayane!\nMe and Pukichi will tag\nalong with you!",0,1,"Where are you going, mister?\nHuh?",0,1,"I wanna go over there!\nC'mon, hurry, hurry!"
1025,"Suzume Amano",2,1.4,0,0,0,1,"M-my name...\nis Suzume Amano!",0,1,"I-I lack experience,\nbut I hope to be of service.",0,1,"Something is off about this...\nOh, I'm so sorry!"
1027,"Eriko Kuraishi",2,1.4,0,0,0,1,"Hee hee... I'm\nEriko Kuraishi.",0,1,"You are my soul mate...\nof destiny...",0,1,"I'm not letting go...\never!"
1028,"Saren Sasaki",2,1.4,0,0,0,1,"I'm Saren Sasaki.\nHey, don't you think there's\ntoo much waste in the world?",0,1,"By cutting back on waste,\nwe can live a more frugal life!",0,1,"Isn't that right?"
1029,"Nozomi Sakurai",2,1.4,0,0,0,1,"I'm Nozomi Sakurai!\nPleasure to meet ya!",0,1,"Wait...\nYou don't know who I am?",0,1,"Ahaha!\nGuess I've still got a long way to go!"
1030,"Ninon Joubert",2,1.4,0,0,0,1,Deke-deke-den!,0,1,"Konnichiwa.\nI'm Ninon Joubert!",0,1,"Shogun!\nTogether we will\nunify the country!"
1031,"Shinobu Kamiki",2,1.4,0,0,0,1,"I am Shinobu Kamiki.\nThis skull I am holding\nis my father.",0,1,"But it's here, right next to me...\nWhat? You don't see it?",0,1,"How odd."
1033,"Mahiru Noto",2,1.5,0,0,0,1,"I'm fixin' to be\nthe best darn comedian out there!",0,1,"Can't shake the feelin'\nthat somethin's missin'...",0,1,"Yessiree,\nsomeone with the finest\ncomebacks to my jokes!"
1034,"Yukari Ayase",2,1.4,0,0,0,1,"Hey... I'm Yukari Ayase.\nUmm... Sorry!",0,1,"I just got a little nervous...",0,1,"I...\nI'm gonna go have a drink!"
1036,"Kyoka Hikawa",2,1.5,0,0,0,1,"I'm... Kyoka Hikawa.",0,1,"I'm not supposed to talk to strangers.",0,1,"I have nothing more\nto say!"
1038,"Shiori Kashiwazaki",2,1.4,0,0,0,1,"I'm Shiori... Kashiwazaki.",0,1,"Oh, the alarm.",0,1,"I'm a little weak,\nso I've got to rest\nevery half hour."
1040,"Aoi Futaba",2,1.4,0,0,0,1,"I-I'm Aoi Fu-Futaba.",0,1,"I don't have a single friend...",0,1,"My only friends are\nthe flowers that\nbloom in the wild."
1042,"Chika Misumi",2,1.4,0,0,0,1,"I am Chika Misumi.",0,1,"I just want to\nmake everyone happy\nwith my singing...",0,1,"I believe so."
1043,"Makoto Aki",2,1.4,0,0,0,1,"The name's Makoto Aki.",0,1,"Say what?\nYou're a friend of his?",0,1,"I-I'm sorry for doubting you."
1044,"Illya Ornstein",2,1.4,0,0,0,1,"I am she who rules the night!",0,1,"I speak to all living creatures!",0,1,"Now kneel before\nmy magnificent power!\nHahahah!"
1045,"Kuka Tomi",2,1.4,0,0,0,1,"Then the knight pins the helpless fairy down...",0,1,"Guehehehe... Oh!",0,1,"H-how may I be of service to you?!"
1046,"Tamaki Miyasaka",2,1.4,0,0,0,1,"I'm Tamaki Miyasaki! ♪\nAren't cats paw-some?",0,1,"A kitty's life for me! ♪\nWe sleep, we play,\nwe eat, and fight...",0,1,"Myahah!\nBeing a cat is su-purr! ♪"
1048,"Mifuyu Ogami",2,1.4,0,0,0,1,"I'm Mifuyu Ogami!",0,1,"Well then, let's get started on the quest...",0,1,"Hold on.\nI'll be late for my\npart-time job!\nCatch you later!"
1049,"Shizuru Hoshino",2,1.4,0,0,0,1,"I'm Shizuru Hoshino!",0,1,"Leave the questing, battling,\ncleaning, and laundry to me!",0,1,"I'll take care of everything\nfor you, Little Bro!"
1050,"Misaki Tamaizumi",2,1.5,0,0,0,1,"I am Misaki Tamaizumi.",0,1,"I'm a sexy, young girl,\nas you can see.",0,1,"You know, that super popular kid\nat school, who everyone admires! ♪"
1052,Lima,2,1.4,0,0,0,1,"？？？",0,1,"？？？？",0,1,"？？？？"
1053,"Monika Weisswind",2,1.5,0,0,0,1,"The name's Monika Weisswind.",0,1,"How naive of you to think\nyou could lure me with sweets.",0,1,"I-if you insist,\nI'll take it."
1058,Pecorine,2,1.5,0,0,0,1,"The name's Monika Weisswind.",0,1,"How naive of you to think\nyou could lure me with sweets.",0,1,"I-if you insist,\nI'll take it."
1059,Kokkoro,2,1.5,0,0,0,1,"The name's Monika Weisswind.",0,1,"How naive of you to think\nyou could lure me with sweets.",0,1,"I-if you insist,\nI'll take it."
1060,Karyl,2,1.5,0,0,0,1,"The name's Monika Weisswind.",0,1,"How naive of you to think\nyou could lure me with sweets.",0,1,"I-if you insist,\nI'll take it."
