gacha_id,gacha_detail,gacha_notice,release
10011,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10012,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10013,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10014,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10015,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10016,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10017,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10018,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10019,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10020,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10021,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10022,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10023,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10024,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10025,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10026,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10027,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10028,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10029,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10031,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10032,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10033,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10034,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10035,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10036,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10037,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10038,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
