id,unit_id,use_type,voice_id,face_id,change_time,change_face,description
1007004,100701,1,4,5,7.0,6,"Me, I'm a ghost! So if you mess up and die, I'll still be your friend! Isn't that the bestest? No?"
1007005,100701,1,5,2,3.0,5,"Today's the day! You promised we can go out and play! I'm gonna haunt you alllll day long!"
1007006,100731,1,1,1,0.0,1,"Pudding pudding pudding pudding! Buy me more pudding! Else I might pass on from starvation!"
1007007,100731,1,2,1,0.0,1,"No touching that pudding! That's Miyako's pudding! If you sneak a nibble, Miyako haunts you all night!"
1007008,100731,1,3,1,0.0,1,"Ghosts are for scaring people! That's what we do! C'mon, look a bit more scared!"
1007009,100731,1,4,1,0.0,1,"Grrr! Which do you care about more?! Miyako or pudding?! ...You love both? Wow! That makes sense!"
1007010,100731,1,5,1,0.0,1,"Why's it just me that's a ghost?! You should kick some buckets and be a ghost too! Then we'll be together for ever and ever!"
1007011,100701,2,6,1,5.8,2,"Even ghosts know birthdays are special! So let's have a big birthday pudding party!"
1007012,100731,2,6,1,0.0,1,"Happy birthday! Birthdays are for eating special treats with special friends! So... It's pudding cake day!"
1008001,100801,1,1,1,7.0,2,"Ooh, perfect timing! You'll never believe this, but I just found an angle that makes me look even cuter! Take a look!"
1008002,100801,1,2,5,6.5,2,"When word of my beauty spreads, tourists will come from far and wide to get a glimpse. I'd better make a guidebook!"
1008003,100801,1,3,6,7.0,1,"Help, please! My beauty keeps radiating out! It's out of my control! Help me stop it! No, wait, that would be too cruel!"
1008004,100801,1,4,5,4.5,2,"I hope you appreciate having someone as cute as me by your side! You're basically the luckiest guy in the world!"
1008005,100801,1,5,5,4.0,2,"I stay by your side because that's where I want to be. Not just because you make me look even cuter by comparison!"
1008006,100831,1,1,1,0.0,1,"Alas... All the jewels and treasures in the world pale before my beauty... What a tragic life I lead..."
1008007,100831,1,2,1,0.0,1,"Ahhh, look how beautiful I am! So beautiful, it's like... like... Oh, it's no use! I'd need to create new words to express it!"
1008008,100831,1,3,1,0.0,1,"Don't be embarrassed that you're not as beautiful as me. That's just as natural as the sky being blue."
1008009,100831,1,4,1,0.0,1,"Perhaps someday I'll give you a present more precious than any jewel. I mean myself, of course. Would that make you happy?"
1008010,100831,1,5,1,0.0,1,"The precious joy of having me by your side... The gleaming world we'll create together... Truly, the world is brimming with hope."
1008011,100801,2,6,1,9.9,2,"Happy birthday! You're looking absolutely, positively, undoubtedly splendid today. The second place podium is yours for the taking. ♪"
1008012,100831,2,6,1,0.0,1,"Happy birthday! ♪ My beauty is all yours to admire for the day. I just hope you can fully appreciate it."
1009001,100901,1,1,1,3.5,2,"The time is nigh for you too to reawaken to your past self! My greatest of allies and direst of foes... Sigurd of the Fulgor!"
1009002,100901,1,2,1,2.5,2,"Have you committed my true name to memory? It is I, Annerose von Stechpalm!"
1009003,100901,1,3,4,5.0,3,"Urgh...! My eye burns with the energy of the dark magicks sealed within! ...No, I don't need any eye drops!"
1009004,100901,1,4,1,5.5,2,"Dearest Sigurd... Though this world is not our own, the bond we forged on the battlefield yet endures! Hahahahah!"
1009005,100901,1,5,1,5.0,5,"Join with me, and let us crush the ambitions of the Syndicate! Only once our destiny is fulfilled can we reforge our lost bonds of m-matrimony..."
1009006,100931,1,1,1,0.0,1,"Witness the shape of despair! This is my forbidden art... The Ultimate Magick of Infinite Annihilation!"
1009007,100931,1,2,1,0.0,1,"If you have special techniques of your own, be sure to unleash them with flair! Let me demonstrate..."
1009008,100931,1,3,1,0.0,1,"When the magicks gathered in my accursed eye spark forth, all enemies shall meet their doom!"
1009009,100931,1,4,1,0.0,1,"By purging my defenses, I achieve the ultimate offensive mode! Annihilation Forme! W-wait, stop staring!"
1009010,100931,1,5,1,0.0,1,"Dearest Sigurd... Thanks to you, I have kept sight of my true self. You have... my thanks."
1009011,100901,2,6,1,6.8,2,"On this, the anniversary of your rebirth, I grant you this gift! Behold: the Sigil of the Darkest Knights! Pretty cool, isn't it?"
1009012,100931,2,6,1,0.0,1,"Ah, Sigurd! Happy birthday! For your present, I bestow upon you a journal to record our exploits!\nYou... can actually write, yes?"
1010001,101001,1,1,1,5.5,2,"There ya are, my prince! I just fixed myself some tea, want some?"
1010002,101001,1,2,1,6.0,2,"You oughtta know every girl dreams of livin' in a fairyland. With a Prince Charming by her side, of course!"
1010003,101001,1,3,5,5.5,2,"It's a prince's job to protect his princess, ya know. Any fairy tale could tell you that."
1010004,101001,1,4,1,4.5,2,"If you ever get yourself hurt, I've got a little spell that'll fix you right up. Pain, pain, go away! ♪"
1010005,101001,1,5,1,5.5,2,"First thing I do when I wake up is to say good mornin' to the little birdies outside."
1010006,101031,1,1,1,0.0,1,"Twinkle twinkle hoy!☆ Ooh, looks like we're in a dingy ol' cave... But my magic's brightened the place up! Kinda pretty, ain't it?"
1010007,101031,1,2,1,0.0,1,"You're gonna lead me by the hand? Well gee, that's real lovely of you... I'll light up the way ahead so we can find our way to safety!"
1010008,101031,1,3,1,0.0,1,"As long as we're together, I'll light your way! So don't you let a little dark get you down, my prince!"
1010009,101031,1,4,1,0.0,1,"When I'm with my prince, the whole world's like a fairy tale! Will ya whisk me off on an adventure?"
1010010,101031,1,5,1,0.0,1,"Let's just keep on walkin'! Even if one of us trips up, we'll be fine as long as we're together—right, my prince?"
1010011,101001,2,6,2,4.0,5,"Happy birthday, my prince! Ain't nothin' that makes me happier than spending such an important day together with you. ♪"
1010012,101031,2,6,1,0.0,1,"It's your birthday? Well, ain't that a big event! Big enough that I wanna make today a national holiday in the Maho-Maho Kingdom!"
1011001,101101,1,1,5,4.0,6,"We're siblings even if we aren't blood relatives, big bro. Huh? You don't follow?"
1011002,101101,1,2,1,3.0,6,"60% of the time, I hit my target every time! Huh? That means my aim's bad?!"
1011003,101101,1,3,2,4.0,1,"I'd love to go on a candy shop tour with you one of these days. What do you say?"
1011004,101101,1,4,1,4.0,2,"I feel like I can do anything when you're with me, big bro! Let's keep going!"
1011005,101101,1,5,5,6.0,2,"I feel like our bond has really gotten strong, big bro. I hope you feel the same way."
1011006,101131,1,1,1,0.0,1,"I heard it's ""chili outside"" today. We should go eat some before it's all gone!"
1011007,101131,1,2,1,0.0,1,"I need to work on my aim. I don't wanna look lame in front of my big bro!"
1011008,101131,1,3,1,0.0,1,"They say you should ""learn by chewing."" Can you cook up a treat to help me study?"
1011009,101131,1,4,1,0.0,1,"Hee hee. At the rate I'm going, I'll hit the bull's-eye on your heart soon, big bro!"
1011010,101131,1,5,1,0.0,1,"If anyone lays a finger on you, I'll snipe 'em with this bow, big bro!"
1011011,101101,2,6,1,7.2,2,"Are you having a great birthday? C'mon, Big Bro, special days are for spending with family! Let's throw a proper party together!"
1011012,101131,2,6,1,0.0,1,"Happy birthday! No matter how many years pass or how old we get, you'll always be my big bro, and I'll be your little sister!"
1012001,101201,1,1,2,4.0,1,"If you ever need anything, come straight to me! I'll help out with all my powers!"
1012002,101201,1,2,2,3.0,1,"A good sleep and I'm raring to go! Don't lollygag or I'll leave you in the dust!"
1012003,101201,1,3,4,5.0,5,"*yawn* I'm a little sleepy, but I'm triple-A-okay! Wahey! ☆"
1012004,101201,1,4,2,9.0,6,"*mumble* Shiori, you're so soft and comfy... Huh? Wait, that was you?"
1012005,101201,1,5,5,6.0,2,"Love and peace! I'll take out monsters in one shot with my telekinesis! I'm tough!"
1012006,101231,1,1,1,0.0,1,"Hey, you wanna take a nap next to me? We've got a bed of grass, all warmed up by the sun!"
1012007,101231,1,2,1,0.0,1,"After I use my powers a lot, I recharge with the power of the land! My batteries are full!"
1012008,101231,1,3,1,0.0,1,"Hee hee! Being with you makes me feel all warm and happy inside... And sleepy. *yawn*"
1012009,101231,1,4,1,0.0,1,"*mumble* Feels nice when you're here... Good dreams tonight..."
1012010,101231,1,5,1,0.0,1,"I think I must've had a good dream. You were there. Maybe I saw our future? Hee hee."
1012011,101201,2,6,1,7.2,2,"I can't think of a better present than letting you sleep on my super comfy lap! ☆ Hm? Weird. I'm feeling bit tired myse— Zzz..."
1012012,101231,2,6,1,0.0,1,"Happy birthday! I'll use my superpowers to throw you a big celebratio— Wait. That'll just make me tired, so... *nibble* ♪"
1013001,101301,1,1,1,7.3,2,"I love doing my regular rounds! There's nothing more hype than discovering a rare spellbook! Come on, join me in my world!"
1013002,101301,1,2,2,1.5,5,"Wahah! Gotta bury my face in dakis of my favorite characters! It's the only way to recharge my energy!"
1013003,101301,1,3,1,7.4,2,"I'm a magical girl who defends the peace! And that means protecting all lives equally...\nEven overgrown kids like us!"
1013004,101301,1,4,1,5.2,2,"You're always helping me out, so I oughtta treat you to a meal once in a while! All righty, you can leave the bill to me!"
1013005,101301,1,5,1,4.5,2,"I just want to bring smiles to everyone's faces like a true magical girl should! And that definitely includes you!"
1013006,101331,1,1,1,0.0,1,"Just as despair rears its head, our heroine awakens the power of a new spellbook! Next time: Nanaka Dies in Magma! Don't miss it!"
1013007,101331,1,2,1,0.0,1,"When I try a new spell for the first time, it always sets my heart racing! And if the spell actually works, I'm over the moon!"
1013008,101331,1,3,1,0.0,1,"This spell is my last resort, fueled by my own life force... Haha...\nI'll always live on in your heart...\nAren't scenes like that the best?!"
1013009,101331,1,4,1,0.0,1,"If you and me fight in tandem,\nno enemy stands a chance!\nWe're best buds and comrades!\nOne magical girl in two parts!"
1013010,101331,1,5,1,0.0,1,"My magical girl story wouldn't be complete without you, my trusty partner! We'll become a legend and protect the world together!"
1013011,101301,2,6,2,2.8,1,"Happy birthday! This is my present to you! 185 volumes of my top manga recs! ...Um, you think you can carry them home?"
1013012,101331,2,6,1,0.0,1,"Hey, birthday boy! Take this pair of glasses as a present! Go on,\ntry them on! ...Yep! Perf-tastic!\nYou've never looked sharper!"
1014001,101401,1,1,1,0.0,1,"A new volume of my favorite mystery series is coming out soon! Care to give it a read? I'll lend you the whole set!"
1014002,101401,1,2,1,5.4,2,"What say we spend the day as just friends? An active mind needs some good rest now and then. ♪"
1014003,101401,1,3,4,6.2,1,"Detective work turns your lifestyle upside down, makes you spend whole days walking around, and requires major patience to boot. But you're doing pretty well, I'd say."
1014004,101401,1,4,5,4.8,2,"There's not a case the two of us can't solve if we're together!"
1014005,101401,1,5,1,6.5,5,"I always worked alone before I met you. And to be honest? I much prefer things the way they are now."
1014006,101431,1,1,1,0.0,1,"Woo! You'd best not underestimate the power of Caon's finest detective! ♪"
1014007,101431,1,2,1,0.0,1,"No incident goes unsolved. No perpetrator roams free. The finest detective in the land, Kasumi, is on the case!"
1014008,101431,1,3,1,0.0,1,"I'm not one for violence, but I'm more than willing to take matters into my own hands if the case requires it!"
1014009,101431,1,4,1,0.0,1,"We've reached the point where I consider you an important partner, even outside of our detective work. ♪"
1014010,101431,1,5,1,0.0,1,"A great detective needs a great assistant, and you fill that role perfectly. I'm able to do what I do thanks to your help."
1014011,101401,2,6,1,6.7,5,"It's your special day? Happy birthday! Let's wrap things up for today and throw you a big party!"
1014012,101431,2,6,1,0.0,1,"It's your birthday, so what say you take on the role of detective for the day? So, Mr. Detective! What sort of case are you pursuing today? Hehe. ♪"
1015001,101501,1,1,1,3.0,2,"Aww, did you come to see me? Hee hee. I'm so happy!"
1015002,101501,1,2,1,3.0,2,"What sort of book should I read today? What type is your favorite?"
1015003,101501,1,3,2,1.0,5,"Hee hee. Think of me as something of a surrogate mother."
1015004,101501,1,4,2,0.0,2,"Aww, what a good boy. I'll always be right here by your side. ♪"
1015005,101501,1,5,1,4.0,5,"I'll always be on your side, no matter what happens. So don't be afraid to let yourself be spoiled."
1015006,101531,1,1,1,0.0,1,"If you're ever having a tough time, you can always come to me. I'll be here to help."
1015007,101531,1,2,1,0.0,1,"You're doing such a great job! I'm always watching how hard you work. Good boy!"
1015008,101531,1,3,1,0.0,1,"Oh no, are you hurt? Let me see that. I'll make it better. Pain, pain, go away!"
1015009,101531,1,4,1,0.0,1,"I'll be your personal teacher for the day. Don't tell the kids, of course. Otherwise they might get jealous. ♪"
1015010,101531,1,5,1,0.0,1,"It makes me so happy to hear that you feel at ease around me. There's always a pleasant warmth in my heart when you're around, too."
1015011,101501,2,6,5,10.4,2,"Today is a very special day. Happy birthday! You have no idea how much it means to me to celebrate with you. ♪"
1015012,101531,2,6,1,0.0,1,"Happy birthday! Today's a special day, so feel free to ask for anything you want. I'll spoil you as much as need be."
1016001,101601,1,1,2,2.0,1,"Whattup, whiz-boy? I was hoping you could help me with my math again?"
1016002,101601,1,2,1,5.0,6,"How much of the times table do you know? All of it?! Forget smart, you're a brain genius!"
1016003,101601,1,3,2,4.5,1,"I'm gonna be a model at an event today. You should come and see me!"
1016004,101601,1,4,5,7.0,2,"Talking to you makes me feel, like, warm and relaxed. No, I mean it! Totes for reals!"
1016005,101601,1,5,2,4.0,1,"Whattup, whiz-boy? Wanna eat lunch together? Lemme take you to this hot new spot I found!"
1016006,101631,1,1,1,0.0,1,"My arrow of love will pierce the hearts of all my fans. Including you, of course!"
1016007,101631,1,2,1,0.0,1,"I've got the best new pose for my next shoot. What do you think? Strong but cute, right?"
1016008,101631,1,3,1,0.0,1,"Ooh, the ocean's never looked prettier! Maybe it's because I'm here with a special someone?"
1016009,101631,1,4,1,0.0,1,"My model friends think you're my BF! How funny is that? I mean, not that I'd... Oops!"
1016010,101631,1,5,1,0.0,1,"You don't have to treat me special just 'cause I'm a model. To me, your smarts are cooler!"
1016011,101601,2,6,2,4.0,1,"Happy birthday! I'mma throw you a big birthday bash! That'd kinda make us look like a couple, huh?"
1016012,101631,2,6,1,0.0,1,"It's your birthday today, right? Then let's have a big party with everyone at school! Though it might be even more fun with just the two of us."
1017001,101701,1,1,1,1.5,2,"Haitai! Always feels good to give a lively greeting!"
1017002,101701,1,2,1,3.0,2,"I get things done in my own sweet time! Rushing through life never helped anyone!"
1017003,101701,1,3,5,4.0,2,"Goya and soki and sata andagi! I sure do miss the food from back home!"
1017004,101701,1,4,1,0.0,2,"When I'm adventuring with you, I know everything's gonna be right as rain!"
1017005,101701,1,5,5,4.0,2,"I wanna take you to see my hometown someday! The glistening waves, the sparkling white sand... I know you'll love it!"
1017006,101731,1,1,1,0.0,1,"Haitai! I just know today's gonna be a good one! I'm so excited, I feel like dancing!"
1017007,101731,1,2,1,0.0,1,"With all the great friends I've got, every day's a blast! Sometimes it makes me wanna dance!"
1017008,101731,1,3,1,0.0,1,"Let's take a trip to the beach! Nothing feels better than the water on your skin!"
1017009,101731,1,4,1,0.0,1,"The water feels so great! C'mon, you should join me! I'll hold your hand so you don't fall!"
1017010,101731,1,5,1,0.0,1,"Is anything better than dancing together? C'mon, you should join in too!"
1017011,101701,2,6,1,4.2,2,"Ooh! Is it your birthday today? Then what are we waiting for? Let's get down to celebrating!"
1017012,101731,2,6,1,0.0,1,"Happy birthday to you!\nFor your present, I'll perform\na non-stop birthday dance for\n24 hours straight!"
1018001,101801,1,1,1,9.0,2,"Don't forget, I'm still a teacher! If you need help with language, I'll tutor you! ♪"
1018002,101801,1,2,1,7.5,5,"I teach language arts, but I wish romance novels and shojo manga could be subjects..."
1018003,101801,1,3,1,5.5,2,"I have so many lovely memories of my demon school days. Take time to enjoy these moments!"
1018004,101801,1,4,1,10.0,6,"Homework giving you trouble? I'll help! This sentence means... Hmm? I'm too close?"
1018005,101801,1,5,1,8.0,5,"When we're out together, people always think we're a couple. I guess I don't really mind it, though…"
1018006,101831,1,1,1,0.0,1,"I-I fell down. I need to get it together and be a better teacher, but I'm not there yet."
1018007,101831,1,2,1,0.0,1,"I'm not a token ditz character, you know. I just happen to slip up sometimes. Honestly!"
1018008,101831,1,3,1,0.0,1,"I ran into a monster, but it blushed and fell over when it saw my face. I wonder why."
1018009,101831,1,4,1,0.0,1,"If I trip again, will you help me? Hee hee, I know I'm a teacher, but I keep needing you."
1018010,101831,1,5,1,0.0,1,"I wonder what my first boyfriend will be like? I hope he's like you, and helps when I fall."
1018011,101801,2,6,1,6.2,2,"Well, well. Happy birthday!\nYou're growing up so quickly.\nHere, let Miss Io give you a pat on the head to celebrate!"
1018012,101831,2,6,1,0.0,1,"Here's to the birthday boy!\nI always thought it was the most romantic idea to propose to a guy on the day he comes of age..."
1020001,102001,1,1,5,8.0,2,"Red, white, yellow... Such pretty flowers. ♪ Mr. Bug is buzzing, Mr. Butterfly fluttering! ♪"
1020002,102001,1,2,5,3.5,2,"Mr. Bunny, ♪ Mr. Kitty, ♪\nMr. Doggy! ♪\nThey're all my friends. ♪"
1020003,102001,1,3,1,4.0,2,"Are you going to play with me,\nMr. Nice Guy? Yay! I'm so happy! ♪"
1020004,102001,1,4,5,4.0,2,"Mimi loooves Mr. Nice Guy! And the bunnies and flowers, too!"
1020005,102001,1,5,2,2.5,5,"Mr. Nice Guy is the best! Here's a hug! Now you hug me back!"
1020006,102031,1,1,1,0.0,1,"Mr. Mini-Gryphon is sooo fast! Whoosh! Hurry up, Mr. Nice Guy! ♪"
1020007,102031,1,2,1,0.0,1,"I'm gonna make a flower crown. ♪ All for Mr. Nice Guy. ♪"
1020008,102031,1,3,1,0.0,1,"Papa, Mama and my friends,\nthe critters and flowers,\nand Mr. Nice Guy!\nThey're all my favorite things. ♪"
1020009,102031,1,4,1,0.0,1,"This is my secret flower garden! But I'll tell you all about it, Mr. Nice Guy. After all, you're the best!"
1020010,102031,1,5,1,0.0,1,"Mimi and Mr. Mini-Gryphon both love Mr. Nice Guy. ♪ I'm glad we're together! ♪"
1020011,102001,2,6,2,2.7,5,"Happy birthday! ♪\nI wanna grow up fast so I can be Mr. Nice Guy's big sister. ♪"
1020012,102031,2,6,1,0.0,1,"I'll sing you a birthday song. La la-la-la la la! ♪ Happy birthday, Mr. Nice Guy! ♪ You're the bestest ever! ♪"
1021001,102101,1,1,1,0.0,2,"I feel a lot less nervous when I'm around you. *giggle* I give in to your kindness."
1021002,102101,1,2,2,7.0,1,"H-hey, I was wondering. How come you're always so nice to me?"
1021003,102101,1,3,1,7.0,5,"I'm doing speech training so I can talk to others better. She sells seashells..."
1021004,102101,1,4,1,4.5,2,"H-hey, wanna play house? I'll be the mom, and you be the dad!"
1021005,102101,1,5,2,0.0,2,"Hee hee! You came to play with me again! I'm so happy!"
1021006,102131,1,1,1,0.0,1,"So, umm... No, it's nothing! Never mind! Sorry to bug you..."
1021007,102131,1,2,1,0.0,1,"*whine* D-do I have something on my face? Please don't stare like that!"
1021008,102131,1,3,1,0.0,1,"I want to keep practicing in this forest for a while... I couldn't bear showing anyone until I improve…"
1021009,102131,1,4,1,0.0,1,"*whimper* Don't stare at me... Oh, umm, but I don't want you to not look at me, either."
1021010,102131,1,5,1,0.0,1,"Umm, you see... I like to act out scenes and plays. It'd be nice if you'd watch me."
1021011,102101,2,6,5,5.6,2,"H-happy birthday! D-do you mind if I... give you this present?"
1021012,102131,2,6,1,0.0,1,"Happy b-birthday!\nUm, it... it'd be nice if we could celebrate together..."
1022001,102201,1,1,2,5.5,1,"S-so, umm, I wanted to ask you if... Uhh, on second thought, never mind!"
1022002,102201,1,2,5,9.0,1,"A new game goes on sale today. If you want, we could play it t-tog... I can't!"
1022003,102201,1,3,2,4.5,1,"With you I can kinda sorta talk okay, but I want to be able to do it better."
1022004,102201,1,4,2,4.5,5,"It feels normal being around you now. That's not special? I sure think it is."
1022005,102201,1,5,5,5.5,6,"Want to go shopping? Okay, good practice. Let's do this. Ack! D-did you overhear me?!"
