id,discription,type_1,type_2,type_3,type_4
9311,"Princess Arena timed rewards obtained over the possession limit.",0,0,0,0
9312,"Princess Arena rewards obtained over the possession limit.",0,0,0,0
9313,"Character exchange rewards obtained over the possession limit.",0,0,0,0
9314,"Item converted from character exchange points when the Gacha updated.",0,0,0,0
9315,"Coins converted from stamina.",0,0,0,0
9316,"Item converted from Special Gala Exchange Points.",0,0,0,0
9317,"Reward obtained from friend support.",0,0,0,0
9318,"Special Exchange Ticket rewards obtained over the possession limit.",0,0,0,0
9319,"Item obtained upon purchase.",0,0,0,0
9401,"Daily Jewel Pack",0,0,0,0
9402,"7-Day Stamina Support Pack",0,0,0,0
9403,"Item obtained by purchasing Equipment Pack 1.",0,0,0,0
9404,"Item obtained by purchasing Equipment Pack 2.",0,0,0,0
9405,"Item obtained by purchasing Equipment Pack 3.",0,0,0,0
9406,"Item obtained by purchasing Equipment Pack 4.",0,0,0,0
9407,"Item obtained by purchasing New Player Support Pack.",0,0,0,0
9408,"Item obtained by purchasing Heavenly Ephemera Pack.",0,0,0,0
9409,"Item obtained by purchasing Equipment Pack 1 (Restocked).",0,0,0,0
9410,"Item obtained by purchasing Equipment Pack 2 (Restocked).",0,0,0,0
9411,"Item obtained by purchasing Equipment Pack 3 (Restocked).",0,0,0,0
9412,"Item obtained by purchasing Equipment Pack 4 (Restocked).",0,0,0,0
9413,"Item obtained by purchasing Equipment Pack 5.",0,0,0,0
9414,"Item obtained by purchasing Equipment Pack 6.",0,0,0,0
9501,"Item obtained from the event login bonus day {1}.",13,2,0,0
9502,"Item obtained for clearing event quest for the first time.",13,0,0,0
9503,"Item obtained for clearing event quest {1}.",13,14,0,0
9504,"Item obtained for defeating event boss {1} for the first time.",13,15,0,0
9505,"Item obtained for battling the event boss {1}.",13,15,0,0
9506,"Item obtained for completing event missions.",13,0,0,0
9507,"Item obtained from {1}.",13,12,0,0
9508,"Item obtained from {0}.",13,0,0,0
9509,"Item obtained for solving a riddle.",0,0,0,0
9510,"Item obtained from {0}.",18,0,0,0
9516,"Item obtained from the revival event login bonus day {1}.",13,2,0,0
9600,"Item obtained from a minigame.",0,0,0,0
9700,"Ranking reward earned in Attack of the Robo Lima!",0,0,0,0
9701,"Attack reward earned in Attack of the Robo Lima!",0,0,0,0
9702,"Item obtained from the Final Battle of Landosol.",0,0,0,0
9800,"A present in celebration of a character’s birthday.",0,0,0,0
9801,"Celebrating 100 wonderful days!",0,0,0,0
9802,"Celebrating 150K Social Media Followers!",0,0,0,0
9803,"Celebrating Princess Connect! Re: Dive at the Virtual Crunchyroll Expo!",0,0,0,0
9804,"A present in celebration of Japan's National Rice Day",0,0,0,0
9805,"Celebrating 5M Downloads!",0,0,0,0
9806,"Halloween Login Bonus",0,0,0,0
9807,"Gourmet Feast Login Bonus",0,0,0,0
9808,"Winter Login Bonus",0,0,0,0
9809,"Pre-Anniversary Giveaway",0,0,0,0
9810,"Special present campaign",0,0,0,0
9811,"1 year Anniv. Special gift",0,0,0,0
9812,"Item obtained from 1,500 Jewel Gift (Anime Season 2).",0,0,0,0
9813,"Beginner’s Support Mana Giveaway",0,0,0,0
9814,"Spring 200k Followers Login Bonus",0,0,0,0
9815,"“Re:ZERO -Starting Life in Another World-” Collab Login Bonus",0,0,0,0
9816,"Gift of Gratitude Giveaway",0,0,0,0
9817,"Summer Celebration Giveaway",0,0,0,0
9818,"Gourmet Guild Appreciation",0,0,0,0
9819,"Twinkle Wish Appreciation",0,0,0,0
9820,"Beach Getaway Login Bonus",0,0,0,0
9821,"Countdown to 1.5-Year Anniversary!",0,0,0,0
9822,"1.5-Year Anniversary Present",0,0,0,0
9823,"Summer Splash Celebration",0,0,0,0
9824,"Celebrating Princess Connect at CRX 2022",0,0,0,0
9825,"Leveling Booster Present",0,0,0,0
9826,"Skill Description Update Present",0,0,0,0
9827,"Priconne Summer Jewel Festival",0,0,0,0
9828,"Autumn Celebration Giveaway",0,0,0,0
9829,"Halloween Jewel giveaway",0,0,0,0
9830,"Winter Jewel giveaway",0,0,0,0
9831,"Final Battle of Landosol Support Present",0,0,0,0
9832,"Main Story Part 2 Present",0,0,0,0
9833,"2-Year Pre-Anniversary Bonus Present",0,0,0,0
9834,"2-Year Anniversary Present",0,0,0,0
9835,"2-Year Pre-Anniversary Present",0,0,0,0
9836,"Starlight Princess Re:M@STER! Present",0,0,0,0
