event_id,mode,recommended_level,purpose_type,purpose_count,trigger_hp,story_id_mode_start,story_id_mode_end,wave_group_id,unnecessary_defeat_chara,story_start_second,action_start_second,hp_gauge_color_flag,start_idle_trigger,appear_time,detail_boss_bg_size,detail_boss_bg_height,detail_boss_motion
10027,1,145,1,0,60,5027321,5027322,610027004,0,5.5,5.0,1,600,3.0,1.25,-50.0,""
10027,2,145,2,0,0,0,5027323,610027005,610027501,1.5,5.0,1,600,0.0,1.25,-50.0,""
10027,3,145,1,0,0,0,0,610027006,0,1.5,5.0,1,0,0.0,1.25,-50.0,""
10029,1,145,2,0,0,5029321,5029322,610029004,610029401,5.5,5.0,1,600,3.0,1.5,0.0,""
10029,2,145,1,0,60,0,5029323,610029005,0,1.5,5.0,1,0,0.0,1.5,0.0,""
10029,3,145,1,0,0,0,0,610029006,0,1.5,5.0,1,0,0.0,1.5,0.0,""
10031,1,150,2,0,0,5031321,5031322,610031004,610031401,5.5,5.0,1,600,3.0,1.25,-50.0,""
10031,2,150,1,0,50,0,5031323,610031005,0,1.5,5.0,1,0,0.0,1.25,-50.0,""
10031,3,150,1,0,0,0,0,610031006,0,1.5,5.0,1,0,0.0,1.25,-50.0,""
10033,1,150,1,0,50,5033321,5033322,610033004,0,5.5,5.0,1,600,3.0,1.25,-50.0,""
10033,2,150,2,0,0,0,5033323,610033005,610033402,1.5,5.0,1,600,0.0,1.25,-50.0,""
10033,3,150,1,0,0,0,0,610033006,0,1.5,5.0,1,0,0.0,1.25,-50.0,""
10034,1,90,1,0,70,5011321,5011322,610034004,0,1.5,5.0,1,0,0.0,1.4,0.0,""
10034,2,90,1,0,40,0,5011323,610034005,0,1.5,5.0,1,0,0.0,1.4,0.0,""
10034,3,90,1,0,0,0,0,610034006,0,1.5,5.0,1,0,0.0,1.4,0.0,""
10035,1,155,2,0,0,5035321,5035322,610035004,610035401,5.5,5.0,1,600,3.0,2.5,5.0,""
10035,2,155,2,0,0,0,5035323,610035005,610035402,1.5,5.0,1,600,0.0,2.5,5.0,""
10035,3,155,1,0,0,0,0,610035006,0,1.5,5.0,1,0,0.0,2.5,5.0,""
10036,1,155,1,0,75,5036321,5036322,610036004,0,5.5,5.0,1,600,3.0,0.4,-50.0,""
10036,2,155,1,0,20,0,5036323,610036005,0,1.5,5.0,1,600,0.0,0.4,-50.0,""
10036,3,155,1,0,0,0,0,610036006,0,1.5,5.0,1,0,0.0,0.4,-50.0,""
10037,1,90,2,0,0,0,5012321,610037004,610037401,1.5,5.0,1,600,3.0,1.5,-50.0,""
10037,2,90,1,0,53,0,5012322,610037005,0,1.5,5.0,1,0,0.0,1.5,-50.0,""
10037,3,90,1,0,0,0,0,610037006,0,1.5,5.0,1,0,0.0,1.5,-50.0,""
10038,1,155,2,0,0,5038321,5038322,610038004,610038401,5.5,5.0,1,600,3.0,1.8,-20.0,""
10038,2,155,1,0,55,0,5038323,610038005,0,1.5,5.0,1,0,0.0,2.0,-20.0,310700_detail_idle
10038,3,155,1,0,0,0,0,610038006,0,1.5,5.0,1,0,0.0,1.8,-20.0,""
