event_boss_treasure_box_id,treasure_type_1,event_boss_treasure_content_id_1,each_odds_1,treasure_type_2,event_boss_treasure_content_id_2,each_odds_2,treasure_type_3,event_boss_treasure_content_id_3,each_odds_3,treasure_type_4,event_boss_treasure_content_id_4,each_odds_4,treasure_type_5,event_boss_treasure_content_id_5,each_odds_5,treasure_type_6,event_boss_treasure_content_id_6,each_odds_6,treasure_type_7,event_boss_treasure_content_id_7,each_odds_7,treasure_type_8,event_boss_treasure_content_id_8,each_odds_8,treasure_type_9,event_boss_treasure_content_id_9,each_odds_9,treasure_type_10,event_boss_treasure_content_id_10,each_odds_10
10011301,6,1001130101,100,1,1001130102,100,1,1001130104,100,1,1001130104,100,1,1001130104,100,1,1001130104,100,1,1001130104,34,1,1001130104,33,1,1001130103,100,0,0,0
10011401,6,1001140101,100,1,1001140102,100,1,1001140103,100,1,1001140104,100,1,1001140105,100,1,1001140106,100,1,1001140107,100,1,1001140108,100,1,1001140109,100,1,1001140110,100
10012101,1,1001210101,100,1,1001210103,100,1,1001210103,34,1,1001210103,33,1,1001210102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012201,6,1001220101,3,6,1001220102,3,1,1001220103,100,1,1001220105,100,1,1001220105,100,1,1001220105,100,1,1001220105,100,1,1001220105,34,1,1001220105,33,1,1001220104,100
10012301,6,1001230101,100,1,1001230102,100,1,1001230104,100,1,1001230104,100,1,1001230104,100,1,1001230104,100,1,1001030104,34,1,1001230104,33,1,1001230103,100,0,0,0
10012401,6,1001240101,100,1,1001240102,100,1,1001240103,100,1,1001240104,100,1,1001240105,100,1,1001240106,100,1,1001040107,100,1,1001240108,100,1,1001240109,100,1,1001240110,100
10013101,1,1001310101,100,1,1001310103,100,1,1001310103,34,1,1001310103,33,1,1001310102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013201,6,1001320101,3,6,1001320102,3,1,1001320103,100,1,1001320105,100,1,1001320105,100,1,1001320105,100,1,1001320105,100,1,1001320105,34,1,1001320105,33,1,1001320104,100
10013301,6,1001330101,100,1,1001330102,100,1,1001330104,100,1,1001330104,100,1,1001330104,100,1,1001330104,100,1,1001330104,34,1,1001330104,33,1,1001330103,100,0,0,0
10013401,6,1001340101,100,1,1001340102,100,1,1001340103,100,1,1001340104,100,1,1001340105,100,1,1001340106,100,1,1001340107,100,1,1001340108,100,1,1001340109,100,1,1001340110,100
10014101,1,1001410101,100,1,1001410103,100,1,1001410103,34,1,1001410103,33,1,1001410102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10014201,6,1001420101,3,6,1001420102,3,1,1001420103,100,1,1001420105,100,1,1001420105,100,1,1001420105,100,1,1001420105,100,1,1001420105,34,1,1001420105,33,1,1001420104,100
10014301,6,1001430101,100,1,1001430102,100,1,1001430104,100,1,1001430104,100,1,1001430104,100,1,1001430104,100,1,1001430104,34,1,1001430104,33,1,1001430103,100,0,0,0
10015101,1,1001510101,100,1,1001510103,100,1,1001510103,34,1,1001510103,33,1,1001510102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015201,6,1001520101,3,6,1001520102,3,1,1001520103,100,1,1001520105,100,1,1001520105,100,1,1001520105,100,1,1001520105,100,1,1001520105,34,1,1001520105,33,1,1001520104,100
10015301,6,1001530101,100,1,1001530102,100,1,1001530104,100,1,1001530104,100,1,1001530104,100,1,1001530104,100,1,1001530104,34,1,1001530104,33,1,1001530103,100,0,0,0
10015401,6,1001540101,100,1,1001540102,100,1,1001540103,100,1,1001540104,100,1,1001540105,100,1,1001540106,100,1,1001540107,100,1,1001540108,100,1,1001540109,100,1,1001540110,100
10016101,1,1001610101,100,1,1001610103,100,1,1001610103,34,1,1001610103,33,1,1001610102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016201,6,1001620101,3,6,1001620102,3,1,1001620103,100,1,1001620105,100,1,1001620105,100,1,1001620105,100,1,1001620105,100,1,1001620105,34,1,1001620105,33,1,1001620104,100
10016301,6,1001630101,100,1,1001630102,100,1,1001630104,100,1,1001630104,100,1,1001630104,100,1,1001630104,100,1,1001630104,34,1,1001630104,33,1,1001630103,100,0,0,0
10017101,1,1001710101,100,1,1001710103,100,1,1001710103,34,1,1001710103,33,1,1001710102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017201,6,1001720101,3,6,1001720102,3,1,1001720103,100,1,1001720105,100,1,1001720105,100,1,1001720105,100,1,1001720105,100,1,1001720105,34,1,1001720105,33,1,1001720104,100
10017301,6,1001730101,100,1,1001730102,100,1,1001730104,100,1,1001730104,100,1,1001730104,100,1,1001730104,100,1,1001730104,34,1,1001730104,33,1,1001730103,100,0,0,0
10017401,6,1001740101,100,1,1001740102,100,1,1001740103,100,1,1001740104,100,1,1001740105,100,1,1001740106,100,1,1001740107,100,1,1001740108,100,1,1001740109,100,1,1001740110,100
10018101,1,1001810101,100,1,1001810103,100,1,1001810103,34,1,1001810103,33,1,1001810102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018201,6,1001820101,3,6,1001820102,3,1,1001820103,100,1,1001820105,100,1,1001820105,100,1,1001820105,100,1,1001820105,100,1,1001820105,34,1,1001820105,33,1,1001820104,100
10018301,6,1001830101,100,1,1001830102,100,1,1001830104,100,1,1001830104,100,1,1001830104,100,1,1001830104,100,1,1001830104,34,1,1001830104,33,1,1001830103,100,0,0,0
10019101,1,1001910101,100,1,1001910103,100,1,1001910103,34,1,1001910103,33,1,1001910102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019201,6,1001920101,3,6,1001920102,3,1,1001920103,100,1,1001920105,100,1,1001920105,100,1,1001920105,100,1,1001920105,100,1,1001920105,34,1,1001920105,33,1,1001920104,100
10019301,6,1001930101,100,1,1001930102,100,1,1001930104,100,1,1001930104,100,1,1001930104,100,1,1001930104,100,1,1001930104,34,1,1001930104,33,1,1001930103,100,0,0,0
10019401,6,1001940101,100,1,1001940102,100,1,1001940103,100,1,1001940104,100,1,1001940105,100,1,1001940106,100,1,1001940107,100,1,1001940108,100,1,1001940109,100,1,1001940110,100
10020101,1,1002010101,100,1,1002010103,100,1,1002010103,34,1,1002010103,33,1,1002010102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020201,6,1002020101,3,6,1002020102,3,1,1002020103,100,1,1002020105,100,1,1002020105,100,1,1002020105,100,1,1002020105,100,1,1002020105,34,1,1002020105,33,1,1002020104,100
10020301,6,1002030101,100,1,1002030102,100,1,1002030104,100,1,1002030104,100,1,1002030104,100,1,1002030104,100,1,1002030104,34,1,1002030104,33,1,1002030103,100,0,0,0
10021101,1,1002110101,100,1,1002110103,100,1,1002110103,34,1,1002110103,33,1,1002110102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021201,6,1002120101,3,6,1002120102,3,1,1002120103,100,1,1002120105,100,1,1002120105,100,1,1002120105,100,1,1002120105,100,1,1002120105,34,1,1002120105,33,1,1002120104,100
10021301,6,1002130101,100,1,1002130102,100,1,1002130104,100,1,1002130104,100,1,1002130104,100,1,1002130104,100,1,1002130104,34,1,1002130104,33,1,1002130103,100,0,0,0
10021401,6,1002140101,100,1,1002140102,100,1,1002140103,100,1,1002140104,100,1,1002140105,100,1,1002140106,100,1,1002140107,100,1,1002140108,100,1,1002140109,100,1,1002140110,100
10022101,1,1002210101,100,1,1002210103,100,1,1002210103,34,1,1002210103,33,1,1002210102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022201,6,1002220101,3,6,1002220102,3,1,1002220103,100,1,1002220105,100,1,1002220105,100,1,1002220105,100,1,1002220105,100,1,1002220105,34,1,1002220105,33,1,1002220104,100
10022301,6,1002230101,100,1,1002230102,100,1,1002230104,100,1,1002230104,100,1,1002230104,100,1,1002230104,100,1,1002230104,34,1,1002230104,33,1,1002230103,100,0,0,0
10023101,1,1002310101,100,1,1002310103,100,1,1002310103,34,1,1002310103,33,1,1002310102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10023201,6,1002320101,3,6,1002320102,3,1,1002320103,100,1,1002320105,100,1,1002320105,100,1,1002320105,100,1,1002320105,100,1,1002320105,34,1,1002320105,33,1,1002320104,100
10023301,6,1002330101,100,1,1002330102,100,1,1002330104,100,1,1002330104,100,1,1002330104,100,1,1002330104,100,1,1002330104,34,1,1002330104,33,1,1002330103,100,0,0,0
10023401,6,1002340101,100,1,1002340102,100,1,1002340103,100,1,1002340104,100,1,1002340105,100,1,1002340106,100,1,1002340107,100,1,1002340108,100,1,1002340109,100,1,1002340110,100
10024101,1,1002410101,100,1,1002410103,100,1,1002410103,34,1,1002410103,33,1,1002410102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024201,6,1002420101,3,6,1002420102,3,1,1002420103,100,1,1002420105,100,1,1002420105,100,1,1002420105,100,1,1002420105,100,1,1002420105,34,1,1002420105,33,1,1002420104,100
10024301,6,1002430101,100,1,1002430102,100,1,1002430104,100,1,1002430104,100,1,1002430104,100,1,1002430104,100,1,1002430104,34,1,1002430104,33,1,1002430103,100,0,0,0
10025101,1,1002510101,100,1,1002510103,100,1,1002510103,34,1,1002510103,33,1,1002510102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025201,6,1002520101,3,6,1002520102,3,1,1002520103,100,1,1002520105,100,1,1002520105,100,1,1002520105,100,1,1002520105,100,1,1002520105,34,1,1002520105,33,1,1002520104,100
10025301,6,1002530101,100,1,1002530102,100,1,1002530104,100,1,1002530104,100,1,1002530104,100,1,1002530104,100,1,1002530104,34,1,1002530104,33,1,1002530103,100,0,0,0
10025401,6,1002540101,100,1,1002540102,100,1,1002540103,100,1,1002540104,100,1,1002540105,100,1,1002540106,100,1,1002540107,100,1,1002540108,100,1,1002540109,100,1,1002540110,100
10026101,1,1002610101,100,1,1002610103,100,1,1002610103,34,1,1002610103,33,1,1002610102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026201,6,1002620101,3,6,1002620102,3,1,1002620103,100,1,1002620105,100,1,1002620105,100,1,1002620105,100,1,1002620105,100,1,1002620105,34,1,1002620105,33,1,1002620104,100
10026301,6,1002630101,100,1,1002630102,100,1,1002630104,100,1,1002630104,100,1,1002630104,100,1,1002630104,100,1,1002630104,34,1,1002630104,33,1,1002630103,100,0,0,0
10027101,1,1002710101,100,1,1002710103,100,1,1002710103,34,1,1002710103,33,1,1002710102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027201,6,1002720101,3,6,1002720102,3,1,1002720103,100,1,1002720105,100,1,1002720105,100,1,1002720105,100,1,1002720105,100,1,1002720105,34,1,1002720105,33,1,1002720104,100
10027301,6,1002730101,100,1,1002730102,100,1,1002730104,100,1,1002730104,100,1,1002730104,100,1,1002730104,100,1,1002730104,34,1,1002730104,33,1,1002730103,100,0,0,0
10027401,6,1002740101,100,1,1002740102,100,1,1002740103,100,1,1002740104,100,1,1002740105,100,1,1002740106,100,1,1002740107,100,1,1002740108,100,1,1002740109,100,1,1002740110,100
10028101,1,1002810101,100,1,1002810103,100,1,1002810103,34,1,1002810103,33,1,1002810102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028201,6,1002820101,3,6,1002820102,3,1,1002820103,100,1,1002820105,100,1,1002820105,100,1,1002820105,100,1,1002820105,100,1,1002820105,34,1,1002820105,33,1,1002820104,100
10028301,6,1002830101,100,1,1002830102,100,1,1002830104,100,1,1002830104,100,1,1002830104,100,1,1002830104,100,1,1002830104,34,1,1002830104,33,1,1002830103,100,0,0,0
10029101,1,1002910101,100,1,1002910103,100,1,1002910103,34,1,1002910103,33,1,1002910102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029201,6,1002920101,3,6,1002920102,3,1,1002920103,100,1,1002920105,100,1,1002920105,100,1,1002920105,100,1,1002920105,100,1,1002920105,34,1,1002920105,33,1,1002920104,100
10029301,6,1002930101,100,1,1002930102,100,1,1002930104,100,1,1002930104,100,1,1002930104,100,1,1002930104,100,1,1002930104,34,1,1002930104,33,1,1002930103,100,0,0,0
10029401,6,1002940101,100,1,1002940102,100,1,1002940103,100,1,1002940104,100,1,1002940105,100,1,1002940106,100,1,1002940107,100,1,1002940108,100,1,1002940109,100,1,1002940110,100
10030101,1,1003010101,100,1,1003010103,100,1,1003010103,34,1,1003010103,33,1,1003010102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10030201,6,1003020101,3,6,1003020102,3,1,1003020103,100,1,1003020105,100,1,1003020105,100,1,1003020105,100,1,1003020105,100,1,1003020105,34,1,1003020105,33,1,1003020104,100
10030301,6,1003030101,100,1,1003030102,100,1,1003030104,100,1,1003030104,100,1,1003030104,100,1,1003030104,100,1,1003030104,34,1,1003030104,33,1,1003030103,100,0,0,0
10031101,1,1003110101,100,1,1003110103,100,1,1003110103,34,1,1003110103,33,1,1003110102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10031201,6,1003120101,3,6,1003120102,3,1,1003120103,100,1,1003120105,100,1,1003120105,100,1,1003120105,100,1,1003120105,100,1,1003120105,34,1,1003120105,33,1,1003120104,100
10031301,6,1003130101,100,1,1003130102,100,1,1003130104,100,1,1003130104,100,1,1003130104,100,1,1003130104,100,1,1003130104,34,1,1003130104,33,1,1003130103,100,0,0,0
10031401,6,1003140101,100,1,1003140102,100,1,1003140103,100,1,1003140104,100,1,1003140105,100,1,1003140106,100,1,1003140107,100,1,1003140108,100,1,1003140109,100,1,1003140110,100
10032101,1,1003210101,100,1,1003210103,100,1,1003210103,34,1,1003210103,33,1,1003210102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032201,6,1003220101,3,6,1003220102,3,1,1003220103,100,1,1003220105,100,1,1003220105,100,1,1003220105,100,1,1003220105,100,1,1003220105,34,1,1003220105,33,1,1003220104,100
10032301,6,1003230101,100,1,1003230102,100,1,1003230104,100,1,1003230104,100,1,1003230104,100,1,1003230104,100,1,1003230104,34,1,1003230104,33,1,1003230103,100,0,0,0
10033101,1,1003310101,100,1,1003310103,100,1,1003310103,34,1,1003310103,33,1,1003310102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10033201,6,1003320101,3,6,1003320102,3,1,1003320103,100,1,1003320105,100,1,1003320105,100,1,1003320105,100,1,1003320105,100,1,1003320105,34,1,1003320105,33,1,1003320104,100
10033301,6,1003330101,100,1,1003330102,100,1,1003330104,100,1,1003330104,100,1,1003330104,100,1,1003330104,100,1,1003330104,34,1,1003330104,33,1,1003330103,100,0,0,0
10033401,6,1003340101,100,1,1003340102,100,1,1003340103,100,1,1003340104,100,1,1003340105,100,1,1003340106,100,1,1003340107,100,1,1003340108,100,1,1003340109,100,1,1003340110,100
10034101,1,1003410101,100,1,1003410103,100,1,1003410103,34,1,1003410103,33,1,1003410102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10034201,6,1003420101,3,6,1003420102,3,1,1003420103,100,1,1003420105,100,1,1003420105,100,1,1003420105,100,1,1003420105,100,1,1003420105,34,1,1003420105,33,1,1003420104,100
10034301,6,1003430101,100,1,1003430102,100,1,1003430104,100,1,1003430104,100,1,1003430104,100,1,1003430104,100,1,1003430104,34,1,1003430104,33,1,1003430103,100,0,0,0
10034401,6,1003440101,100,1,1003440102,100,1,1003440103,100,1,1003440104,100,1,1003440105,100,1,1003440106,100,1,1003440107,100,1,1003440108,100,1,1003440109,100,1,1003440110,100
10035101,1,1003510101,100,1,1003510103,100,1,1003510103,34,1,1003510103,33,1,1003510102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035201,6,1003520101,3,6,1003520102,3,1,1003520103,100,1,1003520105,100,1,1003520105,100,1,1003520105,100,1,1003520105,100,1,1003520105,34,1,1003520105,33,1,1003520104,100
10035301,6,1003530101,100,1,1003530102,100,1,1003530104,100,1,1003530104,100,1,1003530104,100,1,1003530104,100,1,1003530104,34,1,1003530104,33,1,1003530103,100,0,0,0
10035401,6,1003540101,100,1,1003540102,100,1,1003540103,100,1,1003540104,100,1,1003540105,100,1,1003540106,100,1,1003540107,100,1,1003540108,100,1,1003540109,100,1,1003540110,100
10036101,1,1003610101,100,1,1003610103,100,1,1003610103,34,1,1003610103,33,1,1003610102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036201,6,1003620101,3,6,1003620102,3,1,1003620103,100,1,1003620105,100,1,1003620105,100,1,1003620105,100,1,1003620105,100,1,1003620105,34,1,1003620105,33,1,1003620104,100
10036301,6,1003630101,100,1,1003630102,100,1,1003630104,100,1,1003630104,100,1,1003630104,100,1,1003630104,100,1,1003630104,34,1,1003630104,33,1,1003630103,100,0,0,0
10036401,6,1003640101,100,1,1003640102,100,1,1003640103,100,1,1003640104,100,1,1003640105,100,1,1003640106,100,1,1003640107,100,1,1003640108,100,1,1003640109,100,1,1003640110,100
10037101,1,1003710101,100,1,1003710103,100,1,1003710103,34,1,1003710103,33,1,1003710102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10037201,6,1003720101,3,6,1003720102,3,1,1003720103,100,1,1003720105,100,1,1003720105,100,1,1003720105,100,1,1003720105,100,1,1003720105,34,1,1003720105,33,1,1003720104,100
10037301,6,1003730101,100,1,1003730102,100,1,1003730104,100,1,1003730104,100,1,1003730104,100,1,1003730104,100,1,1003730104,34,1,1003730104,33,1,1003730103,100,0,0,0
10037401,6,1003740101,100,1,1003740102,100,1,1003740103,100,1,1003740104,100,1,1003740105,100,1,1003740106,100,1,1003740107,100,1,1003740108,100,1,1003740109,100,1,1003740110,100
10038101,1,1003810101,100,1,1003810103,100,1,1003810103,34,1,1003810103,33,1,1003810102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10038201,6,1003820101,3,6,1003820102,3,1,1003820103,100,1,1003820105,100,1,1003820105,100,1,1003820105,100,1,1003820105,100,1,1003820105,34,1,1003820105,33,1,1003820104,100
10038301,6,1003830101,100,1,1003830102,100,1,1003830104,100,1,1003830104,100,1,1003830104,100,1,1003830104,100,1,1003830104,34,1,1003830104,33,1,1003830103,100,0,0,0
10038401,6,1003840101,100,1,1003840102,100,1,1003840103,100,1,1003840104,100,1,1003840105,100,1,1003840106,100,1,1003840107,100,1,1003840108,100,1,1003840109,100,1,1003840110,100
10039101,1,1003910101,100,1,1003910103,100,1,1003910103,34,1,1003910103,33,1,1003910102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10039201,6,1003920101,3,6,1003920102,3,1,1003920103,100,1,1003920105,100,1,1003920105,100,1,1003920105,100,1,1003920105,100,1,1003920105,34,1,1003920105,33,1,1003920104,100
10039301,6,1003930101,100,1,1003930102,100,1,1003930104,100,1,1003930104,100,1,1003930104,100,1,1003930104,100,1,1003930104,34,1,1003930104,33,1,1003930103,100,0,0,0
10039401,6,1003940101,100,1,1003940102,100,1,1003940103,100,1,1003940104,100,1,1003940105,100,1,1003940106,100,1,1003940107,100,1,1003940108,100,1,1003940109,100,1,1003940110,100
10040101,1,1004010101,100,1,1004010103,100,1,1004010103,34,1,1004010103,33,1,1004010102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10040201,6,1004020101,3,6,1004020102,3,1,1004020103,100,1,1004020105,100,1,1004020105,100,1,1004020105,100,1,1004020105,100,1,1004020105,34,1,1004020105,33,1,1004020104,100
10040301,6,1004030101,100,1,1004030102,100,1,1004030104,100,1,1004030104,100,1,1004030104,100,1,1004030104,100,1,1004030104,34,1,1004030104,33,1,1004030103,100,0,0,0
10040401,6,1004040101,100,1,1004040102,100,1,1004040103,100,1,1004040104,100,1,1004040105,100,1,1004040106,100,1,1004040107,100,1,1004040108,100,1,1004040109,100,1,1004040110,100
10041101,1,1004110101,100,1,1004110103,100,1,1004110103,34,1,1004110103,33,1,1004110102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10041201,6,1004120101,3,6,1004120102,3,1,1004120103,100,1,1004120105,100,1,1004120105,100,1,1004120105,100,1,1004120105,100,1,1004120105,34,1,1004120105,33,1,1004120104,100
10041301,6,1004130101,100,1,1004130102,100,1,1004130104,100,1,1004130104,100,1,1004130104,100,1,1004130104,100,1,1004130104,34,1,1004130104,33,1,1004130103,100,0,0,0
10041401,6,1004140101,100,1,1004140102,100,1,1004140103,100,1,1004140104,100,1,1004140105,100,1,1004140106,100,1,1004140107,100,1,1004140108,100,1,1004140109,100,1,1004140110,100
