wave_group_id,dps_of_time_over_0,dps_of_time_over_30,dps_of_time_over_60
401042911,40000,40000,40000
401042921,40000,40000,40000
401042931,40000,40000,40000
401042941,40000,40000,40000
401042951,40000,40000,40000
401042961,40000,40000,40000
401042971,40000,40000,40000
401042981,40000,40000,40000
401042991,40000,40000,40000
401043001,40000,40000,40000
401043011,40000,40000,40000
401043021,40000,40000,40000
401043031,40000,40000,40000
401043041,40000,40000,40000
401043051,40000,40000,40000
401043111,40000,40000,40000
401043121,40000,40000,40000
401043131,40000,40000,40000
401043141,40000,40000,40000
401043151,40000,40000,40000
401043161,40000,40000,40000
401043171,40000,40000,40000
401043181,40000,40000,40000
401043191,40000,40000,40000
401043201,40000,40000,40000
401043211,40000,40000,40000
401043221,40000,40000,40000
401043231,40000,40000,40000
401043241,40000,40000,40000
401043251,40000,40000,40000
401043261,40000,40000,40000
401043271,40000,40000,40000
401043281,40000,40000,40000
401043291,40000,40000,40000
401043301,40000,40000,40000
401043311,40000,40000,40000
401043321,40000,40000,40000
401043331,40000,40000,40000
401043341,40000,40000,40000
401043351,40000,40000,40000
401043361,40000,40000,40000
401043371,40000,40000,40000
401043381,40000,40000,40000
401043391,40000,40000,40000
401043401,40000,40000,40000
401043461,40000,40000,40000
401043471,40000,40000,40000
401043481,40000,40000,40000
401043491,40000,40000,40000
401043501,40000,40000,40000
401043511,40000,40000,40000
401043521,40000,40000,40000
401043531,40000,40000,40000
401043541,40000,40000,40000
401043551,40000,40000,40000
401043561,40000,40000,40000
401043571,40000,40000,40000
401043581,40000,40000,40000
401043591,40000,40000,40000
401043601,40000,40000,40000
401043611,40000,40000,40000
401043621,40000,40000,40000
401043631,40000,40000,40000
401043641,40000,40000,40000
401043651,40000,40000,40000
401043661,40000,40000,40000
401043671,40000,40000,40000
401043681,40000,40000,40000
401043691,40000,40000,40000
401043701,40000,40000,40000
401043711,40000,40000,40000
401043721,40000,40000,40000
401043731,40000,40000,40000
401043741,40000,40000,40000
401043751,40000,40000,40000
401043761,40000,40000,40000
401043771,40000,40000,40000
401043781,40000,40000,40000
401043791,40000,40000,40000
401043801,40000,40000,40000
401043811,40000,40000,40000
401043821,40000,40000,40000
401043831,40000,40000,40000
401043841,40000,40000,40000
401043851,40000,40000,40000
401043861,40000,40000,40000
401043871,40000,40000,40000
401043881,40000,40000,40000
401043891,40000,40000,40000
401043901,40000,40000,40000
401043911,40000,40000,40000
401043921,40000,40000,40000
401043931,40000,40000,40000
401043941,40000,40000,40000
401043951,40000,40000,40000
401043961,40000,40000,40000
401043971,40000,40000,40000
401043981,40000,40000,40000
401043991,40000,40000,40000
401044001,40000,40000,40000
401044011,40000,40000,40000
401044021,40000,40000,40000
401044031,40000,40000,40000
401044041,40000,40000,40000
401044051,40000,40000,40000
401044061,40000,40000,40000
401044071,40000,40000,40000
401044081,40000,40000,40000
401044091,40000,40000,40000
401044101,40000,40000,40000
401044111,40000,40000,40000
401044121,40000,40000,40000
401044131,40000,40000,40000
401044141,40000,40000,40000
401044151,40000,40000,40000
401044161,40000,40000,40000
401044171,40000,40000,40000
401044181,40000,40000,40000
401044191,40000,40000,40000
401044201,40000,40000,40000
401044211,40000,40000,40000
401044221,40000,40000,40000
401044231,40000,40000,40000
401044241,40000,40000,40000
401044251,40000,40000,40000
401044261,40000,40000,40000
401044271,40000,40000,40000
401044281,40000,40000,40000
401044291,40000,40000,40000
401044301,40000,40000,40000
401044311,40000,40000,40000
401044321,40000,40000,40000
401044331,40000,40000,40000
401044341,40000,40000,40000
401044351,40000,40000,40000
401044361,40000,40000,40000
401044371,40000,40000,40000
401044381,40000,40000,40000
401044391,40000,40000,40000
401044401,40000,40000,40000
401044411,40000,40000,40000
401044421,40000,40000,40000
401044431,40000,40000,40000
401044441,40000,40000,40000
401044451,40000,40000,40000
401044461,40000,40000,40000
401044471,40000,40000,40000
401044481,40000,40000,40000
401044491,40000,40000,40000
401044501,40000,40000,40000
401044511,40000,40000,40000
401044521,40000,40000,40000
401044531,40000,40000,40000
401044541,40000,40000,40000
401044551,40000,40000,40000
401044561,40000,40000,40000
401044571,40000,40000,40000
401044581,40000,40000,40000
401044591,40000,40000,40000
401044601,40000,40000,40000
401044611,40000,40000,40000
401044621,40000,40000,40000
401044631,40000,40000,40000
401044641,40000,40000,40000
401044651,40000,40000,40000
401044661,40000,40000,40000
401044671,40000,40000,40000
401044681,40000,40000,40000
401044691,40000,40000,40000
401044701,40000,40000,40000
401044711,40000,40000,40000
401044721,40000,40000,40000
401044731,40000,40000,40000
401044741,40000,40000,40000
401044751,40000,40000,40000
401044761,40000,40000,40000
401044771,40000,40000,40000
401044781,40000,40000,40000
401044791,40000,40000,40000
401044801,40000,40000,40000
