daily_mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
61008002,102,601,"Clear 10 event quests",9004,0,0,0,10,61008002,6004,10008,"2021/10/28 23:00:00","2021/11/11 22:59:59"
61009001,101,601,"Battle Foggy 1 time (Any Difficulty)",9012,0,0,0,1,61009001,6008,10009,"2021/11/22 23:00:00","2021/12/06 22:59:59"
61009002,102,601,"Clear 10 event quests",9004,0,0,0,10,61009002,6004,10009,"2021/11/22 23:00:00","2021/12/06 22:59:59"
61010001,101,601,"Battle Mochifiend Gummy 1 time (Any Difficulty)",9012,0,0,0,1,61010001,6008,10010,"2021/12/20 23:00:00","2022/01/03 22:59:59"
61010002,102,601,"Clear 10 event quests",9004,0,0,0,10,61010002,6004,10010,"2021/12/20 23:00:00","2022/01/03 22:59:59"
61011001,101,601,"Battle Ugly Lovely 1 time (Any Difficulty)",9012,0,0,0,1,61011001,6008,10011,"2022/01/18 23:00:00","2022/02/01 22:59:59"
61011002,102,601,"Clear 10 event quests",9004,0,0,0,10,61011002,6004,10011,"2022/01/18 23:00:00","2022/02/01 22:59:59"
61011003,103,601,"Defeat Ugly Lovely 1 time (Any Difficulty)",9011,0,0,0,1,61011003,6008,10011,"2022/01/18 23:00:00","2022/02/01 22:59:59"
61012001,101,601,"Battle the Goddess of Woe 1 time (Any Difficulty)",9012,0,0,0,1,61012001,6008,10012,"2022/02/14 23:00:00","2022/03/01 22:59:59"
61012002,102,601,"Clear 10 event quests",9004,0,0,0,10,61012002,6004,10012,"2022/02/14 23:00:00","2022/03/01 22:59:59"
61013001,101,601,"Battle Core Gigas 1 time (Any Difficulty)",9012,0,0,0,1,61013001,6008,10013,"2022/03/10 23:00:00","2022/03/23 22:59:59"
61013002,102,601,"Clear 10 event quests",9004,0,0,0,10,61013002,6004,10013,"2022/03/10 23:00:00","2022/03/23 22:59:59"
61014001,101,601,"Battle Ziz 1 time (Any Difficulty)",9012,0,0,0,1,61014001,6008,10014,"2022/03/24 23:00:00","2022/03/30 22:59:59"
61014002,102,601,"Clear 10 event quests",9004,0,0,0,10,61014002,6004,10014,"2022/03/24 23:00:00","2022/03/30 22:59:59"
61015001,101,601,"Battle Evil Magistrate 1 time (Any Difficulty)",9012,0,0,0,1,61015001,6008,10015,"2022/04/05 23:00:00","2022/04/16 22:59:59"
61015002,102,601,"Clear 10 event quests",9004,0,0,0,10,61015002,6004,10015,"2022/04/05 23:00:00","2022/04/16 22:59:59"
61016001,101,601,"Battle Alma 1 time (NORMAL/HARD)",9012,0,0,0,1,61016001,6008,10016,"2022/04/18 23:00:00","2022/04/25 22:59:59"
61016002,102,601,"Clear 10 event quests",9004,0,0,0,10,61016002,6004,10016,"2022/04/18 23:00:00","2022/04/25 22:59:59"
61017001,101,601,"Battle Petelgeuse 1 time (Any Difficulty)",9012,0,0,0,1,61017001,6008,10017,"2022/05/02 23:00:00","2022/05/14 22:59:59"
61017002,102,601,"Clear 10 event quests",9004,0,0,0,10,61017002,6004,10017,"2022/05/02 23:00:00","2022/05/14 22:59:59"
61018001,101,601,"Battle Garoog 1 time (NORMAL/HARD)",9012,0,0,0,1,61018001,6008,10018,"2022/05/15 23:00:00","2022/05/24 22:59:59"
61018002,102,601,"Clear 10 event quests",9004,0,0,0,10,61018002,6004,10018,"2022/05/15 23:00:00","2022/05/24 22:59:59"
61019001,101,601,"Battle the Great Rain God 1 time (Any Difficulty)",9012,0,0,0,1,61019001,6008,10019,"2022/06/01 23:00:00","2022/06/15 22:59:59"
61019002,102,601,"Clear 10 event quests",9004,0,0,0,10,61019002,6004,10019,"2022/06/01 23:00:00","2022/06/15 22:59:59"
61020001,101,601,"Battle Tentapus 1 time (Any Difficulty)",9012,0,0,0,1,61020001,6008,10020,"2022/06/19 23:00:00","2022/06/27 22:59:59"
61020002,102,601,"Clear 10 event quests",9004,0,0,0,10,61020002,6004,10020,"2022/06/19 23:00:00","2022/06/27 22:59:59"
61021001,101,601,"Battle Majimun 1 time (Any Difficulty)",9012,0,0,0,1,61021001,6008,10021,"2022/07/04 23:00:00","2022/07/17 22:59:59"
61021002,102,601,"Clear 10 event quests",9004,0,0,0,10,61021002,6004,10021,"2022/07/04 23:00:00","2022/07/17 22:59:59"
61022001,101,601,"Battle the Island Whale 1 time (Any Difficulty)",9012,0,0,0,1,61022001,6008,10022,"2022/07/19 23:00:00","2022/07/25 22:59:59"
61022002,102,601,"Clear 10 event quests",9004,0,0,0,10,61022002,6004,10022,"2022/07/19 23:00:00","2022/07/25 22:59:59"
61023001,101,601,"Battle the Toxic Mandragora 1 time (Any Difficulty)",9012,0,0,0,1,61023001,6008,10023,"2022/08/04 23:00:00","2022/08/18 22:59:59"
61023002,102,601,"Clear 10 event quests",9004,0,0,0,10,61023002,6004,10023,"2022/08/04 23:00:00","2022/08/18 22:59:59"
61024001,101,601,"Battle the Living Mail 1 time (Any Difficulty)",9012,0,0,0,1,61024001,6008,10024,"2022/08/19 23:00:00","2022/08/25 22:59:59"
61024002,102,601,"Clear 10 event quests",9004,0,0,0,10,61024002,6004,10024,"2022/08/19 23:00:00","2022/08/25 22:59:59"
61025001,101,601,"Battle Phantom Baron 1 time (Any Difficulty)",9012,0,0,0,1,61025001,6008,10025,"2022/09/01 23:00:00","2022/09/15 22:59:59"
61025002,102,601,"Clear 10 event quests",9004,0,0,0,10,61025002,6004,10025,"2022/09/01 23:00:00","2022/09/15 22:59:59"
61026001,101,601,"Battle Jack-o-Pudding 1 time (Any Difficulty)",9012,0,0,0,1,61026001,6008,10026,"2022/09/17 23:00:00","2022/09/24 22:59:59"
61026002,102,601,"Clear 10 event quests",9004,0,0,0,10,61026002,6004,10026,"2022/09/17 23:00:00","2022/09/24 22:59:59"
61027001,101,601,"Battle the Pseudo-Dragon 1 time (Any Difficulty)",9012,0,0,0,1,61027001,6008,10027,"2022/10/02 23:00:00","2022/10/16 22:59:59"
61027002,102,601,"Clear 10 event quests",9004,0,0,0,10,61027002,6004,10027,"2022/10/02 23:00:00","2022/10/16 22:59:59"
61028001,101,601,"Battle Olam 1 time (Any Difficulty)",9012,0,0,0,1,61028001,6008,10028,"2022/10/17 23:00:00","2022/10/25 22:59:59"
61028002,102,601,"Clear 10 event quests",9004,0,0,0,10,61028002,6004,10028,"2022/10/17 23:00:00","2022/10/25 22:59:59"
61029001,101,601,"Battle Reindeer Vendetta 1 time (Any Difficulty)",9012,0,0,0,1,61029001,6008,10029,"2022/11/01 23:00:00","2022/11/15 22:59:59"
61029002,102,601,"Clear 10 event quests",9004,0,0,0,10,61029002,6004,10029,"2022/11/01 23:00:00","2022/11/15 22:59:59"
61030001,101,601,"Battle Foggy 1 time (Any Difficulty)",9012,0,0,0,1,61030001,6008,10030,"2022/11/17 23:00:00","2022/11/24 22:59:59"
61030002,102,601,"Clear 10 event quests",9004,0,0,0,10,61030002,6004,10030,"2022/11/17 23:00:00","2022/11/24 22:59:59"
61031001,101,601,"Battle the Mountain God 1 time (Any Difficulty)",9012,0,0,0,1,61031001,6008,10031,"2022/12/03 23:00:00","2022/12/17 22:59:59"
61031002,102,601,"Clear 10 event quests",9004,0,0,0,10,61031002,6004,10031,"2022/12/03 23:00:00","2022/12/17 22:59:59"
61032001,101,601,"Battle Mochifiend Gummy 1 time (Any Difficulty)",9012,0,0,0,1,61032001,6008,10032,"2022/12/18 23:00:00","2022/12/25 22:59:59"
61032002,102,601,"Clear 10 event quests",9004,0,0,0,10,61032002,6004,10032,"2022/12/18 23:00:00","2022/12/25 22:59:59"
61033001,101,601,"Battle the Antibeast 1 time (Any Difficulty)",9012,0,0,0,1,61033001,6008,10033,"2023/01/04 23:00:00","2023/01/17 22:59:59"
61033002,102,601,"Clear 10 event quests",9004,0,0,0,10,61033002,6004,10033,"2023/01/04 23:00:00","2023/01/17 22:59:59"
61034001,10034101,601,"Battle Ugly Lovely 1 time (Any Difficulty)",9012,0,0,0,1,61034001,6008,10034,"2023/01/18 23:00:00","2023/01/25 22:59:59"
61034002,10034102,601,"Clear 10 event quests",9004,0,0,0,10,61034002,6004,10034,"2023/01/18 23:00:00","2023/01/25 22:59:59"
61035001,10035101,601,"Battle a boss 1 time (Part 1 or 2 / Any Difficulty)",9012,0,0,0,1,61035001,6008,10035,"2023/02/01 23:00:00","2023/02/22 22:59:59"
61035002,10035102,601,"Clear 10 event quests (Part 1 or 2)",9004,0,0,0,10,61035002,6004,10035,"2023/02/01 23:00:00","2023/02/22 22:59:59"
61037001,10037101,601,"Battle the Goddess of Woe 1 time (Any Difficulty)",9012,0,0,0,1,61037001,6008,10037,"2023/02/18 23:00:00","2023/02/25 22:59:59"
61037002,10037102,601,"Clear 10 event quests",9004,0,0,0,10,61037002,6004,10037,"2023/02/18 23:00:00","2023/02/25 22:59:59"
