unit_id,unit_name,class_id,pre_unit_id,condition_type_1,condition_type_detail_1,condition_id_1,count_1,condition_type_2,condition_type_detail_2,condition_id_2,count_2,condition_type_3,condition_type_detail_3,condition_id_3,count_3,condition_type_4,condition_type_detail_4,condition_id_4,count_4,condition_type_5,condition_type_detail_5,condition_id_5,count_5,release_effect_type
103001,Ninon,1,0,1,2,31030,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
103101,"Shinobu Kamiki",1,0,1,2,31031,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103201,"Akino Todo",1,0,1,2,31032,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
103301,"Mahiru Noto",1,0,1,2,31033,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103401,"Yukari Ayase",1,0,1,2,31034,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103601,"Kyoka Hikawa",1,0,1,2,31036,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
103701,"Tomo Mikuma",1,0,1,2,31037,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
103801,"Shiori Kashiwazaki",1,0,1,2,31038,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104001,"Aoi Futaba",1,0,1,2,31040,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104201,"Chika Misumi",1,0,1,2,31042,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104301,"Makoto Aki",1,0,1,2,31043,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
104401,Illya,1,0,1,2,31044,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
104501,"Kuka Tomi",1,0,1,2,31045,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104601,"Tamaki Miyasaka",1,0,1,2,31046,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104701,"Jun Shirogane",1,0,1,2,31047,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104801,"Mifuyu Ogami",1,0,1,2,31048,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104901,"Shizuru Hoshino",1,0,1,2,31049,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105001,"Misaki Tamaizumi",1,0,1,2,31050,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105101,"Mitsuki Yoigahama",1,0,1,2,31051,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105201,Lima,1,0,1,2,31052,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105301,Monika,1,0,1,2,31053,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105401,"Tsumugi Mayumiya",1,0,1,2,31054,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105501,"Ayumi Ishibashi",1,0,1,2,31055,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105601,Ruka,1,0,1,2,31056,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105701,Djeeta,1,0,1,2,31057,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105801,Pecorine,1,0,1,2,31058,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105901,Kokkoro,1,0,1,2,31059,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106001,Karyl,1,0,1,2,31060,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106101,Muimi,1,0,1,2,31061,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106301,Arisa,1,0,1,2,31063,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106501,Kaya,1,0,1,2,31065,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
107001,Neneka,1,0,1,2,31070,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
107101,Christina,1,0,1,2,31071,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
107501,"Pecorine (Summer)",1,0,1,2,31075,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107601,"Kokkoro (Summer)",1,0,1,2,31076,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107701,"Suzume (Summer)",1,0,1,2,31077,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
107801,"Karyl (Summer)",1,0,1,2,31078,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107901,"Tamaki (Summer)",1,0,1,2,31079,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108001,"Mifuyu (Summer)",1,0,1,2,31080,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108101,"Shinobu (Halloween)",1,0,1,2,31081,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108201,"Miyako (Halloween)",1,0,1,2,31082,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108301,"Misaki (Halloween)",1,0,1,2,31083,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108401,"Chika (Holiday)",1,0,1,2,31084,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108501,"Kurumi (Holiday)",1,0,1,2,31085,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108601,"Ayane (Holiday)",1,0,1,2,31086,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108701,"Hiyori (New Year)",1,0,1,2,31087,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108801,"Yui (New Year)",1,0,1,2,31088,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108901,"Rei (New Year)",1,0,1,2,31089,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109001,"Eriko (Valentine)",1,0,1,2,31090,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109101,"Shizuru (Valentine)",1,0,1,2,31091,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109201,Anne,1,0,1,2,31092,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109301,Lou,1,0,1,2,31093,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109401,Grea,1,0,1,2,31094,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109501,"Kuka (Oedo)",1,0,1,2,31095,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109601,"Ninon (Oedo)",1,0,1,2,31096,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109701,Rem,1,0,1,2,31097,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109801,Ram,1,0,1,2,31098,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109901,Emilia,1,0,1,2,31099,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110001,"Suzuna (Summer)",1,0,1,2,31100,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110101,"Io (Summer)",1,0,1,2,31101,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110301,"Saren (Summer)",1,0,1,2,31103,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110401,"Makoto (Summer)",1,0,1,2,31104,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110501,"Kaori (Summer)",1,0,1,2,31105,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110601,"Maho (Summer)",1,0,1,2,31106,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110701,"Aoi (Student)",1,0,1,2,31107,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110801,Chloe,1,0,1,2,31108,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111101,"Kyoka (Halloween)",1,0,1,2,31111,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111201,"Misogi (Halloween)",1,0,1,2,31112,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111301,"Mimi (Halloween)",1,0,1,2,31113,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111401,Luna,1,0,1,2,31114,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111501,"Christina (Holiday)",1,0,1,2,31115,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111601,"Nozomi (Holiday)",1,0,1,2,31116,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111701,"Illya (Holiday)",1,0,1,2,31117,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
112001,"Karyl (New Year)",1,0,1,2,31120,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
112101,"Suzume (New Year)",1,0,1,2,31121,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
