id,wave_group_id,odds,enemy_id_1,enemy_id_2,enemy_id_3,enemy_id_4,enemy_id_5
710000068,710100681,100,710006805,710006803,710006802,710006801,710006804
710000069,710100691,100,710006904,710006903,710006901,710006902,710006905
710000070,710100701,100,710007002,710007002,710007004,710007001,710007003
710000071,710200711,100,710007101,710007102,710007103,710007104,710007105
710000072,710200721,100,710007201,710007202,710007203,710007204,710007205
710000073,710200731,100,710007301,710007302,710007303,710007304,710007305
710000074,710200741,100,710007401,710007402,710007403,710007404,710007405
710000075,710200751,100,710007501,710007503,710007502,710007504,710007505
710000076,710200761,100,710007601,710007602,710007603,710007604,710007605
710000077,710200771,100,710007702,710007701,710007703,710007704,710007705
710000078,710200781,100,710007801,710007802,710007803,710007804,710007805
710000079,710200791,100,710007901,710007903,710007902,710007904,710007905
710000080,710200801,100,710008001,710008001,710008002,710008003,710008004
710000081,710200811,100,710008101,710008102,710008103,710008104,710008105
710000082,710200821,100,710008201,710008202,710008203,710008204,710008205
710000083,710200831,100,710008301,710008302,710008303,710008304,710008305
710000084,710200841,100,710008401,710008402,710008403,710008404,710008405
710000085,710200851,100,710008501,710008502,710008503,710008504,710008505
710000086,710200861,100,710008601,710008602,710008603,710008604,710008605
710000087,710200871,100,710008701,710008703,710008702,710008704,710008705
710000088,710200881,100,710008801,710008802,710008803,710008804,710008805
710000089,710200891,100,710008901,710008902,710008903,710008904,710008905
710000090,710200901,100,710009001,710009001,710009002,710009003,710009004
710000091,710200911,100,710009101,710009102,710009103,710009104,710009105
710000092,710200921,100,710009201,710009202,710009203,710009204,710009205
710000093,710200931,100,710009301,710009302,710009304,710009303,710009305
710000094,710200941,100,710009401,710009402,710009403,710009404,710009405
710000095,710200951,100,710009501,710009504,710009502,710009503,710009505
710000096,710200961,100,710009601,710009602,710009603,710009604,710009605
710000097,710200971,100,710009701,710009702,710009703,710009704,710009705
710000098,710200981,100,710009803,710009802,710009801,710009804,710009805
710000099,710200991,100,710009901,710009902,710009903,710009904,710009905
710000100,710201001,100,710010001,710010001,710010002,710010004,710010003
710000101,710201011,100,710010101,710010102,710010103,710010104,710010105
710000102,710201021,100,710010201,710010203,710010202,710010204,710010205
710000103,710201031,100,710010301,710010302,710010303,710010304,710010305
710000104,710201041,100,710010401,710010402,710010403,710010404,710010405
710000105,710201051,100,710010501,710010502,710010503,710010504,710010505
710000106,710201061,100,710010601,710010602,710010603,710010604,710010605
710000107,710201071,100,710010704,710010701,710010703,710010702,710010705
710000108,710201081,100,710010801,710010802,710010803,710010804,710010805
710000109,710201091,100,710010901,710010902,710010903,710010904,710010905
710000110,710201101,100,710011001,710011001,710011002,710011003,710011004
710000111,710301111,100,710011101,710011103,710011104,710011102,710011105
710000112,710301121,100,710011203,710011201,710011202,710011204,710011205
710000113,710301131,100,710011303,710011301,710011304,710011302,710011305
710000114,710301141,100,710011402,710011401,710011403,710011404,710011405
710000115,710301151,100,710011501,710011503,710011504,710011502,710011505
710000116,710301161,100,710011601,710011603,710011602,710011604,710011605
710000117,710301171,100,710011701,710011703,710011702,710011704,710011705
710000118,710301181,100,710011801,710011802,710011803,710011804,710011805
710000119,710301191,100,710011901,710011903,710011904,710011902,710011905
710000120,710301201,100,710012001,710012001,710012002,710012003,710012004
710000121,710301211,100,710012101,710012104,710012105,710012102,710012103
710000122,710301221,100,710012203,710012201,710012202,710012204,710012205
710000123,710301231,100,710012301,710012302,710012303,710012304,710012305
710000124,710301241,100,710012401,710012402,710012405,710012404,710012403
710000125,710301251,100,710012501,710012502,710012503,710012505,710012504
710000126,710301261,100,710012601,710012604,710012603,710012602,710012605
710000127,710301271,100,710012701,710012702,710012703,710012704,710012705
710000128,710301281,100,710012801,710012803,710012804,710012802,710012805
710000129,710301291,100,710012903,710012904,710012901,710012902,710012905
710000130,710301301,100,710013001,710013001,710013002,710013003,710013004
720000001,720100701,100,720007003,720007004,720007001,720007005,720007002
720000002,720201101,100,720011003,720011004,720011001,720011005,720011002
720000003,720301301,100,720013003,720013004,720013001,720013005,720013002
