special_mission_id,disp_group,category_icon,description,purpose_type,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
81019008,118,601,"Clear the Special or Exhibition Battle within 5 attempts",0,9015,5,0,0,1,81019008,6011,10019,"2022/06/01 23:00:00","2022/06/19 22:59:59"
81021001,103,601,"Reduce the Special Battle boss's HP to 2,550,000",1,9013,0,0,0,600000,81021001,6011,10021,"2022/07/04 23:00:00","2022/07/21 22:59:59"
81021002,104,601,"Clear Mode 1 of the Special Battle",1,9013,0,0,0,1260000,81021002,6011,10021,"2022/07/04 23:00:00","2022/07/21 22:59:59"
81021003,105,601,"Defeat 15 Majimun clones",0,9014,0,0,0,15,81021003,6011,10021,"2022/07/04 23:00:00","2022/07/21 22:59:59"
81021004,106,601,"Clear Mode 2 of the Special Battle",0,9014,0,0,0,30,81021004,6011,10021,"2022/07/04 23:00:00","2022/07/21 22:59:59"
81021005,111,601,"Reduce the Special Battle boss's HP to 1,450,000",1,9013,0,0,0,1700000,81021005,6011,10021,"2022/07/04 23:00:00","2022/07/21 22:59:59"
81021006,113,601,"Reduce the Special Battle boss's HP to 850,000",1,9013,0,0,0,2300000,81021006,6011,10021,"2022/07/04 23:00:00","2022/07/21 22:59:59"
81021007,115,601,"Defeat the Special Battle boss",1,9013,0,0,0,3150000,81021007,6011,10021,"2022/07/04 23:00:00","2022/07/21 22:59:59"
81021008,118,601,"Clear the Special or Exhibition Battle within 5 attempts",0,9015,5,0,0,1,81021008,6011,10021,"2022/07/04 23:00:00","2022/07/21 22:59:59"
81023001,103,601,"Reduce the Special Battle boss's HP to 3,150,000",1,9013,0,0,0,450000,81023001,6011,10023,"2022/08/04 23:00:00","2022/08/22 22:59:59"
81023002,104,601,"Clear Mode 1 of the Special Battle",1,9013,0,0,0,900000,81023002,6011,10023,"2022/08/04 23:00:00","2022/08/22 22:59:59"
81023003,105,601,"Reduce the Special Battle boss's HP to 2,100,000",1,9013,0,0,0,1500000,81023003,6011,10023,"2022/08/04 23:00:00","2022/08/22 22:59:59"
81023004,106,601,"Reduce the Special Battle boss's HP to 1,500,000",1,9013,0,0,0,2100000,81023004,6011,10023,"2022/08/04 23:00:00","2022/08/22 22:59:59"
81023005,111,601,"Clear Mode 2 of the Special Battle",1,9013,0,0,0,2700000,81023005,6011,10023,"2022/08/04 23:00:00","2022/08/22 22:59:59"
81023006,113,601,"Reduce the Special Battle boss's HP to 450,000",1,9013,0,0,0,3150000,81023006,6011,10023,"2022/08/04 23:00:00","2022/08/22 22:59:59"
81023007,115,601,"Defeat the Special Battle boss",1,9013,0,0,0,3600000,81023007,6011,10023,"2022/08/04 23:00:00","2022/08/22 22:59:59"
81023008,118,601,"Clear the Special or Exhibition Battle within 5 attempts",0,9015,5,0,0,1,81023008,6011,10023,"2022/08/04 23:00:00","2022/08/22 22:59:59"
81025001,103,601,"Defeat Misogi's, Mimi's and Kyoka's Shadows",0,9001,0,0,0,3,81025001,6011,10025,"2022/09/01 23:00:00","2022/09/19 22:59:59"
81025002,104,601,"Reduce the Special Battle boss's HP to 3,150,000",1,9013,0,0,0,600000,81025002,6011,10025,"2022/09/01 23:00:00","2022/09/19 22:59:59"
81025003,105,601,"Reduce the Special Battle boss's HP to 2,550,000",1,9013,0,0,0,1200000,81025003,6011,10025,"2022/09/01 23:00:00","2022/09/19 22:59:59"
81025004,106,601,"Clear Mode 2 of the Special Battle",0,9016,2,0,0,1,81025004,6011,10025,"2022/09/01 23:00:00","2022/09/19 22:59:59"
81025005,111,601,"Reduce the Special Battle boss's HP to 1,275,000",1,9013,0,0,0,2475000,81025005,6011,10025,"2022/09/01 23:00:00","2022/09/19 22:59:59"
81025006,113,601,"Reduce the Special Battle boss's HP to 675,000",1,9013,0,0,0,3075000,81025006,6011,10025,"2022/09/01 23:00:00","2022/09/19 22:59:59"
81025007,115,601,"Defeat the Special Battle boss",0,9016,3,0,0,1,81025007,6011,10025,"2022/09/01 23:00:00","2022/09/19 22:59:59"
81025008,118,601,"Clear the Special or Exhibition Battle within 5 attempts",0,9015,5,0,0,1,81025008,6011,10025,"2022/09/01 23:00:00","2022/09/19 22:59:59"
81027001,103,601,"Reduce the Special Battle boss's HP to 3,250,000",1,9013,0,0,0,500000,81027001,6011,10027,"2022/10/02 23:00:00","2022/10/20 22:59:59"
81027002,104,601,"Reduce the Special Battle boss's HP to 2,750,000",1,9013,0,0,0,1000000,81027002,6011,10027,"2022/10/02 23:00:00","2022/10/20 22:59:59"
81027003,105,601,"Reduce the Special Battle boss's HP to 2,250,000",1,9013,0,0,0,1500000,81027003,6011,10027,"2022/10/02 23:00:00","2022/10/20 22:59:59"
81027004,106,601,"Defeat all accompanying monsters in Mode 2",0,9016,2,0,0,1,81027004,6011,10027,"2022/10/02 23:00:00","2022/10/20 22:59:59"
81027005,111,601,"Reduce the Special Battle boss's HP to 1,450,000",1,9013,0,0,0,2300000,81027005,6011,10027,"2022/10/02 23:00:00","2022/10/20 22:59:59"
81027006,113,601,"Reduce the Special Battle boss's HP to 650,000",1,9013,0,0,0,3100000,81027006,6011,10027,"2022/10/02 23:00:00","2022/10/20 22:59:59"
81027007,115,601,"Defeat the Special Battle boss",0,9016,3,0,0,1,81027007,6011,10027,"2022/10/02 23:00:00","2022/10/20 22:59:59"
81027008,118,601,"Clear the Special or Exhibition Battle within 5 attempts",0,9015,5,0,0,1,81027008,6011,10027,"2022/10/02 23:00:00","2022/10/20 22:59:59"
