glossary_id,glossary_category_id,title,description,unlock_story_id,category_type,disp_order
1020,1,Casino,"An amusement facility located in Landosol. Roulette and card games can be played here. It is visited frequently by both those looking to kill time and those looking to make it big, making it a whirlpool of hope and despair.",0,1,12
1021,1,Carmina,"An idol guild led by Nozomi, who previously worked as a solo idol. Members sing, dance, and fight, putting on live performances and other entertainment as their main guild activities.",0,1,10
1022,1,"Geas Apocrypha: Tyrant Code","A book sealed on a hidden plane by the gods that describes how to manipulate the laws of this dimension. Annerose von Stechpalm carved a passage from this book into her soul to prevent the magicks in her Evil Eye from overflowing. Only when using her most powerful techniques does she invoke this incantation to fill her whole body with magic.",0,1,31
1023,1,Guild,"A group of people working together for a purpose. Landosol citizens are required to be in a guild; in return, they receive access to public services. Those who do not belong to a guild suffer from disadvantages such as social mistrust. There are many types of guilds that support various merchant, military, and cultural industries in Landosol. It is possible for one person to belong to multiple guilds simultaneously.",0,1,35
1024,1,"Guild Association","The official syndicate that manages the guilds of Landosol. Guilds are strictly controlled by the Management Association; those that are inactive are disbanded. There are, however, unofficial guilds belonging to criminal groups and the like.",0,1,36
1025,1,Guildhouse,"A base of operations given to citizens of Landosol who have formed a guild. Depending on the extent of the guild's activities and achievements, these facilities can be expanded or rebuilt.",0,1,37
1026,1,"Crystal Mountain","Once a prosperous land for crystal mining, it is now a shadow of its former glory where few people know of its history.",0,1,18
1027,1,"Efficiency-Oriented Person","A person who places the highest priority on efficiency. In more familiar terms, someone like Mifuyu, or someone who would play a game while reading through the strategy guide.",0,1,22
1028,1,Golem,"Pseudo-life forms created by wizards. They faithfully carry out the commands of their creators. They are borne from a variety of materials such as mud and ore, and come in a wide variety of sizes and abilities.",0,1,33
1029,1,Collector,"A nickname given to Nanaka thanks to her penchant for collecting magic-related books, not to mention all the novels and historical artifacts she gathers during her travels. She's not very fond of the nickname herself, however.",0,1,15
1030,3,"Salamander Blood","The blood of the volcano-dwelling monster, Salamander, which is highly solvent, corrosive, and extremely harmful to the human body. It is said that the Salamander's own blood can kill it.",0,1,67
1031,3,"Sarendia Orphanage","An orphanage that is also involved in all sorts of other business. Formed by Saren, former vice-captain of Nightmare, after she decided there would be much more value in helping people directly than spending all of her time guarding the royal palace.",0,1,68
1032,2,"Order of Gehenna Immortals","The order of Darkest Knights to which Annerose von Stechpalm belonged in her previous life. ""Once, the Darkest Knights had fallen to the darkness. But they swore to use their own dark powers to release the world from the tyranny of a still greater darkness: that of the Planetary Arbiters. Ultimately, all the Darkest Knights fell in their final great battle."" (Excerpt from ""The Gale Chronicles"").",0,1,62
1033,3,Shadow,"Peculiar monsters in human form. Though they speak the human language, there is little rhyme or reason to what they say, leading to the belief that they lack any intelligence. The frequency of sightings in Landosol has increased rapidly and is becoming a problem.",0,1,69
1034,3,"Sol Orb","A translucent sphere that is said to be necessary to reach the top of the Tower of Sol. Nowadays, few believe this lore, treating it instead like a fairy tale.",0,1,71
1035,3,"Tower of Sol","A huge tower that looms in the center of Landosol. It is the largest structure on the continent of Astraea, and also its greatest mystery.",0,1,76
1036,1,"Sweet Bun","Rin's favorite food. Rin is known to spend the majority of her salary on it at times. She likes both the pure paste and slightly beany versions—the battle among these factions for her love has been going on for years.",0,1,4
1037,1,Gaming,"A pastime invented in recent years, which makes use of special minerals called ""software"" used as a set with a magic tool called ""hardware"" to play various games. Not many can afford these high-tech devices.",0,1,30
2001,2,"My Little Buddy Mk I","A doll made by Aoi using tin cans found in the Elven Forest. Dubbed ""My Little Buddy,"" it's become a valuable partner for Aoi to practice her conversational skills. Though their conversations are entirely one-sided, Aoi's vivid imagination turns monologue into dialogue.",0,1,58
2002,1,"City of Twilight","A place said to be located somewhere in this world. The city prospered in ancient times, and various technologies are said to have developed there. There are many legends about the twilight city, such as the ""swordsmith who made unbreakable weapons"" and the ""airship that crosses the stars.""",0,1,14
2003,3,Superpowers,"A supernatural ability that enables feats unattainable by ordinary people. Unlike magic, superpowers require neither study nor incantations. There are no known cases of people possessing them so far, though eyewitness reports of people floating in the air have become frequent as of late. The debate as to whether that counts as magic or superpowers rages on.",0,1,73
2004,1,"Communication Magic","Long-distance communication magic used in Astraea. It is generally divided into two types: one used by wizards belonging to public institutions or private organizations over a well-developed magic network, and another used for personal means through one's own magic. The difficulty involved in its use makes it inaccurate and prone to failure.",0,1,16
2005,1,Diabolos,"A guild formed by Illya with several other demonfolk. Its name stems from the army lead by Illya to wage war on the gods themselves in ancient times.",0,1,21
2007,1,Destroyer,"A nickname given to Eriko, who occasionally works as a bodyguard.",0,1,20
2008,2,"Legendary Vampire","Queen of the demonfolk who led her race against the gods in ancient times. Though a well-known story among demonfolk these days, not many believe it actually happened. Also called the ""Legendary Demon Queen"" or ""Legendary Witch.""",0,1,43
2009,3,"Twinkle Wish","A guild formed by Hiyori, Yui, and Rei that strives to help anyone in need. Spurned on by a dream they all shared, their true motive is to reach the peak of the Tower of Sol.",0,1,78
2010,1,"Cave System","Caves can be found in various places on the Astrean continent. But don't go looking too hard--they are synonymous with danger. Monsters use them as nests, while the more nefarious type use them to hide their shady dealings. The locals also consider them gateways to the afterlife, with some even functioning as graveyards.",0,1,13
2011,2,Menagerie,"An alliance of guilds formed by Beastfolk. Most Beastfolk in Landosol belong to and are supported by this alliance. Although its size is comparable to Princess Knight, its members are not particularly united, leaving the full extent of their numbers something of a mystery. It is made up of countless smaller guilds, including Caon and Elizabeth Park.",0,1,52
2012,3,Togoku,"A country that Ninon yearns for, said to be located far east of Landosol. Apparently home to numerous exotic things such as ninjas, samurais, geishas, and Mt. Fuji.",0,1,75
2013,3,"Twilight Caravan","A guild for people looking to gather information on the City of Twilight, lead by its guildmaster Ruka. Rumored to be Landosol's most dangerous guild, all of its members minus Ruka have been given appropriate nicknames to match their notoriety.",0,1,77
2014,2,"Nightmare, Defenders of the Throne","The de-facto main unit of the ""Princess Knight"" alliance, whose guildmaster is referred to as ""Captain."" They serve as Landosol's national army, tasked with protecting the throne and those who occupy it. They also act as the city's main police force. Traditionally, royalty and aristocrats have been appointed to key positions, while knights of civilian origin are barred from even entering the royal palace.",0,1,59
2015,1,Carriage,"Astraea's main means of transportation. Set routes and scheduled transportation connect Landosol with settlements outside the city. More sophisticated, magic-based forms of transport exist, but their prohibitive cost makes them available only to a select few.",0,1,11
2016,1,Beastfolk,"One of the four races of Astrum, with the second largest population after humanfolk. They have a variety of beast characteristics including beast ears and tails, and are generally more physically capable than other races.",0,1,7
2017,1,"Gourmet Guild","A guild formed by Pecorine so that she and her friends can enter restaurants and other places requiring guild membership. Their primary objective is to travel around tasting various foods. As a newly created guild, their number of members is still small.",0,1,34
2018,1,Humanfolk,"The most common of the four races of Astrum. Some humanfolk find a sense of privilege in their race due to Landosol's administration being centered around their nobility, which in turn has led to persecution of other races in some cases.",0,1,38
2019,3,"The Phantom Cat","A beautiful yet mysterious bandit who has recently become the talk of the town in Landosol. She breaks into the homes of ruthless villains and hands out stolen treasures to the poorest of the poor. Though her true identity is a mystery, Tamaki, upon being questioned, had this to say: ""Th-the Phantom Cat's true identity? I dunnyo what you're talking about. But I heard she's awfurry cute, and loves cats to boot. Keep up the good work, Phantom Cat!"" Just who in the world could she be?",0,1,74
2020,1,Forestier,"Formed long ago with the task of keeping watch over the Elven Forest, they serve as forest guides for visitors and manage the herbs only available there. Their current guildmaster is Misato.",0,1,29
2021,3,"Prano Plains","The name given to the plains that spread throughout Astraea. They are natural, uninhabited lands found away from the main roads, making them a breeding ground for monsters. Landosol itself is located close to them, leading many martial artists to use them as a means to test their skills.",0,1,63
2022,1,"Brisa Canyon","A valley found in Astraea. Visitors are greeted by a gentle breeze thanks to the valley's unique terrain.",0,1,8
2023,3,"Princess Knight","A guild operated by Landosol's highest authority, the Royal Palace. Composed of a wide variety of sub-guilds, its members are responsible for public services such as the military, postal service, policing, firefighting, and so on. It is said that the guild's name comes from its sworn allegiance to the princess who rules Landosol.",0,1,64
2024,1,"BB Brigade","Officially, the ""Bye-Bye Bashfulness Brigade."" Formed by the main character and Aoi as a way to make more friends. As they explore philosophical matters such as what it means to be a friend, one can make the argument that it's a gathering of intellectuals. How the group carries out these discussions, however, is a different matter.",0,1,6
2025,3,"Siren Amulet","A self-defense item that, when in a dangerous situation, emits a loud warning sound with the flick of a switch. It is mainly carried by children when they go out. A wide range of models exist, from those that sound an ordinary alarm to those that emit a powerful ultrasonic wave capable of temporarily deafening the attacker.",0,1,70
2026,1,"Elizabeth Park","A guild located on a nearby mountain. It is by all means a traditional ranch where cattle, horses, and other livestock are raised, but is also a popular picnic spot for beastfolk and a place of recuperation for the sick. Though generally not involved in the affairs of Landosol, merchants and the like often come by to trade in milk and meat.",0,1,23
2027,1,Acorn,"Rin's second favorite food after anko bread. The flavor can differ greatly depending on the type. Rin always carries some with her so she can eat them wherever and whenever she wants.",0,1,1
3001,1,Demonfolk,"The rarest of the four races of Astrum. They have two horns on their heads, and many of them excel in certain abilities, such as magic, intelligence, movement, and senses. They take great pride in themselves, and legends say that they once competed with the gods for world supremacy.",0,1,19
3002,2,"Magic Equipment","Tools created using magic as part of the manufacturing process, allowing them to manifest persistent magical effects. Common effects range from shock absorption for armor, to bracelets that boost the wearer's physical strength. Though these effects are weaker than standard spells, such equipment can be used even by those who possess little magic ability, making it popular among humanfolk and demonfolk. Though rare, users may experience side effects.",0,1,48
3003,2,"Magical Girl Bella-Lou","Children's literature from Landosol. The story is based on a legendary hero from the past and is also popular as a theatrical performance.",0,1,49
3004,2,Monsters,"Mysterious creatures that live in Astraea. They are highly vicious and threaten humans and animals alike.",0,1,55
3005,2,"Monster Extermination","The act of exterminating and defeating ferocious monsters that threaten people's lives. The meat, hides, oils, fats, bones, horns, feathers, and such collected during this process are used as commodities, allowing some to make a living out of hunting itself. On the other hand, non-violent monsters that are found to be mutants are sometimes protected for research purposes.",0,1,54
3006,3,"Protective Amulet","An amulet that protects the wearer from spirits, monsters, and misfortune. Usually crafted from magical items such as holy stones.",0,1,65
3007,2,"Marjan Coast","Astraea's coastline. There are small towns nearby which occasionally hold festivals that beautifully illuminate the streets at night. As monsters sometimes appear in the sea, martial artists are contracted with the task of defeating them.",0,1,50
3008,2,"Mercurius Foundation","A guild formed by Akino as a means to become a full-fledged merchant. With almost limitless funds at their disposal, they finance and buy out various businesses on the surface, while also working behind the scenes to deal with shady merchants involved in illegal schemes.",0,1,53
3009,1,Ghost,"An immaterial spiritual existence formed after a person or animal dies. There is ongoing debate in Landosol on whether ghosts really exist or not. Reports of a ghost appearing at dessert shops that sell pudding have been on the rise recently, but some people think it is just a simulacrum.",0,1,32
3010,2,Labyrinth,"Formed by the mysterious Labyrista, this guild seeks to uncover the secrets behind the world. They run a crepe shop to mask their true operations.",0,1,40
3011,2,Landosol,"Astraea's largest nation, which shares the same name with its capital city.",0,1,41
3012,2,"Landosol Royal Family","The family that rules Landosol. A matrilineal nation where, traditionally, the king's eldest daughter is the monarch. The royal family lives in a palace and is securely protected by the royal knights known as Nightmare, Defenders of the Throne.",0,1,42
3013,2,Normies,"Refers to someone who leads a fulfilling life and can generally be perceived as ""normal."" Or that is what it should mean, but according to Yukari, ""everyone keeps using it to refer to people in a relationship, but I'm living my best life despite being single! Urgh… Just go explode already!""",0,1,60
3014,2,"Little Lyrical","An unofficial guild formed by good friends Mimi, Misogi, and Kyoka. Their main goal is to just have fun while feeling like a proper guild.",0,1,44
3015,2,"Lucent Academy","A public educational institution run by the Guild Association, it is one of the many schoolhouses in Landosol. It is co-educational, with attendees varying in age, race, and academic ability. Students are mainly divided into classes based on academic ability. Landosol does not have compulsory education, but due to the development of education-related guilds, the general level of knowledge is high. The literacy rate is nearly 100%.",0,1,47
3016,3,Rupies,"Astraea's standard currency. Both paper money and coins exist. 1,000 rupies is enough to pay for approximately one meal.",0,1,66
3017,2,Lost,"A strange phenomenon where the records and memories of a person disappear. An example is when the parents of a child, who must have a mother and father in order to exist, cannot be found and the child cannot remember them. Because of this, many children are left with no guardians and no place to go, which is becoming a social problem.",0,1,46
3018,2,"One-Eyed Devil","A name that once struck great fear into evildoers all around the continent. The identity behind it is none other than Mitsuki, who came to be called as such after continually fighting off those interfering with her research. It is said that when her left eye, which is usually hidden under an eye patch, opens, hell rises forth.",0,1,61
