id,mission_reward_id,reward_type,reward_id,reward_num,icon_type
189,56011140,15,10201140,1,1002
190,56011141,15,10201141,1,1003
191,56011141,8,91002,50,0
192,56011142,15,10201142,1,1001
193,56011143,15,10201143,1,1002
194,56011144,15,10201144,1,1003
195,56011144,8,91002,50,0
196,56011145,15,10201145,1,1001
197,56011146,15,10201146,1,1002
198,56011147,15,10201147,1,1003
199,56011147,8,91002,50,0
200,56011148,15,10201148,1,1001
201,56011149,15,10201149,1,1002
202,56011150,15,10201150,1,1003
203,56011150,8,91002,50,0
204,56011151,15,10201151,1,1001
205,56011152,15,10201152,1,1002
206,56011153,15,10201153,1,1003
207,56011153,8,91002,50,0
208,56011154,15,10201154,1,1001
209,56011155,15,10201155,1,1002
210,56011156,15,10201156,1,1003
211,56011156,8,91002,50,0
212,56011157,15,10201157,1,1001
213,56011158,15,10201158,1,1002
214,56011159,15,10201159,1,1003
215,56011159,8,91002,50,0
216,56011160,15,10201160,1,1001
217,56011161,15,10201161,1,1002
218,56011162,15,10201162,1,1003
219,56011162,8,91002,50,0
220,56011163,15,10201163,1,1001
221,56011164,15,10201164,1,1002
222,56011165,15,10201165,1,1003
223,56011165,8,91002,50,0
224,56011166,15,10201166,1,1001
225,56011167,15,10201167,1,1002
226,56011168,15,10201168,1,1003
227,56011168,8,91002,50,0
228,56011169,15,10201169,1,1001
229,56011170,15,10201170,1,1002
230,56011171,15,10201171,1,1003
231,56011171,8,91002,50,0
232,56011172,15,10201172,1,1001
233,56011173,15,10201173,1,1002
234,56011174,15,10201174,1,1003
235,56011174,8,91002,50,0
236,56011175,15,10201175,1,1001
237,56011176,15,10201176,1,1002
238,56011177,15,10201177,1,1003
239,56011177,8,91002,50,0
240,56011178,15,10201178,1,1001
241,56011179,15,10201179,1,1002
242,56011180,15,10201180,1,1003
243,56011180,8,91002,50,0
244,56011181,15,10201181,1,1001
245,56011182,15,10201182,1,1002
246,56011183,15,10201183,1,1003
247,56011183,8,91002,50,0
248,56011184,15,10201184,1,1001
249,56011185,15,10201185,1,1002
250,56011186,15,10201186,1,1003
251,56011186,8,91002,50,0
252,56011187,15,10201187,1,1001
253,56011188,15,10201188,1,1002
254,56011189,15,10201189,1,1003
255,56011189,8,91002,50,0
256,56011190,15,10201190,1,1001
257,56011191,15,10201191,1,1002
258,56011192,15,10201192,1,1003
259,56011192,8,91002,50,0
260,56011193,15,10201193,1,1001
261,56011194,15,10201194,1,1002
262,56011195,15,10201195,1,1003
263,56011195,8,91002,50,0
264,56011196,15,10201196,1,1001
265,56011197,15,10201197,1,1002
266,56011198,15,10201198,1,1003
267,56011198,8,91002,50,0
268,56011199,15,10201199,1,1001
269,56011200,15,10201200,1,1002
270,56011201,15,10201201,1,1003
271,56011201,8,91002,50,0
272,56011202,15,10201202,1,1001
273,56011203,15,10201203,1,1002
274,56011204,15,10201204,1,1003
275,56011204,8,91002,50,0
276,56011205,15,10201205,1,1001
277,56011206,15,10201206,1,1002
278,56011207,15,10201207,1,1003
279,56011207,8,91002,50,0
280,56011208,15,10201208,1,1001
281,56011209,15,10201209,1,1002
282,56011210,15,10201210,1,1003
283,56011210,8,91002,50,0
284,56011211,15,10201211,1,1001
285,56011212,15,10201212,1,1002
286,56011213,15,10201213,1,1003
287,56011213,8,91002,50,0
288,56011214,15,10201214,1,1001
289,56011215,15,10201215,1,1002
290,56011216,15,10201216,1,1003
291,56011216,8,91002,50,0
292,56011217,15,10201217,1,1001
293,56011218,15,10201218,1,1002
294,56011219,15,10201219,1,1003
295,56011219,8,91002,50,0
296,56011220,15,10201220,1,1001
297,56011221,15,10201221,1,1002
298,56011222,15,10201222,1,1003
299,56011222,8,91002,50,0
300,56011223,15,10201223,1,1001
301,56011224,15,10201224,1,1002
302,56011225,15,10201225,1,1003
303,56011225,8,91002,50,0
304,56011226,15,10201226,1,1001
305,56011227,15,10201227,1,1002
306,56011228,15,10201228,1,1003
307,56011228,8,91002,50,0
308,56011229,15,10201229,1,1001
309,56011230,15,10201230,1,1002
310,56011231,15,10201231,1,1003
311,56011231,8,91002,50,0
312,56011232,15,10201232,1,1001
313,56011233,15,10201233,1,1002
314,56011234,15,10201234,1,1003
315,56011234,8,91002,50,0
316,56012001,15,10202001,1,1003
317,56012002,15,10202002,1,1003
318,56012003,15,10202003,1,1003
319,56012004,15,10202004,1,1003
320,56012005,15,10202005,1,1003
321,56012006,15,10202006,1,1003
322,56012007,15,10202007,1,1003
323,56012008,15,10202008,1,1003
324,56012009,15,10202009,1,1003
325,56012010,15,10202010,1,1003
326,56012011,15,10202011,1,1003
327,56012012,15,10202012,1,1003
328,56012013,15,10202013,1,1003
329,56012014,15,10202014,1,1003
330,56012015,15,10202015,1,1003
447,54002001,15,10501001,1,1001
448,54002001,8,91002,50,0
449,54002002,15,10501002,1,1002
450,54002002,8,91002,50,0
451,54002003,15,10501003,1,1003
452,54002003,8,91002,50,0
453,54004001,15,10502001,1,1001
454,54004001,8,91002,50,0
455,54004002,15,10502002,1,1002
456,54004002,8,91002,50,0
457,54004003,15,10502003,1,1003
458,54004003,8,91002,50,0
459,55006001,15,10601001,1,1001
460,55006001,8,91002,10,0
461,55006002,15,10601002,1,1002
462,55006002,8,91002,30,0
463,55006003,15,10601003,1,1003
464,55006003,8,91002,50,0
465,56011235,15,10201235,1,1001
466,56011236,15,10201236,1,1002
467,56011237,15,10201237,1,1003
468,56011237,8,91002,50,0
469,56011238,15,10201238,1,1001
470,56011239,15,10201239,1,1002
471,56011240,15,10201240,1,1003
472,56011240,8,91002,50,0
473,56011241,15,10201241,1,1001
474,56011242,15,10201242,1,1002
475,56011243,15,10201243,1,1003
476,56011243,8,91002,50,0
477,56011244,15,10201244,1,1001
478,56011245,15,10201245,1,1002
479,56011246,15,10201246,1,1003
480,56011246,8,91002,50,0
481,56011247,15,10201247,1,1001
482,56011248,15,10201248,1,1002
483,56011249,15,10201249,1,1003
484,56011249,8,91002,50,0
485,56011250,15,10201250,1,1001
486,56011251,15,10201251,1,1002
487,56011252,15,10201252,1,1003
488,56011252,8,91002,50,0
489,56011253,15,10201253,1,1001
490,56011254,15,10201254,1,1002
491,56011255,15,10201255,1,1003
492,56011255,8,91002,50,0
493,56011256,15,10201256,1,1001
494,56011257,15,10201257,1,1002
495,56011258,15,10201258,1,1003
496,56011258,8,91002,50,0
497,56011259,15,10201259,1,1001
498,56011260,15,10201260,1,1002
499,56011261,15,10201261,1,1003
500,56011261,8,91002,50,0
501,56011262,15,10201262,1,1001
502,56011263,15,10201263,1,1002
503,56011264,15,10201264,1,1003
504,56011264,8,91002,50,0
505,56011265,15,10201265,1,1001
506,56011266,15,10201266,1,1002
507,56011267,15,10201267,1,1003
508,56011267,8,91002,50,0
509,56011268,15,10201268,1,1001
510,56011269,15,10201269,1,1002
511,56011270,15,10201270,1,1003
512,56011270,8,91002,50,0
513,56011271,15,10201271,1,1003
514,56011271,8,91002,100,0
515,56011272,15,10201272,1,1003
516,56011272,8,91002,100,0
517,56011273,15,10201273,1,1003
518,56011273,8,91002,100,0
519,56011274,15,10201274,1,1001
520,56011275,15,10201275,1,1002
521,56011276,15,10201276,1,1003
522,56011276,8,91002,50,0
523,56011277,15,10201277,1,1001
524,56011278,15,10201278,1,1002
525,56011279,15,10201279,1,1003
526,56011279,8,91002,50,0
527,56011280,15,10201280,1,1001
528,56011281,15,10201281,1,1002
529,56011282,15,10201282,1,1003
530,56011282,8,91002,50,0
531,56011283,15,10201283,1,1001
532,56011284,15,10201284,1,1002
533,56011285,15,10201285,1,1003
534,56011285,8,91002,50,0
535,56011286,15,10201286,1,1003
536,56011286,8,91002,100,0
537,56014001,15,11101001,1,1001
538,56014001,8,91002,10,0
539,56014002,15,11101002,1,1002
540,56014002,8,91002,20,0
541,56014003,15,11101003,1,1003
542,56014003,8,91002,50,0
543,56011296,8,91002,50,0
544,56011297,15,10201297,1,1001
545,56011298,15,10201298,1,1002
546,56011299,15,10201299,1,1003
547,56011299,8,91002,50,0
548,56011300,15,10201300,1,1001
549,56011287,15,10201287,1,1001
550,56011288,15,10201288,1,1002
551,56011289,15,10201289,1,1003
552,56011289,8,91002,50,0
553,56011290,15,10201290,1,1001
554,56011291,15,10201291,1,1002
555,56011292,15,10201292,1,1003
556,56011292,8,91002,50,0
557,56015001,15,11201001,1,1001
558,56015001,8,91002,50,0
559,56015002,15,11201002,1,1002
560,56015002,8,91002,50,0
561,56015003,15,11201003,1,1003
562,56015003,8,91002,50,0
563,56011293,15,10201293,1,1003
564,56011293,8,91002,100,0
565,56011294,15,10201294,1,1001
566,56011295,15,10201295,1,1002
567,56011296,15,10201296,1,1003
568,56011301,15,10201301,1,1002
569,56011302,15,10201302,1,1003
570,56011302,8,91002,50,0
571,56011303,15,10201303,1,1003
572,56011303,8,91002,100,0
