chara_id,offset,size,softness
109011,-30.0,680.0,180.0
109111,-55.0,700.0,105.0
109211,10.0,575.0,30.0
109311,-10.0,540.0,30.0
109411,-75.0,735.0,100.0
109511,-60.0,630.0,60.0
109611,0.0,630.0,90.0
109711,0.0,720.0,50.0
109712,0.0,720.0,50.0
109811,0.0,580.0,50.0
109911,-80.0,640.0,150.0
110011,20.0,570.0,95.0
110031,30.0,740.0,50.0
110111,0.0,515.0,50.0
110211,0.0,900.0,50.0
110311,0.0,540.0,30.0
110331,0.0,560.0,20.0
110411,-80.0,600.0,70.0
110511,-20.0,700.0,0.0
110611,-30.0,710.0,70.0
110711,0.0,460.0,0.0
110811,10.0,400.0,0.0
110831,0.0,600.0,50.0
110832,0.0,600.0,50.0
110911,0.0,685.0,0.0
110931,0.0,600.0,50.0
110932,0.0,600.0,50.0
111011,-40.0,485.0,40.0
111031,0.0,600.0,50.0
111032,0.0,600.0,50.0
111111,-15.0,750.0,70.0
111131,0.0,600.0,50.0
111211,25.0,500.0,0.0
111311,0.0,700.0,50.0
111411,-10.0,750.0,90.0
111412,0.0,1050.0,50.0
111431,0.0,800.0,50.0
111511,-40.0,750.0,60.0
111611,-50.0,750.0,50.0
111711,-80.0,875.0,70.0
111712,-40.0,600.0,80.0
111811,-10.0,600.0,50.0
111911,-30.0,660.0,70.0
112011,-30.0,750.0,50.0
112111,-50.0,650.0,50.0
112211,-15.0,750.0,70.0
112311,-45.0,635.0,75.0
112411,0.0,800.0,50.0
112431,0.0,800.0,50.0
112511,0.0,800.0,50.0
112531,0.0,800.0,50.0
112611,-15.0,700.0,70.0
112631,0.0,800.0,50.0
112711,70.0,715.0,80.0
112811,-100.0,710.0,50.0
112911,15.0,800.0,70.0
112912,15.0,800.0,70.0
113011,0.0,530.0,70.0
113111,0.0,800.0,50.0
113211,-10.0,740.0,80.0
113311,-90.0,670.0,50.0
113411,0.0,740.0,50.0
113511,-40.0,550.0,50.0
113611,0.0,800.0,50.0
113612,0.0,800.0,50.0
113631,0.0,800.0,50.0
113711,30.0,735.0,60.0
113712,30.0,735.0,60.0
113811,0.0,605.0,60.0
113812,0.0,605.0,60.0
113911,-60.0,680.0,70.0
114011,0.0,840.0,75.0
114111,0.0,795.0,50.0
114211,-10.0,650.0,70.0
114311,10.0,690.0,70.0
161199,0.0,800.0,50.0
161499,0.0,800.0,50.0
171199,0.0,800.0,50.0
180111,0.0,715.0,50.0
180211,-40.0,800.0,50.0
180311,25.0,840.0,50.0
180411,-50.0,725.0,50.0
180511,0.0,755.0,80.0
190011,0.0,900.0,50.0
190111,0.0,1200.0,50.0
190711,-15.0,530.0,50.0
190811,0.0,1200.0,50.0
190814,0.0,1000.0,50.0
190911,0.0,1200.0,50.0
191011,0.0,1200.0,50.0
191111,-30.0,690.0,60.0
191199,0.0,800.0,50.0
191411,0.0,850.0,50.0
191511,-20.0,740.0,70.0
191611,0.0,800.0,50.0
191711,-50.0,780.0,60.0
191811,0.0,700.0,50.0
191911,0.0,1100.0,50.0
192011,0.0,700.0,50.0
192012,0.0,550.0,70.0
