event_top_adv_id,event_id,type,value_1,value_2,value_3,story_id,character_id,start_time,end_time
22,10005,1003,20,0,0,5005411,108001,"2021/07/09 23:00:00","2021/07/28 22:59:59"
23,10006,1002,1000603,1,0,5006402,103701,"2021/08/18 23:00:00","2021/09/05 22:59:59"
24,10006,1001,10,0,0,5006403,100501,"2021/08/18 23:00:00","2021/09/05 22:59:59"
25,10006,1001,20,0,0,5006404,103701,"2021/08/18 23:00:00","2021/09/05 22:59:59"
26,10006,1001,30,0,0,5006405,104701,"2021/08/18 23:00:00","2021/09/05 22:59:59"
27,10006,1003,2,0,0,5006406,100501,"2021/08/18 23:00:00","2021/09/05 22:59:59"
28,10006,1003,5,0,0,5006407,103701,"2021/08/18 23:00:00","2021/09/05 22:59:59"
29,10006,1003,8,0,0,5006408,104701,"2021/08/18 23:00:00","2021/09/05 22:59:59"
30,10006,1003,12,0,0,5006409,107101,"2021/08/18 23:00:00","2021/09/05 22:59:59"
31,10006,1003,16,0,0,5006410,100501,"2021/08/18 23:00:00","2021/09/05 22:59:59"
32,10006,1003,19,0,0,5006411,104701,"2021/08/18 23:00:00","2021/09/05 22:59:59"
33,10007,1004,108201,0,0,5007401,108201,"2021/09/24 23:00:00","2021/10/10 22:59:59"
34,10007,1002,1000703,1,0,5007402,108101,"2021/09/24 23:00:00","2021/10/10 22:59:59"
35,10007,1001,10,0,0,5007403,108101,"2021/09/24 23:00:00","2021/10/10 22:59:59"
36,10007,1001,20,0,0,5007404,108201,"2021/09/24 23:00:00","2021/10/10 22:59:59"
37,10007,1001,30,0,0,5007405,108101,"2021/09/24 23:00:00","2021/10/10 22:59:59"
38,10007,1003,2,0,0,5007406,108201,"2021/09/24 23:00:00","2021/10/10 22:59:59"
39,10007,1003,5,0,0,5007407,108101,"2021/09/24 23:00:00","2021/10/10 22:59:59"
40,10007,1003,8,0,0,5007408,108201,"2021/09/24 23:00:00","2021/10/10 22:59:59"
41,10007,1003,11,0,0,5007409,108101,"2021/09/24 23:00:00","2021/10/10 22:59:59"
42,10007,1003,14,0,0,5007410,108201,"2021/09/24 23:00:00","2021/10/10 22:59:59"
43,10007,1003,17,0,0,5007411,108101,"2021/09/24 23:00:00","2021/10/10 22:59:59"
44,10008,1002,1000803,1,0,5008402,105601,"2021/10/28 23:00:00","2021/11/11 22:59:59"
45,10008,1001,10,0,0,5008403,101301,"2021/10/28 23:00:00","2021/11/11 22:59:59"
46,10008,1001,20,0,0,5008404,100901,"2021/10/28 23:00:00","2021/11/11 22:59:59"
47,10008,1001,30,0,0,5008405,105601,"2021/10/28 23:00:00","2021/11/11 22:59:59"
48,10008,1003,2,0,0,5008406,105601,"2021/10/28 23:00:00","2021/11/11 22:59:59"
49,10008,1003,4,0,0,5008407,100901,"2021/10/28 23:00:00","2021/11/11 22:59:59"
50,10008,1003,7,0,0,5008408,101301,"2021/10/28 23:00:00","2021/11/11 22:59:59"
51,10008,1003,10,0,0,5008409,105101,"2021/10/28 23:00:00","2021/11/11 22:59:59"
52,10008,1003,13,0,0,5008410,102701,"2021/10/28 23:00:00","2021/11/11 22:59:59"
53,10008,1003,15,0,0,5008411,105601,"2021/10/28 23:00:00","2021/11/11 22:59:59"
54,10009,1004,108501,0,0,5009401,108501,"2021/11/22 23:00:00","2021/12/06 22:59:59"
55,10009,1002,1000903,1,0,5009402,108401,"2021/11/22 23:00:00","2021/12/06 22:59:59"
56,10009,1001,10,0,0,5009403,108601,"2021/11/22 23:00:00","2021/12/06 22:59:59"
57,10009,1001,20,0,0,5009404,108501,"2021/11/22 23:00:00","2021/12/06 22:59:59"
58,10009,1001,30,0,0,5009405,108401,"2021/11/22 23:00:00","2021/12/06 22:59:59"
59,10009,1003,2,0,0,5009406,108601,"2021/11/22 23:00:00","2021/12/06 22:59:59"
60,10009,1003,4,0,0,5009407,108601,"2021/11/22 23:00:00","2021/12/06 22:59:59"
61,10009,1003,7,0,0,5009408,108501,"2021/11/22 23:00:00","2021/12/06 22:59:59"
62,10009,1003,10,0,0,5009409,108501,"2021/11/22 23:00:00","2021/12/06 22:59:59"
63,10009,1003,13,0,0,5009410,108401,"2021/11/22 23:00:00","2021/12/06 22:59:59"
64,10009,1003,15,0,0,5009411,108401,"2021/11/22 23:00:00","2021/12/06 22:59:59"
