reading_id,reading,read_type,panel_id,detail_text
1000902,blue,2,10009,"One of the classic primary colors, though when mixing paints, you might actually be better off with cyan."
1000903,indigo,2,10009,"The most frequently disputed color of the rainbow. Often lumped together with violet as ""purple,"" but it's more like a deep blue."
1001000,sword,1,10010,"Everyone's favorite melee weapon."
1001001,blade,1,10010,"An edge designed for cutting, or just another name for a sword."
1001002,gladius,2,10010,"The Latin word for ""sword."" Usually refers to the classic Roman style featuring a straight, two-edged blade and a tapered point for stabbing."
1001003,weapon,2,10010,"Any tool designed for use in combat. The sword is perhaps the most iconic of them all."
1001004,"Princess Sword",3,10010,"Pecorine's Unique Equipment. The true form of the Royal Equipment that grants her incredible strength."
1001100,glasses,1,10011,"A device that uses lenses to correct flawed eyesight."
1001101,"swirly specs",2,10011,"A style of glasses seen in Japanese animation, with the spiral suggesting extremely thick lenses. Associated with geekier types."
1001102,eyewear,2,10011,"Glasses, shades, monocles... If you can wear it on your eyes, it counts."
1001103,otaku,2,10011,"The Japanese word for ""geek,"" and the kind of person you'd stereotypically expect to see wearing glasses like these."
1001104,"Karin's glasses",3,10011,"In Landosol, glasses are perhaps best associated with this friendly representative of the Guild Association."
1001200,"magnifying glass",1,10012,"A simple device consisting of a lens on a handle, used to view things in greater detail."
1001201,lens,1,10012,"A curved piece of glass that bends light traveling through it. Used in magnifying glasses and many other devices."
1001202,enlarge,2,10012,"What you might expect to happen if you tap a magnifying device icon on your computer screen."
1001203,focus,2,10012,"The act of making blurry sights sharper. Usually achieved by carefully adjusting the position of a lens or lenses."
1001204,"Kasumi's trademark",3,10012,"As a proud detective, Kasumi would never be caught dead without one of these close to hand."
1001205,"Detective Magnifier",3,10012,"Kasumi's Unique Equipment. It's helped her spot the clues she needed to solve countless cases, or so she claims."
1001300,meat,1,10013,"Succulent food that sizzles as you fry it."
1001301,ham,2,10013,"A type of meat derived from pork legs. Is the pictured meat actually pork? Hard to tell."
1001302,"roast beef",2,10013,"One of the most famous styles of meat, and the centerpiece of a classic Sunday dinner."
1001303,"caveman's meal",2,10013,"Perhaps who you'd expect to see eating this style of meat on the bone."
1001304,"dragon meat",3,10013,"Surely such a fine piece of meat can only come from the legendary dragons said to live on Elpis Island!"
1001400,moon,1,10014,"That big round thing in the sky at night. Disclaimer: may not always be round."
1001401,"full moon",1,10014,"The moon at its roundest. Least favorite phase of reluctant werewolves."
1001402,Luna,2,10014,"The Latin word for ""moon,"" sometimes used as a name for Earth's moon specifically."
1001403,"night sky",2,10014,"Where you're most likely to see the moon, though it can sometimes be spotted even after the sun is up."
1001404,"Origin Strike: Severing Moon",3,10014,"Ruka's Union Burst. A sword strike as elegant as the moon's natural beauty."
1001500,bats,1,10015,"The only mammals capable of true flight. Popularly associated with vampires, but only a few species actually feed on blood."
1001501,"flying foxes",2,10015,"A name for certain types of very large bat. Probably not something you want to run into on a dark night."
1001502,Chiroptera,2,10015,"The scientific name for bats as a group. You can call a single bat a ""chiropteran"" if you want to sound clever."
1001503,"Illya's minions",3,10015,"As you might expect of a classic vampire, Illya is able to command bats. Whether they'll listen to those commands is another question."
1001600,bird,1,10016,"One of a huge variety of feathered, egg-laying creatures. Most, though not all, can fly."
1001601,monster,1,10016,"Particularly dangerous or terrifying creatures. Often seen in fantasy worlds, and Landosol is no exception."
1001602,exotic,2,10016,"Describes sights associated with far-off, often tropical regions. Birds as colorful as this one definitely qualify."
1001603,"Hatsune's perfect present?",3,10016,"The monstrous Ziz was sealed inside a book Hatsune unwittingly bought for her sister. Thankfully, the two of them were able to defeat it together."
1001700,shoe,1,10017,"Outdoor clothing worn on the feet. Though you might want to put on socks first."
1001701,boot,1,10017,"A shoe that extends further up the leg. Useful for traversing rough terrain... or for fashion... or for kicking."
1001702,loafer,2,10017,"A style of shoe with no laces. Often more formal than the lazy-sounding name would suggest."
1001703,footwear,2,10017,"Anything you wear on your feet. Shoes, socks, inline skates..."
1001704,"equipment item",3,10017,"Equip plenty of these to increase a character's rank. Shoes tend to boost the wearer's ability to dodge or defend, making them especially useful to frontliners like Miyako."
1001800,cat,1,10018,"The cutest of all animals. (We are not accepting objections from dog lovers at this time.)"
1001801,kitty,1,10018,"A pet name for cats. Which seems appropriate, given how often cats are also pets."
1001802,feline,2,10018,"The technical term for cat-like animals. In its strictest definition, it doesn't actually include most big cats (which are more properly called ""felids."")"
1001803,meow,2,10018,"The noise cats make. In Japanese, that would be ""nyaa"" or ""nyan."""
1001804,"Tamaki's little pal",3,10018,"Of all beastfolk, Tamaki seems particularly in tune with her animal counterparts. She even feeds them out of her own pocket."
1001900,goldfish,1,10019,"A small fish popular for its colorful appearance. Traditionally scooped up as a prize at festivals."
1001901,fish,1,10019,"The most general term for these swimming aquatic creatures. They come in a huge variety of shapes and sizes."
1001902,"pet fish",2,10019,"The fate of most goldfish, which have long been bred for human appreciation."
1001903,"cat food",2,10019,"With both commonly kept indoors as pets, fish-loving felines are easily attracted to our brightly colored little friends..."
1002000,mouse,1,10020,"An adorable little rodent commonly kept as a pet."
1002001,rat,1,10020,"A larger and less adorable rodent, best known as a pest but also sometimes kept as a pet."
1002002,squeak,2,10020,"The sound mice are well known for making. Next thing you know, your cheese will be mysteriously missing."
1002003,"cat food",2,10020,"Small animals such as mice are the natural prey of the house cat—indeed, hunting unhelpful rodents may be the reason cats were kept as pets to begin with."
1002100,nest,1,10021,"A twiggy home many birds construct in trees to raise their young."
1002101,eggs,1,10021,"The rounded shells in which young birds develop. Other animals may lay eggs too, but birds' are by far the most iconic."
1002102,"bird's dwelling",2,10021,"Strictly speaking, a bird constructs a nest more for its children than for itself. But a home is a home nonetheless!"
1002103,"omelet in the making",2,10021,"When Pecorine spots a nest full of eggs, there can only be one outcome..."
1002200,ship,1,10022,"A large vessel for transporting people or cargo across water. Wait, why do ships carry cargo while cars carry shipments?"
1002201,boat,1,10022,"A general word for water-faring vessels, usually distinguished from ships by their smaller size."
1002202,yacht,1,10022,"A ship or large boat generally used for pleasure. The private kind is often associated with the wealthy."
1002203,"ocean liner",2,10022,"A ship designed for long-distance transportation. These proud vessels must be sturdy enough to survive the perils of the open sea."
1002300,milk,1,10023,"A nutritious drink that many animals produce to feed their young. Cows' milk in particular is also commonly consumed by humans."
1002301,cream,2,10023,"Like milk, but more... well, creamy. Produced by extracting the richest parts of the milk, and used as a luxurious ingredient in many recipes."
1002302,yogurt,2,10023,"Milk that has been fermented by specific bacteria. The resulting flavor and texture make it popular as a healthy dessert."
1002303,"udder-ly delicious",3,10023,"Mahiru insisted that we include this. We take no responsibility for the quality of the pun."
1002400,"chocolate bar",1,10024,"A common sweet treat made from cacao beans. Popular as a gift on Valentine's Day."
1002401,bar,1,10024,"The simplest and most common shape for chocolate treats. If it ain't broken, why fix it? Although being easily broken is actually one of this shape's advantages."
1002402,"sugary snack",2,10024,"The health-conscious may dread to hear how much sugar is in each tasty bar of chocolate. Dark chocolate is usually a little lighter on the sucrose."
1002403,tablet,2,10024,"A type of chocolate bar designed to be broken into pieces. Can also refer to other kinds of confection."
1002404,"Draggo's favorite",3,10024,"Inori's newfound friend knows what he likes, and what he likes is chocolate."
1002500,acorn,1,10025,"The hard-shelled fruit of the oak tree. Not usually eaten by humans, but children love to collect them."
1002501,oaknut,1,10025,"A less common name for the acorn. It's more descriptive, though, so why not use it?"
1002502,"squirrel food",2,10025,"Squirrels are well known for nibbling on these wild nuts, and it seems that beastfolk are no exception..."
1002503,"Rin's snack",3,10025,"She may love sweet buns best, but acorns are definitely a favorite treat too. They even double up as projectiles for her to throw at enemies."
1002600,strawberry,1,10026,"A popular fruit with a very distinctive flavor. Technically, it's the tiny seeds on its surface that are each individual fruit."
1002601,berry,1,10026,"The category strawberries belong to. Sorry, you've got to be a bit more specific than ""fruit"" for this one!"
1002602,"ice cream flavor",2,10026,"Vanilla, strawberry, chocolate, mint... Which is your favorite?"
1002700,tiger,1,10027,"One of the best-known big cats, easily recognized by its trademark stripes. The lion may be king of the jungle, but it's often claimed that the tiger would beat it in a fight."
1002701,cat,2,10027,"More commonly associated with our domestic feline friends, but the tiger falls under its broader definition as well. Who says big cats can't be as cute as the smaller ones?"
1002702,"big cat",2,10027,"A common term for a number of wild species that are closely related to the domestic cat, but much larger in size. Tigers and lions are probably the best known among them."
1002703,predator,2,10027,"The fearsome tiger is a proficient hunter sitting comfortably at the top of the food chain. Unlike the lion, which hunts in groups, it usually hunts alone."
1002704,"Matsuri's idol",3,10027,"As she will happily tell anyone willing to listen, Matsuri idolizes the fictional hero Tora Tiger. Perhaps that's why she wears that tiger tail ""accessory."""
1002705,"Fearless Hero Tora Tiger",3,10027,"A fictional hero of justice popular with the children of Landosol. But ""Tora"" is Japanese for ""tiger,"" so isn't that name redundant?"
1002800,plushie,1,10028,"Cute and soft, making it ideal for hugging. Available in all shapes and sizes. Maho of Caon has even been known to make her own original designs."
1002801,rabbit,1,10028,"A small mammal popular as a pet and widely acknowledged as adorable. Perhaps best known for its distinctive long ears."
1002802,bunny,1,10028,"A cuter name for the common rabbit. Once upon a time it referred only to the young of the species, but nowadays it can be used for rabbits of any age."
1002803,"Makoto bait",2,10028,"I can't say any more, because I don't want to fall victim to a Wolven Rend."
1002804,Arthur,3,10028,"One of Maho's beloved plushie collection. She names them all after figures from Arthurian legend."
1002900,bomb,1,10029,"An explosive device used for destroying obstacles or as a powerful weapon. Not to be set off lightly."
1002901,explosive,1,10029,"A broad term for any device or substance that causes explosions. There are many different varieties, but they're all undoubtedly dangerous."
1002902,"safety hazard",2,10029,"Refers to anything that's too dangerous to be left lying around. Bombs, for instance."
1002903,"dangerous item",2,10029,"No, really. You could seriously hurt someone with one of those. Where did you even get it?"
1002904,"Misogi's prank",3,10029,"Those aren't real bombs she uses, right? They've gotta just be toys, right? ...Right?"
1003000,watermelon,1,10030,"A large, succulent fruit. Its distinctive striped green rind contrasts with the bright pinkish-red interior."
1003001,fruit,2,10030,"Larger than most, but yes, the watermelon is also a fruit. A single slice makes for a satisfying dessert or snack."
1003002,"summer tradition",2,10030,"The refreshing watermelon has close associations with the hot season. In Japan, a classic summer pastime involves attempting to smash a watermelon while blindfolded."
1003100,horse,1,10031,"The venerable creature that has served humans well throughout history, whether as transportation or as a work animal."
1003101,pony,1,10031,"A name for small horses, though the exact size requirements are not always well defined. Popular for children to ride as a recreational activity."
1003102,steed,2,10031,"Refers specifically to horses used for riding. Particularly associated with proud knights in battles of old."
1003103,"clip clop",2,10031,"The noise that horses' hooves are said to make as they trot along. Can also be produced using coconuts."
1003104,thoroughbred,2,10031,"A horse of esteemed parentage, particularly those of a specific breed known for its racing prowess."
1003105,"Night Mare",3,10031,"A ghastly horse monster often seen in the Clan Battle boss lineup."
1003200,chair,1,10032,"A common furniture item used for sitting upon. Some are more comfortable than others."
1003201,furniture,2,10032,"Large items placed in rooms for everyday use. Chairs and tables are foremost among them."
1003202,"guildhouse item",3,10032,"Purchasable with rupies, you can use these to decorate your guildhouse for your characters' convenience. They come in many designs, from the adorable to the elegant."
1003203,Masaki,3,10032,"Rumor has it that Neneka uses Masaki as her personal seat. Given his boundless devotion to his mistress, he would probably take this as a mark of honor."
1003300,beach,1,10033,"The sandy area where the sea meets the land. Always a popular summer destination."
1003301,sea,1,10033,"Any of the large bodies of water that cover most of the world's surface. In narrower usage, it refers only to slightly smaller watery regions, as the largest are called oceans."
1003302,island,2,10033,"Small landmasses surrounded by water. If you find yourself stranded on one, it can be difficult to escape."
1003303,"desert island",2,10033,"Refers to any island uninhabited by humans. The ""desert"" means ""deserted"" rather than the more common meaning of a dry region, though both are often sandy and hot."
1003304,ocean,2,10033,"The largest masses of water on the world's surface, stretching between entire continents."
1003305,"Marjan Coast",3,10033,"A popular seaside region that can be reached from Landosol on foot, though for a tourist destination, it seems to have a lot of monster trouble."
1003400,crab,1,10034,"One of a variety of crustaceans often found at the beach. Hermit crabs, which scavenge shells instead of growing their own, are not actually crabs in the strictest sense."
1003401,monster,2,10034,"Creatures of folklore and legend, considered more fearsome than ordinary animals due to their unique features. For instance, normal crabs don't usually use helmets as shells."
1003402,"shell of steel",2,10034,"Where did this crab even find one of those? And what happened to the rest of the suit of armor?"
1003403,"Hermit Knight",3,10034,"A common monster often seen in the vicinity of Landosol. As you might expect from its appearance, defense is its strong point."
1003500,recorder,1,10035,"A well-known instrument in the flute family, and a popular first choice for children to learn."
1003501,flute,1,10035,"Any of a major family of woodwind instruments. Often refers specifically to the concert flute, which is held horizontally rather than vertically."
1003502,instrument,2,10035,"Devices used by skilled performers to produce music. The flute is the oldest known form of instrument in existence."
1003503,"wind instrument",2,10035,"Instruments that produce music by blowing into or across a mouthpiece. All flutes belong to the woodwind subcategory, despite often being made from metal rather than wood."
1003600,book,1,10036,"Bound pages containing written words. Usually printed mechanically, though in olden times each volume would be written out by hand."
1003601,novel,1,10036,"A book containing a story. Transports the reader to a world of romance, or adventure, or mystery... the possibilities are endless."
1003602,"tome of magic",2,10036,"An arcane book that conceals the secrets to producing magical spells. The source of a mage's knowledge and power."
1003603,hardcover,2,10036,"A sturdy book bound with a thick cover, as opposed to more flimsy paperbacks which sell for a lower price."
1003604,"Karyl's spellbook",3,10036,"Is it a book, or is it a staff? And who decided it was a good idea to combine the two?"
1003700,fish,1,10037,"The best-known category of animals that live in water. Covers a mind-boggling variety of species."
1003701,tuna,1,10037,"A very large fish prized for its delicious meat, whether canned in brine, grilled as a steak, or served raw on sushi rice."
1003702,mackerel,2,10037,"A close relative of the tuna, though much smaller in size. Like its large-bodied relative, it is popularly caught as food by humans."
1003703,"saltwater fish",2,10037,"The general term for fish that live in the salty seas, as opposed to freshwater fish that live in lakes and rivers."
1003704,"cat food",2,10037,"Cats are well known for loving the taste of fish, perhaps even more than humans. Just remember, it's only one part of a balanced diet."
1003705,whopper,2,10037,"The size of fish that every fisherman hopes to catch. Can also refer to particularly large items in other categories."
1003800,tree,1,10038,"One of many varieties of large, long-lived plants with a sturdy central trunk. A venerable symbol of nature's majesty."
1003801,"holiday decoration",1,10038,"During the festive season, many families put up decorated trees in their houses. If you're lucky, you may find a present underneath with your name on it."
1003802,"fir tree",2,10038,"An evergreen tree in the pine family with needle-like leaves, often treated as symbolic of the winter."
1003803,"caroling season",2,10038,"The time of year when people go out and sing festive songs. If you listen closely, you might hear the jingling of sleigh bells from the sky above."
1003804,Yuletide,2,10038,"The traditional festive season celebrated since ancient times. Nowadays, it is closely associated with other festivals that fall at the same time of year."
1003900,lollipop,1,10039,"A simple but enduring treat consisting of a ball of candy mounted on a handy stick. Popular with children the world over."
1003901,sucker,2,10039,"Another way of referring to the classic lollipop, in reference to how it is usually enjoyed."
1003902,pop,2,10039,"A shorter name for the lollipop, perhaps most commonly associated with the icy variety. Not to be confused with the identical name for a carbonated drink."
1003903,"Chloe's grub",3,10039,"Somehow, this children's treat makes for the perfect accompaniment to Chloe's delinquent image. Plus, y'know. It's tasty."
1004000,hammer,1,10040,"A tool for striking nails that stick out. Or various other things. Just try not to hit your finger."
1004001,"toy hammer",1,10040,"A classic children's toy. Unlike a real hammer, you can whack things with it all day and not cause any real damage... well, within reason."
1004002,"squeaky hammer",2,10040,"Another name for the classic toy hammer, so called because of the squeaking noise it makes when it strikes its target."
1004003,gavel,2,10040,"A traditional style of wooden hammer. Particularly associated with courtroom judges, who are known for striking it loudly when they pass a verdict."
1004004,"Inori's weapon",3,10040,"Inori's gigantic weapon looks suspiciously like the squeaky variety of hammer, but you'd be mistaken to underestimate its firepower."
1004100,star,1,10041,"The twinkling lights in the night sky. Actually gigantic balls of plasma in the far reaches of space."
1004101,"five-pointed star",1,10041,"A simple geometric shape often used to represent the stars in the sky."
1004102,"outer space",2,10041,"The vast open reaches that lie beyond the sky. Populated by a variety of astronomical objects, but a lot more of absolutely nothing."
1004103,pentagram,2,10041,"A five-pointed star drawn using five intersecting lines. When surrounded by a circle, it makes the magical symbol known as the pentacle."
1004104,"night sky",2,10041,"The darkness above our heads after the sun goes down, lit only by the faint gleam of the moon and the stars."
1004105,"Twinkle Wish",3,10041,"The guild formed by Yui and her friends, its name inspired by the tradition of wishing upon a star in the sky."
1004106,"Landosol City",3,10041,"Though you wouldn't know it from the ground, a bird's-eye view reveals the starry shape of the royal capital in all its glory."
1004200,hat,1,10042,"A type of clothing worn atop the head. It's good manners to take them off indoors."
1004201,fedora,2,10042,"A time-honored style of hat, popularly associated with detectives as well as less savory types."
1004202,trilby,2,10042,"A classic hat, similar to the fedora but with a narrower brim. Once upon a time, it was a status symbol."
1004203,"gangster hat",2,10042,"Though fedoras can be found in many walks of life, they have an enduring association with the well-dressed criminal underworld."
1004300,cup,1,10043,"A vessel used for drinking out of. Often refers specifically to varieties not made of glass."
1004301,mug,1,10043,"A type of cup usually made from ceramic materials, intended for drinking hot beverages such as coffee."
1004302,tea,2,10043,"A traditional hot beverage that remains popular around the world, though moreso in some countries than others."
1004400,dog,1,10044,"An ever-popular and loyal pet. Known for saying ""woof."""
1004401,wolf,1,10044,"The less pettable wild relative of the dog. Known for saying ""awoo."""
1004402,puppy,2,10044,"A dog in its infancy. Known for being unreasonably cute."
1004403,cub,2,10044,"A wolf in its childhood years. Casual petting still not advised."
1004404,"man's best friend",2,10044,"Traditional wisdom claims that the bond between man and dog is stronger than any other."
1004500,flag,1,10045,"A decorative piece of cloth, often waved as a signal."
1004501,ensign,2,10045,"A national flag, generally flown to indicate the country a ship belongs to."
1004600,cake,1,10046,"Perhaps the most famous of sweet treats. Available in many designs and flavors."
1004601,dessert,1,10046,"Any sweet treat eaten after a meal. A cake is a classic choice."
1004602,birthday,2,10046,"Cakes are eaten on many occasions, but they're particularly important for birthdays. Where else are you going to put all the candles?"
1004603,"guildhouse gift",3,10046,"Rumor has it that new arrivals at the guildhouse often find themselves treated to a veritable banquet of cakes, cakes and more cakes."
1004604,"Mixed Berry Cake",3,10046,"A specific variety of cake that everyone seems to love. Said to be the key to forging deeper bonds."
1004700,mic,1,10047,"Short for ""microphone."" A device for converting sound into electronic signals."
1004701,singing,1,10047,"The most popular use for a handheld microphone, whether in a professional on-stage performance or a more casual karaoke setting."
1004702,karaoke,1,10047,"A popular pastime for amateur singers... and those who just enjoy putting their friends on the spot."
1004703,"idol's best friend",2,10047,"No self-respecting pop idol would take the stage without a microphone to carry their voice to the waiting audience."
1004704,"Brilliant Microphone",3,10047,"Nozomi's Unique Equipment, adorned with the Carmina logo!"
1004800,lipstick,1,10048,"A standard form of makeup used to accentuate the lips."
1004801,makeup,1,10048,"A general term for products used to beautify one's appearance."
1004802,cosmetics,2,10048,"Another name for the broader category of makeup products to which lipstick belongs."
1004900,mochi,1,10049,"A sticky Japanese confection made by pounding rice."
1004901,"kagami mochi",1,10049,"A traditional New Year's decoration consisting of stacked rice cakes with an orange on top."
1004902,"rice cakes",1,10049,"An English name for mochi confections, succinctly describing their essential nature."
1004903,"New Year's decoration",2,10049,"The usual purpose of a kagami mochi. Some say the two rice cakes symbolize the old year and the new."
1004904,orange,2,10049,"No kagami mochi is complete without a daidai orange, whose name symbolizes prosperity across generations."
1005000,fairy,1,10050,"A magical being in the shape of a miniature human with wings, well known from folklore and fantasy."
1005001,pixie,2,10050,"A classic type of fairy in folklore, often depicted with pointed ears and a mischievous nature."
1005002,Nebbia,3,10050,"The cheeky Guide Fairy who has taken up residence in the Gourmet Guild's guildhouse."
1005100,umbrella,1,10051,"An invaluable tool for protecting oneself from falling rain."
1005101,"beach parasol",2,10051,"A variety of umbrella generally used as a shield from the sun rather than the rain."
1005102,yellow,2,10051,"A bright and summery color, though it's at least as popular for rain umbrellas as for parasols."
1005103,"rainy day",2,10051,"The kind of day when you might regret leaving your umbrella at home."
1005104,"Pecorine (Summer)'s weapon",3,10051,"Casting her Royal Equipment aside to enjoy the beach to the full, Pecorine instead wields a parasol that somehow doubles as a weapon."
1005200,dice,1,10052,"Technically, a single dice is a ""die,"" but who's counting?"
1005201,"random number",2,10052,"In the hands of a skilled swindler, perhaps not as random as you might think."
1005202,box,2,10052,"The basic shape of most six-sided dice."
1005203,plastic,2,10052,"Most dice are made of this nowadays, though the oldest are made from bones!"
1005204,"Yori's game supplies",3,10052,"An essential item for any avid board gamer."
1005300,letter,1,10053,"A message from one person to another. There's something special about the handwritten kind."
1005301,mail,1,10053,"Letters and other deliveries sent through the trusty postal service."
1005302,post,1,10053,"The postman brings the mail... or does the mailman bring the post?"
1005303,"confession of love",2,10053,"A heartfelt message for that special someone. Let's just hope it doesn't lead to a rejection."
1005304,romantic,2,10053,"Bittersweet though it may sometimes be, everyone needs a little romance in their lives."
1005400,grapes,1,10054,"A popular fruit that grows in distinctive bunches."
1005401,fruit,2,10054,"Though each individual fruit may be smaller than most, the grape is a proud member of the wider fruit family."
1005402,"undried raisins",2,10054,"If a raisin is a dried grape, what does that make a grape? Yes, exactly."
1005403,wine-making,2,10054,"One of the most traditional uses for many grape varieties, good wines are held in the highest esteem."
1005500,ram,1,10055,"A male sheep. Often identifiable by their magnificent horns, though in some breeds the female ewes may have horns as well."
1005501,sheep,1,10055,"A popular farm animal, prized as much for its rich woolly fleece as for its meat."
1005502,lamb,2,10055,"The name for a young sheep, as well as the most common form of sheep meat. Meat from older animals may be referred to as mutton instead."
1005600,tofu,1,10056,"A smooth white food made from soy milk."
1005601,hiyayakko,2,10056,"A popular summer dish in Japan, consisting of a block of chilled tofu with a tasty topping."
1005602,"bean curd",2,10056,"Another name for tofu in English, which describes how it is actually produced from soybeans."
1005603,"eastern dish",2,10056,"Though tofu is nowadays enjoyed around the world, it remains particularly popular in the eastern regions where it originated."
1005700,duck,1,10057,"The common waterfowl that everyone knows. Quacks a lot."
1005701,goose,1,10057,"A larger relative of the duck. Known for honking rather than quacking."
1005702,bird,2,10057,"The broad category of feathered creatures to which ducks, geese, and many other species belong. Most, though not all, can fly."
1005703,waterfowl,2,10057,"The water-dwelling subcategory of birds that contains ducks, geese and their close relatives."
1005704,"ugly duckling",2,10057,"The world's most famous bullied bird. Spoilers: it turned out to be a swan in the end."
1005800,dragonfly,1,10058,"A very distinctive large flying insect, often associated with the warmer months of the year."
1005801,insect,1,10058,"The most diverse group of animals in the world. Technically only includes six-legged creepy-crawlies, but popular usage is even broader."
1005802,bug,2,10058,"A slang word for insects and other creepy-crawlies. Also refers to concealed surveillance devices, but that's not what we're looking at here... probably."
1005803,tigertail,2,10058,"A subfamily of dragonflies, so called for the tiger-like stripes on their long, thin bodies."
1005900,leaf,1,10059,"One of the appendages that plants use to catch the sun's rays."
1005901,"plant leaf",1,10059,"Leaves come in as many shapes and sizes as the plants that bear them, from as thin as a needle to as large as a human being."
1005902,greenery,2,10059,"Due to the chlorophyll they use to convert light into energy, almost all plant leaves share a similar green color."
1005903,herb,2,10059,"Refers to plants used for their flavor, scent, or medicinal properties. Depending on where you live, the ""H"" may or may not be pronounced."
1005904,"Aoi's friends",3,10059,"Though she has trouble making human friends, Aoi can speak to plants much more easily."
1006000,ring,1,10060,"A common form of jewelry worn on the fingers."
1006001,band,1,10060,"Another name for a ring, usually referring to simpler, less ornate designs."
1006002,"wedding vows",1,10060,"Many wedding traditions involve an exchange of rings that represent an oath of love and loyalty."
1006100,rope,1,10061,"A thick, sturdy form of string used for binding or hauling."
1006101,string,1,10061,"A length of fiber that can be tied into knots or used for a variety of purposes."
1006102,yarn,2,10061,"A twisted strand of fiber such as those used for knitting."
1006103,elastic,2,10061,"A stretchy material used to produce flexible clothing."
1006104,untied,2,10061,"The loose state of a string or rope that has yet to be knotted."
1006105,"Kuka's property",3,10061,"What could Kuka be planning to tie up with this sturdy rope? Perhaps it's best not to ask..."
1006200,shield,1,10062,"A traditional tool used to defend oneself from attacks in battle."
1006201,guard,2,10062,"The act of protecting oneself from danger. Can also refer to something or someone used to achieve this."
1006202,armor,2,10062,"A general term for wearable gear designed to protect the user from attacks."
1006203,"defensive gear",2,10062,"A more modern term for armor and other equipment used for protection."
1006204,buckler,2,10062,"A name for certain types of small shield, particularly those that can be worn on the arm."
1006205,"Inferno Shield",3,10062,"Jun's Union Burst, embodying her determination to protect everything she holds dear."
1006300,money,1,10063,"Used to pay for goods and services. Not for eating."
1006301,gold,1,10063,"A very precious metal traditionally used in coinage. Not usually for eating."
1006302,cash,2,10063,"A common slang word for money. Still not for eating."
1006303,"small change",2,10063,"Well, they're coins, so they must be small change, right? Even if they are made of pure gold (do not eat)."
1006304,dough,2,10063,"Not for eating until it's been baked. What? We're talking about money? Oh. Not for eating at all, then."
1006305,rupies,3,10063,"The currency used in Landosol. Not for eating."
1006306,"furniture funds",3,10063,"Most of your rupies will likely be spent on these guildhouse items. A few of which... actually are for eating."
1006400,pudding,1,10064,"A word for various tasty treats. Which ones specifically varies around the world, but in Japan, it almost always refers to these beloved round custard desserts."
1006401,flan,1,10064,"The most popular word in the US for Miyako's favorite snack. In the UK, it refers to a slightly different, often savory treat."
1006402,"creme caramel",1,10064,"The French name for Miyako's favorite treat, also commonly used in regions such as the UK."
