group_id,group_id_comment,group_unit_id_01,group_unit_id_02,group_unit_id_03,group_unit_id_04,group_unit_id_05
20055,"Akino & Yukari",103201001,103401001,0,0,0
20056,"Akino & Tamaki",103201001,104601001,0,0,0
20057,"Mifuyu & Yukari",104801001,103401001,0,0,0
20058,"Mifuyu & Tamaki",104801001,104601001,0,0,0
20059,"Yukari & Tamaki",103401001,104601001,0,0,0
20060,"Ruka & Mitsuki",105601001,105101001,0,0,0
20061,"Ruka & Eriko",105601001,102701001,0,0,0
20062,"Ruka & Nanaka",105601001,101301001,0,0,0
20063,"Ruka & Anna",105601001,100901001,0,0,0
20064,"Mitsuki & Eriko",105101001,102701001,0,0,0
20065,"Mitsuki & Nanaka",105101001,101301001,0,0,0
20066,"Mitsuki & Anna",105101001,100901001,0,0,0
20067,"Eriko & Nanaka",102701001,101301001,0,0,0
20068,"Eriko & Anna",102701001,100901001,0,0,0
20069,"Nanaka & Anna",101301001,100901001,0,0,0
20070,"Io & Misaki",101801001,105001001,0,0,0
20071,"Io & Suzuna",101801001,101601001,0,0,0
20072,"Misaki & Suzuna",105001001,101601001,0,0,0
20073,"Monika & Yuki",105301001,100801001,0,0,0
20074,"Monika & Ninon",105301001,103001001,0,0,0
20075,"Monika & Kuka",105301001,104501001,0,0,0
20076,"Monika & Ayumi",105301001,105501001,0,0,0
20077,"Yuki & Ninon",100801001,103001001,0,0,0
20078,"Yuki & Kuka",100801001,104501001,0,0,0
20079,"Yuki & Ayumi",100801001,105501001,0,0,0
20080,"Ninon & Kuka",103001001,104501001,0,0,0
20081,"Ninon & Ayumi",103001001,105501001,0,0,0
20082,"Kuka & Ayumi",104501001,105501001,0,0,0
20083,"Saren & Akino",102801001,103201001,0,0,0
20084,"Rei & Tsumugi",100301001,105401001,0,0,0
20085,"Makoto & Yui",100201001,104301001,0,0,0
20086,"Chloe & Chieru",110801001,110901001,0,0,0
20087,"Chieru & Yuni",110801001,111001001,0,0,0
20088,"Chloe & Yuni",110901001,111001001,0,0,0
20089,"Anne & Lou",109201001,109301001,0,0,0
20090,"Anne & Grea",109201001,109401001,0,0,0
20091,"Lou & Grea",109301001,109401001,0,0,0
20092,"Emilia & Rem",109901001,109701001,0,0,0
20093,"Emilia & Ram",109901001,109801001,0,0,0
20094,"Rem & Ram",109701001,109801001,0,0,0
20095,"Neneka & Christina",107001001,107101001,0,0,0
20096,"Neneka & Lima",107001001,105201001,0,0,0
20097,"Neneka & Muimi",107001001,106101001,0,0,0
20098,"Muimi & Christina",106101001,107101001,0,0,0
20103,"Uzuki & Mio",112401001,112601001,0,0,0
20104,"Uzuki & Rin",112401001,112501001,0,0,0
20105,"Mio & Rin",112601001,112501001,0,0,0
