movie_id,story_group_id,story_id,bgm_id,se_id,my_page_flag,fade_loop_flag,bgm_volume_rate
200100101,2001,2001001,bgm_M12_emt01_001,"",0,0,1.0
200100201,2001,2001002,"","",0,0,1.0
200100301,2001,2001003,bgm_M13,"",0,0,1.0
200100401,2001,2001004,bgm_M43,"",0,0,1.0
200100501,2001,2001005,"","",0,0,1.0
200100580,2001,2001005,"","",0,0,1.0
200100581,2001,2001005,"","",0,0,1.0
200200101,2002,2002001,"",amb_adv_room_noise_01,0,0,1.0
200200201,2002,2002002,bgm_M23_emt02_002,"",0,0,1.0
200200301,2002,2002003,bgm_M23_emt02_003,amb_adv_wind_01,0,0,1.0
200200401,2002,2002004,bgm_M22_emt02_004,"",0,0,1.0
200200501,2002,2002005,bgm_M23_emt02_005,"",0,0,1.0
200200580,2002,2002005,"","",0,0,1.0
200200581,2002,2002005,"","",0,0,1.0
200300101,2003,2003001,bgm_M35_emt03_001,"",0,0,1.0
200300201,2003,2003002,bgm_M19,amb_adv_room_noise_night_01,0,0,1.0
200300401,2003,2003004,"","",0,0,1.0
200300501,2003,2003005,"",amb_adv_outdoors_night_02,0,0,1.0
200300580,2003,2003005,"","",0,0,1.0
200300581,2003,2003005,"","",0,0,1.0
200400201,2004,2004002,bgm_M17_emt04_002,"",0,0,1.0
200400301,2004,2004003,bgm_M17_emt04_003,amb_adv_outdoors_day_01,0,0,1.0
200400401,2004,2004004,bgm_M63_emt04_004,"",0,0,1.0
200400501,2004,2004005,bgm_M24_emt04_005,"",0,0,1.0
200400580,2004,2004005,"","",0,0,1.0
200400581,2004,2004005,"","",0,0,1.0
200500301,2005,2005003,bgm_M50,amb_adv_prison_01,0,0,1.0
200500401,2005,2005004,bgm_M49_emt05_004,amb_adv_between_the_kings_01,0,0,1.0
200500501,2005,2005005,"","",0,0,1.0
200500601,2005,2005006,bgm_M34_emt05_006,amb_adv_wind_04,0,0,1.0
200500602,2005,2005006,bgm_M49_emt05_006,amb_adv_wind_04,0,0,1.0
200500603,2005,2005006,"","",0,0,1.0
200500680,2005,2005006,"","",0,0,1.0
200500681,2005,2005006,"","",0,0,1.0
200600201,2006,2006002,bgm_M105_emt06_002,"",0,0,1.0
200600202,2006,2006002,"",amb_adv_room_noise_night_01,0,0,1.0
200600601,2006,2006006,bgm_M55_emt06_006,amb_adv_outdoors_day_01,0,0,1.0
200601301,2006,2006013,bgm_M24_emt06_013,amb_adv_prison_01,0,0,1.0
200601380,2006,2006013,"","",0,0,1.0
200601381,2006,2006013,"","",0,0,1.0
200700101,2007,2007001,bgm_M34_emt07_001,amb_adv_forest_01,0,0,1.0
200700401,2007,2007004,bgm_M34_emt07_004,amb_adv_town_day_01,0,0,1.0
200701001,2007,2007010,"","",0,0,1.0
200701002,2007,2007010,bgm_M93_emt07_010,"",0,0,1.0
200701101,2007,2007011,bgm_M57_emt07_011,"",0,0,1.0
200701201,2007,2007012,"","",0,0,1.0
200701380,2007,2007013,"","",0,0,1.0
200701381,2007,2007013,"","",0,0,1.0
200800101,2008,2008001,bgm_M05_emt08_001,"",0,0,1.0
200800601,2008,2008006,bgm_M15_emt08_006,amb_adv_room_noise_01,0,0,1.0
200800701,2008,2008007,"","",0,0,1.0
200801201,2008,2008012,"","",0,0,1.0
200801502,2008,2008015,"","",0,0,1.0
200801580,2008,2008015,"","",0,0,1.0
200801581,2008,2008015,"","",0,0,1.0
200900201,2009,2009002,"","",0,0,1.0
200900501,2009,2009005,bgm_M177_emt09_005,"",0,0,1.0
200900901,2009,2009009,"","",0,0,1.0
200901101,2009,2009011,bgm_M60_emt09_011,"",0,0,1.0
200901380,2009,2009013,"","",0,0,1.0
200901381,2009,2009013,"","",0,0,1.0
200909901,2009,2009099,bgm_M188_emt10_00,"",0,0,1.0
201000101,2010,2010001,bgm_M201_emt10_001,"",0,0,1.0
201000401,2010,2010004,bgm_M204_emt10_004,"",0,0,1.0
201000601,2010,2010006,"","",0,0,1.0
201000801,2010,2010008,"","",0,0,1.0
201000880,2010,2010008,"","",0,0,1.0
201000881,2010,2010008,"","",0,0,1.0
201100101,2011,2011001,bgm_M211_emt11_001,"",0,0,1.0
201100301,2011,2011003,bgm_M234_emt11_003,"",0,0,1.0
201100701,2011,2011007,bgm_M95_emt11_007,"",0,0,1.0
201100801,2011,2011008,"","",0,0,1.0
201100880,2011,2011008,"","",0,0,1.0
201100881,2011,2011008,"","",0,0,1.0
201200301,2012,2012003,bgm_M131_emt12_003,"",0,0,1.0
201200701,2012,2012007,bgm_M109_emt12_007,"",0,0,1.0
201201001,2012,2012010,bgm_M241_emt12_010,"",0,0,1.0
201201501,2012,2012015,bgm_M242_emt12_015,"",0,0,1.0
201201580,2012,2012015,"","",0,0,1.0
201201581,2012,2012015,"","",0,0,1.0
201300401,2013,2013004,bgm_M177_emt13_004,"",0,0,1.0
201301001,2013,2013010,bgm_M209_NoChorus_emt13_010,"",0,0,1.0
201301501,2013,2013015,bgm_M55_emt13_015,"",0,0,1.0
201301680,2013,2013016,"","",0,0,1.0
201301681,2013,2013016,"","",0,0,1.0
201400101,2014,2014001,"","",0,0,1.0
201400401,2014,2014004,"","",0,0,1.0
201400801,2014,2014008,bgm_M231_emt14_008,"",0,0,1.0
201400901,2014,2014009,"","",0,0,1.0
201400980,2014,2014009,"","",0,0,1.0
201400981,2014,2014009,"","",0,0,1.0
201500301,2015,2015003,"","",0,0,1.0
201500501,2015,2015005,bgm_M307_emt015_005,"",0,0,1.0
201500502,2015,2015005,"","",0,0,1.0
201500601,2015,2015006,bgm_M300_emt015_006,"",0,0,1.0
201500980,2015,2015009,"","",0,0,1.0
201500981,2015,2015009,"","",0,0,1.0
210100101,2101,2101001,"","",0,0,1.0
210100102,2101,2101001,"","",0,0,1.0
210100301,2101,2101003,"","",0,0,1.0
210101301,2101,2101013,"","",0,0,1.0
210101401,2101,2101014,"","",0,0,1.0
210101480,2101,2101014,"","",0,0,1.0
210101481,2101,2101014,"","",0,0,1.0
210200101,2102,2102001,bgm_M12_pt02_emt02_001,"",0,0,1.0
210200501,2102,2102005,"","",0,0,1.0
210201001,2102,2102010,"","",0,0,1.0
210201101,2102,2102011,"","",0,0,1.0
210201180,2102,2102011,"","",0,0,1.0
210201181,2102,2102011,"","",0,0,1.0
210300101,2103,2103001,"","",0,0,1.0
210301201,2103,2103012,"","",0,0,1.0
210301301,2103,2103013,"","",0,0,1.0
210301501,2103,2103015,bgm_M409_pt02_emt03_015,"",0,0,1.0
210301701,2103,2103017,"","",0,0,1.0
210301880,2103,2103018,"","",0,0,1.0
210301881,2103,2103018,"","",0,0,1.0
210400201,2104,2104002,bgm_M321_pt02_emt04_002,"",0,0,1.0
210400401,2104,2104004,"","",0,0,1.0
210400801,2104,2104008,"","",0,0,1.0
210401080,2104,2104010,"","",0,0,1.0
210401081,2104,2104010,"","",0,0,1.0
210409801,2104,2104098,bgm_M109_pt02_emt04_011,"",0,0,1.0
301000301,3010,3010003,"","",0,0,1.0
500100701,5001,5001007,"","",0,0,1.0
500200701,5002,5002007,"","",0,0,1.0
500300701,5003,5003007,"","",0,0,1.0
500400601,5004,5004006,"","",0,0,1.0
500400701,5004,5004007,"","",0,0,1.0
500500301,5005,5005003,"","",0,0,1.0
500500701,5005,5005007,"","",0,0,1.0
500600601,5006,5006006,"","",0,0,1.0
500600701,5006,5006007,"","",0,0,1.0
500700601,5007,5007006,"","",0,0,1.0
500700701,5007,5007007,"","",0,0,1.0
500800601,5008,5008006,"","",0,0,1.0
500800701,5008,5008007,"","",0,0,1.0
500900601,5009,5009006,"","",0,0,1.0
500900701,5009,5009007,"","",0,0,1.0
501000601,5010,5010006,"","",0,0,1.0
501000702,5010,5010007,"","",0,0,1.0
501050101,5010,5010501,"","",0,0,1.0
501100601,5011,5011006,bgm_M192_emt5011_005,"",0,0,1.0
501100701,5011,5011007,"","",0,0,1.0
501200601,5012,5012006,bgm_M209_emt5012_006,"",0,0,1.0
501200701,5012,5012007,"","",0,0,1.0
501300601,5013,5013006,bgm_M218_emt5013_006,"",0,0,1.0
501300701,5013,5013007,"","",0,0,1.0
501500601,5015,5015006,"","",0,0,1.0
501500701,5015,5015007,"","",0,0,1.0
501700601,5017,5017006,"","",0,0,1.0
501700701,5017,5017007,"","",0,0,1.0
501900601,5019,5019006,"","",0,0,1.0
501900701,5019,5019007,"","",0,0,1.0
502100601,5021,5021006,"","",0,0,1.0
502100701,5021,5021007,"","",0,0,1.0
502300601,5023,5023006,bgm_M256_emt5023_006,"",0,0,1.0
502300701,5023,5023007,"","",0,0,1.0
502500601,5025,5025006,"","",0,0,1.0
502500701,5025,5025007,"","",0,0,1.0
502500801,5025,5025008,"","",0,0,1.0
502700601,5027,5027006,"","",0,0,1.0
502700701,5027,5027007,"","",0,0,1.0
502900601,5029,5029006,"","",0,0,1.0
502900701,5029,5029007,"","",0,0,1.0
503100001,5031,5031000,bgm_M185_emt5031_000,"",0,0,1.0
503100601,5031,5031006,"","",0,0,1.0
503100701,5031,5031007,"","",0,0,1.0
503150101,5031,5031501,"","",0,0,1.0
503300001,5033,5033000,"","",0,0,1.0
503300601,5033,5033006,"","",0,0,1.0
503300701,5033,5033007,"","",0,0,1.0
503300801,5033,5033008,"","",0,0,1.0
503500001,5035,5035000,"","",0,0,1.0
503600401,5036,5036004,"","",0,0,1.0
503600501,5036,5036005,"","",0,0,1.0
503650101,5036,5036501,"","",0,0,1.0
503650201,5036,5036502,"","",0,0,1.0
503650301,5036,5036503,"","",0,0,1.0
503650401,5036,5036504,"","",0,0,1.0
503800101,5038,5038001,bgm_M122_emt5038_001,"",0,0,1.0
503800501,5038,5038005,bgm_M346_emt5038_005,"",0,0,1.0
503800701,5038,5038007,"","",0,0,1.0
504000001,5040,5040000,"","",0,0,1.0
504000601,5040,5040006,"","",0,0,1.0
504000701,5040,5040007,"","",0,0,1.0
504200101,5042,5042001,"","",0,0,1.0
504200601,5042,5042006,"","",0,0,1.0
504200701,5042,5042007,"","",0,0,1.0
504400101,5044,5044001,bgm_M113_emt5044_001,"",0,0,1.0
504400601,5044,5044006,bgm_M384_emt5044_006,"",0,0,1.0
504400701,5044,5044007,"","",0,0,1.0
504600101,5046,5046001,bgm_M394_emt5046_001,"",0,0,1.0
504600601,5046,5046006,bgm_M397_emt5046_006,"",0,0,1.0
504600701,5046,5046007,"","",0,0,1.0
504800301,5048,5048003,"","",0,0,1.0
504800601,5048,5048006,"","",0,0,1.0
504800701,5048,5048007,"","",0,0,1.0
505000101,5050,5050001,"","",0,0,1.0
505000601,5050,5050006,"","",0,0,1.0
505000701,5050,5050007,"","",0,0,1.0
505000801,5050,5050008,"","",0,0,1.0
505200001,5052,5052000,"","",0,0,1.0
505200601,5052,5052006,"","",0,0,1.0
505200701,5052,5052007,"","",0,0,1.0
505200801,5052,5052008,"","",0,0,1.0
700100001,7001,7001000,"","",0,0,1.0
