id,mission_reward_id,reward_type,reward_id,reward_num,lv_from,lv_to,start_time,end_time
71,28002009,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
72,28002009,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
73,28002010,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
74,28002010,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
75,28002011,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
76,28002011,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
77,28002012,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
78,28002012,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
79,26001001,8,91002,30,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
80,26003001,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
82,24002001,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
83,24004001,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
84,21005001,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
85,21005002,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
86,21005003,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
87,21005004,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
88,21005005,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
89,26002001,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
90,26002002,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
91,26002003,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
92,26002004,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
93,26002005,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
94,26002006,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
95,26002007,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
96,26002010,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
97,26005001,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
101,28006001,8,91002,1000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
102,28005001,5,0,20,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
103,28005001,2,20001,10,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
104,15005001,12,94002,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
105,18001003,6,93001,200,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
106,18001004,6,93001,200,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
107,11101001,5,0,20,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
108,11101001,2,20003,2,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
109,21102001,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
110,28002013,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
111,28002013,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
112,26002008,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
113,28002014,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
114,28002014,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
115,26014001,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
116,21011001,8,91002,80,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
125,28007003,6,93001,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
126,26013001,8,91002,30,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
127,26005002,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
129,56011287,15,10201287,1,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
130,56011288,15,10201288,1,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
131,56011289,15,10201289,1,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
132,56011289,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
134,21011001,2,22003,2,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
135,26015001,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
139,21005006,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
140,26015002,8,91002,10,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
141,21007001,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
142,21103001,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
143,21102002,8,91002,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
144,28002015,8,91002,400,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
145,28002015,12,94002,500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
146,28002015,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
147,28002016,8,91002,400,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
148,28002016,12,94002,500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
149,28002016,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
150,28002017,8,91002,400,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
151,28002017,12,94002,3000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
152,28002017,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
153,28002018,8,91002,600,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
154,28002018,12,94002,3000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
155,28002018,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
156,28002019,8,91002,600,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
157,28002019,12,94002,3000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
158,28002019,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
159,28002020,8,91002,600,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
160,28002020,12,94002,5000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
161,28002020,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
162,28002021,8,91002,600,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
163,28002021,12,94002,5000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
164,28002021,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
165,28002022,8,91002,600,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
166,28002022,12,94002,5000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
167,28002022,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
168,28002023,8,91002,600,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
169,28002023,12,94002,5000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
170,28002023,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
171,28002024,8,91002,600,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
172,28002024,12,94002,5000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
173,28002024,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
174,28002025,8,91002,1100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
175,28002025,12,94002,7500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
176,28002025,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
177,28002026,8,91002,1100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
178,28002026,12,94002,7500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
179,28002026,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
180,28002027,8,91002,1100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
181,28002027,12,94002,7500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
182,28002027,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
183,28002028,8,91002,1100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
184,28002028,12,94002,10000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
185,28002028,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
186,28002029,8,91002,1100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
187,28002029,12,94002,10000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
188,28002029,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
189,28002030,8,91002,1100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
190,28002030,12,94002,10000000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
191,28002030,2,90007,1500,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
192,26003002,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
193,26003002,12,94002,10000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
194,26003003,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
195,26003003,12,94002,10000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
196,26003004,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
197,26003004,12,94002,10000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
198,26003005,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
199,26003005,12,94002,50000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
200,26003006,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
201,26003006,12,94002,50000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
202,26003007,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
203,26003007,12,94002,100000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
204,26003008,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
205,26003008,12,94002,100000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
206,26003009,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
207,26003009,12,94002,100000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
208,26003010,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
209,26003010,12,94002,100000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
210,26003011,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
211,26003011,12,94002,200000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
212,26003012,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
213,26003012,12,94002,200000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
214,26003013,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
215,26003013,12,94002,200000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
216,26003014,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
217,26003014,12,94002,500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
218,26003015,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
219,26003015,12,94002,500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
220,26003016,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
221,26003016,12,94002,500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
222,26003017,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
223,26003017,12,94002,500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
224,26003018,8,91002,50,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
225,26003018,12,94002,500000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
226,26002011,8,91002,350,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
227,26002012,8,91002,350,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
228,26002013,8,91002,350,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
229,26002014,8,91002,350,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
230,26002015,8,91002,550,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
231,26002016,8,91002,550,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
232,26002017,8,91002,550,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
233,26002018,8,91002,550,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
234,26002019,8,91002,550,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
235,26002020,8,91002,800,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
236,26002021,8,91002,800,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
237,28012001,5,0,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
238,28012001,12,94002,100000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
239,27004001,5,0,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
240,27004001,12,94002,100000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
241,27004002,5,0,100,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
242,27004002,12,94002,100000,1,-1,"2018/01/01 5:00:00","2030/12/31 23:59:59"
