mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,visible_flag,start_time,end_time
99001022,15,601,"Score 70,000 or higher in a Kaori's Soulful Karate Dojo (EXTRA) attempt",0,0,0,0,1,99001022,6001,10021,1,"2029/04/01 15:00:00","2030/04/01 14:59:59"
99001023,10,601,"Defeat the Toxic Mandragora 1 time (NORMAL)",9001,610023101,0,0,1,99001023,6006,10023,1,"2022/08/04 23:00:00","2030/04/01 14:59:59"
99001024,11,601,"Defeat the Toxic Mandragora 1 time (HARD)",9001,610023201,0,0,1,99001024,6007,10023,1,"2022/08/04 23:00:00","2030/04/01 14:59:59"
99001025,12,601,"Defeat the Toxic Mandragora 1 time (VERY HARD)",9001,610023301,0,0,1,99001025,6010,10023,1,"2022/08/04 23:00:00","2030/04/01 14:59:59"
99001026,13,601,"Defeat the Toxic Mandragora 1 time (SPECIAL)",9001,610023401,0,0,1,99001026,6011,10023,1,"2022/08/04 23:00:00","2030/04/01 14:59:59"
99001027,10,601,"Defeat Phantom Baron 1 time (NORMAL)",9001,610025101,0,0,1,99001027,6006,10025,1,"2022/09/01 23:00:00","2030/04/01 14:59:59"
99001028,11,601,"Defeat Phantom Baron 1 time (HARD)",9001,610025201,0,0,1,99001028,6007,10025,1,"2022/09/01 23:00:00","2030/04/01 14:59:59"
99001029,12,601,"Defeat Phantom Baron 1 time (VERY HARD)",9001,610025301,0,0,1,99001029,6010,10025,1,"2022/09/01 23:00:00","2030/04/01 14:59:59"
99001030,13,601,"Defeat Phantom Baron 1 time (SPECIAL)",9001,610025401,0,0,1,99001030,6011,10025,1,"2022/09/01 23:00:00","2030/04/01 14:59:59"
99001031,10,601,"Defeat the Pseudo-Dragon 1 time (NORMAL)",9001,610027101,0,0,1,99001031,6006,10027,1,"2022/10/02 23:00:00","2030/04/01 14:59:59"
99001032,11,601,"Defeat the Pseudo-Dragon 1 time (HARD)",9001,610027201,0,0,1,99001032,6007,10027,1,"2022/10/02 23:00:00","2030/04/01 14:59:59"
99001033,12,601,"Defeat the Pseudo-Dragon 1 time (VERY HARD)",9001,610027301,0,0,1,99001033,6010,10027,1,"2022/10/02 23:00:00","2030/04/01 14:59:59"
99001034,13,601,"Defeat the Pseudo-Dragon 1 time (SPECIAL)",9001,610027401,0,0,1,99001034,6011,10027,1,"2022/10/02 23:00:00","2030/04/01 14:59:59"
99001039,14,601,"Achieve a total score of 300,000 in Word Link Dragons",0,0,0,0,1,99001039,6001,10027,1,"2029/10/02 23:00:00","2030/04/01 14:59:59"
99001040,15,601,"Fill in 50% of the collection in Word Link Dragons",0,0,0,0,1,99001040,6001,10027,1,"2029/10/02 23:00:00","2030/04/01 14:59:59"
99001041,15,601,"Fill in 100% of the collection in Word Link Dragons",0,0,0,0,1,99001041,6001,10027,1,"2029/10/02 23:00:00","2030/04/01 14:59:59"
99001042,10,601,"Defeat Reindeer Vendetta 1 time (NORMAL)",9001,610029101,0,0,1,99001042,6006,10029,1,"2022/11/01 23:00:00","2030/04/01 14:59:59"
99001043,11,601,"Defeat Reindeer Vendetta 1 time (HARD)",9001,610029201,0,0,1,99001043,6007,10029,1,"2022/11/01 23:00:00","2030/04/01 14:59:59"
99001044,12,601,"Defeat Reindeer Vendetta 1 time (VERY HARD)",9001,610029301,0,0,1,99001044,6010,10029,1,"2022/11/01 23:00:00","2030/04/01 14:59:59"
99001045,13,601,"Defeat Reindeer Vendetta 1 time (SPECIAL)",9001,610029401,0,0,1,99001045,6011,10029,1,"2022/11/01 23:00:00","2030/04/01 14:59:59"
99001046,10,601,"Defeat the Mountain God 1 time (NORMAL)",9001,610031101,0,0,1,99001046,6006,10031,1,"2022/12/03 23:00:00","2030/04/01 14:59:59"
99001047,11,601,"Defeat the Mountain God 1 time (HARD)",9001,610031201,0,0,1,99001047,6007,10031,1,"2022/12/03 23:00:00","2030/04/01 14:59:59"
99001048,12,601,"Defeat the Mountain God 1 time (VERY HARD)",9001,610031301,0,0,1,99001048,6010,10031,1,"2022/12/03 23:00:00","2030/04/01 14:59:59"
99001049,13,601,"Defeat the Mountain God 1 time (SPECIAL)",9001,610031401,0,0,1,99001049,6011,10031,1,"2022/12/03 23:00:00","2030/04/01 14:59:59"
