id,clan_battle_id,map_bg,difficulty,lap_num_from,lap_num_to,boss_id_1,boss_id_2,boss_id_3,boss_id_4,boss_id_5,extra_battle_flag1,extra_battle_flag2,extra_battle_flag3,extra_battle_flag4,extra_battle_flag5,aura_effect,rsl_unlock_lap,phase,wave_group_id_1,wave_group_id_2,wave_group_id_3,wave_group_id_4,wave_group_id_5,fix_reward_id_1,fix_reward_id_2,fix_reward_id_3,fix_reward_id_4,fix_reward_id_5,damage_rank_id_1,damage_rank_id_2,damage_rank_id_3,damage_rank_id_4,damage_rank_id_5,reward_gold_coefficient,limited_mana,last_attack_reward_id,score_coefficient_1,score_coefficient_2,score_coefficient_3,score_coefficient_4,score_coefficient_5,param_adjust_id,param_adjust_interval
11,1006,710061,1,1,1,10060101,10060102,10060103,10060104,10060105,0,0,0,0,0,1,1,1,401040211,401040221,401040231,401040241,401040251,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
12,1006,710061,1,2,-1,10060101,10060102,10060103,10060104,10060105,0,0,0,0,0,2,1,1,401040261,401040271,401040281,401040291,401040301,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,1.3,1.3,1.8,1.8,2.0,0,0
13,1007,710071,1,1,1,10070101,10070102,10070103,10070104,10070105,0,0,0,0,0,1,1,1,401040311,401040321,401040331,401040341,401040351,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
14,1007,710071,1,2,-1,10070101,10070102,10070103,10070104,10070105,0,0,0,0,0,2,1,1,401040361,401040371,401040381,401040391,401040401,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,1.3,1.3,1.8,1.8,2.0,0,0
15,1008,710081,1,1,1,10080101,10080102,10080103,10080104,10080105,0,0,0,0,0,1,1,1,401040411,401040421,401040431,401040441,401040451,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
16,1008,710081,1,2,-1,10080101,10080102,10080103,10080104,10080105,0,0,0,0,0,2,1,1,401040461,401040471,401040481,401040491,401040501,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,1.3,1.3,1.8,1.8,2.0,0,0
17,1009,710091,1,1,1,10090101,10090102,10090103,10090104,10090105,0,0,0,0,0,1,1,1,401040511,401040521,401040531,401040541,401040551,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
18,1009,710091,1,2,5,10090101,10090102,10090103,10090104,10090105,0,0,0,0,0,2,1,1,401040561,401040571,401040581,401040591,401040601,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,1.4,1.4,1.8,1.8,2.0,0,0
19,1009,710091,1,6,-1,10090101,10090102,10090103,10090104,10090105,0,0,0,0,0,2,1,1,401040611,401040621,401040631,401040641,401040651,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.06,100000,0,2.0,2.0,2.5,2.5,3.0,0,0
20,1010,710101,1,1,3,10100101,10100102,10100103,10100104,10100105,0,0,0,0,0,1,1,1,401011001,401011002,401011003,401011004,401011005,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
21,1010,710101,1,4,10,10100101,10100102,10100103,10100104,10100105,0,0,0,0,0,2,1,1,401021001,401021002,401021003,401021004,401021005,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.06,100000,0,1.4,1.4,1.8,1.8,2.0,0,0
22,1010,710101,1,11,-1,10100101,10100102,10100103,10100104,10100105,0,0,0,0,0,2,1,1,401031001,401031002,401031003,401031004,401031005,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,2.0,2.0,2.5,2.5,3.0,0,0
23,1011,710111,1,1,1,10110101,10110102,10110103,10110104,10110105,0,0,0,0,0,1,2,1,401040661,401040671,401040681,401040691,401040701,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
24,1011,710111,1,2,3,10110101,10110102,10110103,10110104,10110105,0,0,0,0,0,1,2,1,401040661,401040671,401040681,401040691,401040701,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
25,1011,710111,1,4,10,10110101,10110102,10110103,10110104,10110105,0,0,0,0,0,2,5,2,401040711,401040721,401040731,401040741,401040751,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.06,100000,0,1.4,1.4,1.8,1.8,2.0,0,0
26,1011,710111,1,11,-1,10110101,10110102,10110103,10110104,10110105,0,0,0,0,0,2,12,3,401040761,401040771,401040781,401040791,401040801,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,2.0,2.0,2.5,2.5,3.0,0,0
27,1012,710121,1,1,1,10120101,10120102,10120103,10120104,10120105,0,0,0,0,0,1,2,1,401040811,401040821,401040831,401040841,401040851,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
28,1012,710121,1,2,3,10120101,10120102,10120103,10120104,10120105,0,0,0,0,0,1,2,1,401040811,401040821,401040831,401040841,401040851,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
29,1012,710121,1,4,10,10120101,10120102,10120103,10120104,10120105,0,0,0,0,0,2,5,2,401040861,401040871,401040881,401040891,401040901,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.06,100000,0,1.4,1.4,1.8,1.8,2.0,0,0
30,1012,710121,1,11,-1,10120101,10120102,10120103,10120104,10120105,0,0,0,0,0,2,12,3,401040911,401040921,401040931,401040941,401040951,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,2.0,2.0,2.5,2.5,3.0,0,0
31,1013,710011,1,1,1,10130101,10130102,10130103,10130104,10130105,0,0,0,0,0,1,2,1,401040961,401040971,401040981,401040991,401041001,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
32,1013,710011,1,2,3,10130101,10130102,10130103,10130104,10130105,0,0,0,0,0,1,2,1,401040961,401040971,401040981,401040991,401041001,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
33,1013,710011,1,4,10,10130101,10130102,10130103,10130104,10130105,0,0,0,0,0,2,5,2,401041011,401041021,401041031,401041041,401041051,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.06,100000,0,1.4,1.4,1.8,1.8,2.0,0,0
34,1013,710011,1,11,-1,10130101,10130102,10130103,10130104,10130105,0,0,0,0,0,2,12,3,401041061,401041071,401041081,401041091,401041101,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,2.0,2.0,2.5,2.5,3.0,0,0
35,1014,710021,1,1,1,10140101,10140102,10140103,10140104,10140105,0,0,0,0,0,1,2,1,401041061,401041071,401041081,401041091,401041101,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
36,1014,710021,1,2,3,10140101,10140102,10140103,10140104,10140105,0,0,0,0,0,1,2,1,401041111,401041121,401041131,401041141,401041151,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
37,1014,710021,1,4,10,10140101,10140102,10140103,10140104,10140105,0,0,0,0,0,2,5,2,401041161,401041171,401041181,401041191,401041201,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.06,100000,0,1.4,1.4,1.8,1.8,2.0,0,0
38,1014,710021,1,11,-1,10140101,10140102,10140103,10140104,10140105,0,0,0,0,0,2,12,3,401041211,401041221,401041231,401041241,401041251,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,2.0,2.0,2.5,2.5,3.0,0,0
39,1015,710031,1,1,1,10150101,10150102,10150103,10150104,10150105,0,0,0,0,0,1,2,1,401041261,401041271,401041281,401041291,401041301,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
40,1015,710031,1,2,3,10150101,10150102,10150103,10150104,10150105,0,0,0,0,0,1,2,1,401041261,401041271,401041281,401041291,401041301,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.3,1.3,1.5,0,0
41,1015,710031,1,4,10,10150101,10150102,10150103,10150104,10150105,0,0,0,0,0,2,5,2,401041311,401041321,401041331,401041341,401041351,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.06,100000,0,1.4,1.4,1.8,1.8,2.0,0,0
42,1015,710031,1,11,-1,10150101,10150102,10150103,10150104,10150105,0,0,0,0,0,2,12,3,401041361,401041371,401041381,401041391,401041401,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,2.0,2.0,2.5,2.5,3.0,0,0
