unit_id,notif_type,comment
101101,3,"Your stamina at the guildhouse is full again! You know what they say—it's good to save for a snowy day!"
101101,4,"Oh, there's full EXP potions at the guildhouse! They say the best medicine always tastes like glitter, but... Huh? What does that even mean?"
101101,5,"The guildhouse has full Mana! You know what they say about money—easy come, easy stay!"
101101,6,"You have full items to claim at the guildhouse! If you just let 'em sit there, it's like casting pearls before twine!"
101201,1,"Ta-daaa! ☆ Your stamina is full! Let's go help some people!"
101201,2,"Whoa! Piles of skip tickets in the guildhouse! Let's get a walk in before I take my nap!"
101201,3,"Oho, I can feel it! stamina at the guildhouse... is back to full!"
101201,4,"The guildhouse is brimming with EXP potions! Those can make my superpow—I mean, my m-magic even stronger!"
101201,5,"Yahoo, look at all the Mana in the guildhouse! Surely you can spare some for me, right? Right?"
101201,6,"Zzz... All items... guildhouse... full... Zzz..."
101301,1,"Your stamina is chock-full, comrade! Let's go do our regular rounds!"
101301,2,"Look at all these skip tickets in your guildhouse! Time to go hunting for the legendary spellbook!"
101301,3,"Your guildhouse is full to bursting with stamina! This looks like a job for a magical girl!"
101301,4,"These EXP potions in your guildhouse are overflowing! A magical girl's training is never done!"
101301,5,"Your guildhouse is flooded with Mana! Let's spend it all on ancient tomes! ...Huh? That's a no?"
101301,6,"All the items in your guildhouse have hit max capacity! So come get 'em! Don't be an item hoarder!"
101401,1,"I detect that you're back at full stamina again. Time to kick off another fun case, my faithful assistant!"
101401,2,"Your skip tickets are full over at the guildhouse. They'll make our detective work much more efficient!"
101401,3,"Your stamina is full back at the guildhouse. It seems spending long hours on the case won't be an issue now!"
101401,4,"I see the EXP potions are full at the guildhouse. Time to level up and challenge ourselves with a real brain-twister of a mystery!"
101401,5,"Hey, you have a lot of Mana at the guildhouse. What luck! That ought to just about cover the costs of our investigation!"
101401,6,"All of the items at the guildhouse are full! These'll be a big help in our investigations!"
101501,1,"Look at you and your full stamina. What say we go off together somewhere? ♪"
101501,2,"My, my. Your skip tickets at the guildhouse are all full. Now we can go all sorts of places together."
101501,3,"Your stamina at the guildhouse is full. And just where do you plan on taking me, young man?"
101501,4,"The guildhouse is full to the brim with EXP potions. Seeing everyone's growth always makes me happy."
101501,5,"Goodness me! Look at all that Mana in the guildhouse! Just don't go wasting it now, you hear? Hehe."
101501,6,"All of your items at the guildhouse are full. Don't forget to collect them now, okay?"
101601,1,"Whoa, look at who's got full stamina! You're just buzzing with energy!"
101601,2,"Wow, you have full skip tickets at the guildhouse! You think there's skip tickets that work on studying, too?"
101601,3,"Hey, you have full stamina at the guildhouse! We're gonna party today! ☆"
101601,4,"I hear there's full EXP potions at the guildhouse! Maybe they can help me get better grades?"
101601,5,"You have crazy amounts of Mana at the guildhouse! That means it's time for the two of us to go shopping!"
101601,6,"Yay, you have full items at the guildhouse! C'mon, let's go spend 'em all on a big adventure!"
101701,1,"Haitai! Your stamina is full again, so come join me on patrol! ♪"
101701,2,"Heya, the skip tickets are full at the guildhouse! Moving quickly is important in both karate and questing!"
101701,3,"Hey there, your stamina at the guildhouse is full. Let's use it to dance and sing together!"
101701,4,"Wow, we've got full EXP potions at the guildhouse! Drink a few of these, and anyone can become a black belt!"
101701,5,"There's lots and lots of Mana at the guildhouse. We can spend some of it polishing my karate techniques!"
101701,6,"Heya, all your items at the guildhouse are full! Want me to help you collect them?"
101801,1,"Looks like your stamina is completely refilled. I'll bet you can handle plenty of extra classwork now... Heehee, let's give it a shot! ♪"
101801,2,"Oh, you have full skip tickets at the guildhouse! Don't go thinking those will let you skip your remedial classes, though! ♪"
101801,3,"It seems you have full stamina at the guildhouse. This sounds like a perfect time to start class! ♪"
101801,4,"It appears the guildhouse is full of EXP potions. Looks like we're both meant to keep growing and growing!"
101801,5,"My, you have a lot of Mana at the guildhouse! Would you like to go shopping together once school is out?"
101801,6,"You have items to claim back at the guildhouse. With these, you'll be in perfect form to study! ♪"
102001,1,"Eheheh, you've got full stamina! ♪ Wanna come play with Mimi, mister?"
102001,2,"Wooow, so many skip tickets at the guildhouse! I wanna go take a walk with you, mister!"
102001,3,"La-la-la-la! ♪ Full stamina at the guildhouse! ♪ Can we hold hands when we go out?"
102001,4,"Your guildhouse is full of these potion thingies! D'you think they could help me grow up fast?"
102001,5,"Wow... What should we do with all this? Oh, hi, mister! Your guildhouse is full of Mana!"
102001,6,"Ooh, look at all these items to get at the guildhouse! Wowie... Can I have some, too?"
102101,1,"U-um, your stamina is back to full... C-can we play a game?"
102101,2,"Um, you have full skip tickets at the guildhouse. I heard they're really useful."
102101,3,"Um, you have full stamina at the guildhouse... W-would you like to go on an adventure together?"
102101,4,"There are so many EXP potions at the guildhouse... I wonder if they can help me learn to cook better?"
102101,5,"Um, you have full Mana at the guildhouse... Make sure not to waste it, okay?"
102101,6,"Um, your items at the guildhouse are full. Everybody really likes you, huh? ♪"
102201,1,"All right, your stamina is completely recharged! Now we can do some serious gaming!"
102201,2,"Your skip tickets are full at the guildhouse! Now we'll be knocking out quests left and right!"
102201,3,"Your stamina at the guildhouse is completely full! Sounds like an opportunity for a nice, long questing session!"
102201,4,"We have a lot of EXP potions at the guildhouse. Leveling up increases stats, too! How cool is that!"
102201,5,"You've built up a lot of Mana at the guildhouse. We can use it to buy all kinds of gear that makes completing quests easier!"
102201,6,"You've got lots of items at the guildhouse. Come collect them all so we can put them to use on our quests!"
102301,1,"Hey, your stamina's all full! Let's play!"
102301,2,"Your skip tickets at the guildhouse are full! Guess we can go to all sorts of places now!"
102301,3,"Looks like your stamina at the guildhouse is full. So let's go on a big adventure!"
102301,4,"Check out all those EXP potions at the guildhouse! Maybe I'll become a classy lady if I drink them..."
102301,5,"There's tons of Mana at the guildhouse! And I've heard Mana is super, super important!"
102301,6,"All your items at the guildhouse are full! Must be nice getting so many gifts!"
102501,1,"Hello there, you have full stamina again! If you're going out, perhaps I can join you?"
102501,2,"Oh, you have full skip tickets at the guildhouse. Um, I don't suppose they would help me finish my work faster, would they?"
102501,3,"You have stamina waiting at the guildhouse. And I'm waiting for you too!"
102501,4,"Oh, your EXP potions at the guildhouse are full. Do you think more experience could cure my klutziness?!"
102501,5,"Wow, look at all the Mana in the guildhouse. If only the Orphanage had that much, imagine all the wonderful things we could do..."
102501,6,"All of your items at the guildhouse are full. Let me get them for—Ack! They slipped right out of my hand!"
102601,1,"Looks like your stamina's all full. Not that I'm gonna do anything about it, though."
102601,2,"Hey, your skip tickets are full at the guildhouse. So skip along and get me some sweet buns."
102601,3,"Your stamina at the guildhouse is all full. Think of all the work you can do on my behalf."
102601,4,"Those EXP potions at the guildhouse are all full. I'm still gonna laze about if you use them on me, though."
102601,5,"You see all that Mana at the guildhouse? Go collect it so you can buy me some games and high-grade sweet buns."
102601,6,"All your items at the guildhouse are full. Phew... Notifications sure are exhausting."
102701,1,"Oh, I see that your stamina has fully recovered. Now I can conduct all sorts of tests on you... Teehee. ♪"
102701,2,"The guildhouse is full of skip tickets. Now we can let the fighting take care of itself and spend some quiet time together."
102701,3,"Oh, your stamina has recovered at the guildhouse. Now that you're practically bursting with vigor, perhaps I should... Teehee... ♪"
102701,4,"Oh, look at all the EXP potions at the guildhouse. Medicine is a truly wonderful thing... Teehee. ♪"
102701,5,"You have quite a wealth of Mana at the guildhouse. Don't worry, I'll decide exactly how you should spend it."
102701,6,"Your items at the guildhouse are all full. What's yours is mine... and that includes you. ♪"
102801,1,"Oh, looks like your stamina has recovered. If you've got energy to spare, why not lend me a hand?"
102801,2,"You have full skip tickets at the guildhouse. They're just sitting here gathering dust, so please pick them up quickly, okay?"
102801,3,"You have stamina just sitting at the guildhouse. You shouldn't neglect your own physical vitality."
102801,4,"You have full EXP potions at the guildhouse. Experience is vital. It's an essential part of growth."
102801,5,"The guildhouse Mana stores are at full capacity. Money and Mana make the world go round, so be sure you spend it prudently."
102801,6,"You have items to claim at the guildhouse. You know, putting these kinds of things off until later always leads to trouble down the road."
102901,1,"Now that you have full stamina and all, I was hoping you could come and see me in concert! ♪"
102901,2,"The skip tickets are full at the guildhouse. Do you think they'll make my lessons more productive?"
102901,3,"Oh, you have full stamina at the guildhouse. I'm always ready to go out on the town, so all you have to do is ask. ♪"
102901,4,"It seems the guildhouse is full of EXP potions. They might even be able to help me become a better idol!"
102901,5,"Your Mana at the guildhouse is full, it seems. Say, would you like to go see a play with me?"
102901,6,"You can't hold any more items at the guildhouse. Wow, you get almost as many presents as an idol! ♪"
103001,1,"Your stamina is completely restored, Shogun! Now is the time to conquer the lands!"
103001,2,"Shogun! The guildhouse is full of skip tickets. They're just like using my Ninpo: Flying Squirrel no Jutsu!"
103001,3,"Shogun, your stamina is full at the guildhouse! I bet it works just like my ninja rations!"
103001,4,"The guildhouse is chock full of EXP potions! I can feel the inspiration coming for a new ninja technique!"
103001,5,"The guildhouse is laden with Mana, Shogun! We should save it up to purchase a castle!"
103001,6,"All items at your guildhouse are full, Shogun! They'll all be vital resources to help us conquer the lands!"
103101,1,"I sense that you are at peak stamina again. Let's go back out and save more lost souls from their suffering."
103101,2,"You have full skip tickets at the guildhouse... or at least that's what the little girl standing right behind you says."
103101,3,"It appears your stamina is full at the guildhouse. Would you mind assisting me with an exorcism I've been asked to perform?"
103101,4,"Guildhouse EXP potions are now full. With these, perhaps I can take another step toward becoming a proper medium."
103101,5,"A guildhouse full of Mana? Then buy me something, brat! ...S-sorry, that was my father speaking."
103101,6,"All your items at the guildhouse are full... Or so the spirits tell me."
103201,1,"Your stamina has fully recovered! Time is money, as they say, so let's get straight to work!"
103201,2,"You have so many skip tickets at the guildhouse. Why, with these, my horrible sense of direction won't matter in the slightest!"
103201,3,"My, your stamina is quite full at the guildhouse. Perhaps I can request your services as a knight the next time I have to clear out some monsters."
103201,4,"Your guildhouse is fully stocked with EXP potions! I'm certain they can help me gain experience as an entrepreneur, too!"
103201,5,"Ah, I see you have a wealth of Mana at the guildhouse. I suppose you could afford a house with that much."
103201,6,"My, it seems your guildhouse is full of items. Say, don't you have a butler to handle these things for you?"
103301,1,"Looks like ya got full stamina again. C'mon, hoss, time to roll up those sleeves an' get to work!"
103301,2,"The guildhouse is chock-full of skip tickets! Ya reckon they can help me practice my stand-up quicker, too?"
103301,3,"Hey, you got a buncha stamina at the guildhouse! Just what we need to keep on truckin' at the farm!"
103301,4,"You got a gaggle of EXP potions at the guildhouse. I reckon these li'l fellas can help me get 'em all laughing!"
103301,5,"What? You got loads of Mana at the guildhouse? Haven't ya heard it's bad ""Mana-rs"" to leave Mana sittin' 'round like that?"
103301,6,"Hey, ya got full items waitin' at the guildhouse. Maybe we can use 'em in some comedy sketches!"
103401,1,"Seeing as you have full stamina and all now... w-would you maybe come and see me?"
103401,2,"You have full skip tickets at the guildhouse. I wonder if they can help shorten my hangovers, too..."
103401,3,"Um, you've got full stamina at the guildhouse, so, uh... Do you want to go somewhere, maybe?"
103401,4,"There are lots of EXP potions at the guildhouse. These aren't going to get me drunk, are they?"
103401,5,"Your Mana is full back at the guildhouse. I say it's high time for a drink! You'll be having soft drinks, of course. ♪"
103401,6,"Um, your items at the guildhouse are all full. I-I wish someone would give me gifts, too..."
103601,1,"It looks like your stamina's all recovered. Honestly, can you not remember anything without me reminding you?"
103601,2,"The skip ticket supply in your guildhouse is full, you know. I just finished my homework, so shall we go out somewhere?"
103601,3,"The extra stamina in your guildhouse seems to be full. What do you need all that stamina for? A gymnastics test?"
103601,4,"Your guildhouse supply is filled up with EXP potions. Heheh... I'm going to grow up and catch you in no time!"
103601,5,"Your guildhouse seems to be full of Mana. Huh? You'll buy something for me? That's a very suspicious offer..."
103601,6,"All the supplies in your guildhouse are full to bursting. You'd forgotten all about them, hadn't you?"
103701,2,"Your guildhouse is completely packed with skip tickets. These might come in useful for training."
103701,3,"Your guildhouse can't hold any more stamina. I guess I should get to work. You're coming too, right?"
103701,4,"Your guildhouse is brimming with EXP potions. Perhaps it's time I honed my sword skills."
103701,5,"Just look at all that Mana in your guildhouse. I'm sure there are some good uses you could put it to."
103701,6,"You've let a lot of different resources pile up in your guildhouse. Come on, we really ought to take a look."
103801,1,"Our stamina seems to be full again. Maybe we can go checking out bookstores a bit further afield."
103801,2,"Oh, the skip tickets at the guildhouse are full. Now I can avoid any undue physical exertion in battle."
103801,3,"It seems you have full stamina at the guildhouse. If I get stronger, maybe I can help everyone, too."
103801,4,"The EXP potions at the guildhouse are full. I wonder if they can help improve my health, too..."
103801,5,"Oh, we have a lot of Mana at the guildhouse. With this amount, we'll be able to put plenty of books on our shelves."
103801,6,"All of the items at the guildhouse are full. Once you finish collecting them, how about we do some reading together?"
104001,1,"Now that we have full stamina again, l-let's go out to make some friends!"
104001,2,"Um, your skip tickets are full at the guildhouse. I think I might've just taken another step toward making friends!"
104001,3,"U-um, you've got full stamina at the guildhouse. Can I make more friends if I go on lots of adventures?"
104001,4,"Um, the guildhouse is full of EXP potions. Do you think I can make more friends if I work on my conversation skills?"
104001,5,"Oh, the guildhouse has so much Mana. Maybe giving people Mana is the secret to making friends... Huh? It isn't?"
104001,6,"Your items at the guildhouse are all full. I-it must be nice to receive so many gifts..."
104201,1,"Our stamina has completely recovered. My songs for the fairies are finished, but I still need to work on some songs for the stage..."
104201,2,"You have full skip tickets at the guildhouse. Please, lend me your strength in keeping the people safe from evil."
104201,3,"You have maximum stamina at the guildhouse. Would you mind joining me for some singing practice today?"
104201,4,"You’re full up with EXP potions at the guildhouse. Hopefully these will keep my throat in tip-top shape."
104201,5,"There is full Mana waiting at the guildhouse. It'd be lovely to acquire some new equipment and supplies in addition to the usual songs and skills."
104201,6,"All of the items at the guildhouse are full. Would you have preferred me to tell you with a song instead?"
104301,1,"Your stamina is back at full. C'mon, we're heading out!"
104301,2,"I hear your skip tickets are full at the guildhouse. That'll make our explorations easier for sure."
104301,3,"I hear ya got full stamina back at the guildhouse. If you're itchin' for something to do, let's go rough up some baddies!"
104301,4,"There are full EXP potions at the guildhouse. Is that your way of saying you want to see me become even stronger?"
104301,5,"You sure do have a lot of Mana at the guildhouse. Doesn't it make you want to just go blow it all in one big spree?"
104301,6,"Hear you got full items waiting at the guildhouse. Some of them could come in handy in a fight."
104401,1,"Your stamina is fully primed, I see. The time is ripe for us to conquer the world!"
104401,2,"Your guildhouse's supply of skip tickets is full. Let us make short work of our weaker foes!"
104401,3,"Your guildhouse cannot hold any further stamina. With such a rich supply line, we can make war to our hearts' content!"
104401,4,"Your guildhouse is overflowing with EXP potions. Could these concoctions restore me to my adult form?"
104401,5,"Your guildhouse's store of Mana appears to be full. Excellent work... Any successful campaign requires funds!"
104401,6,"Your guildhouse can generate no further items. Perhaps you should offer these supplies as a gift to your dark mistress."
104501,1,"Ahhh, you're practically bursting with stamina... ""His body throbbing with forceful vigor, Mr. Sadist grabbed hold of Kuka and..."" Gueheheh..."
104501,2,"Oh my, the guildhouse has so many skip tickets... What are you going to do with me with all that extra time?"
104501,3,"The stamina at the guildhouse is full, but you're still not coming to take it...? Ahhh... You're trying to drive me crazy with anticipation, aren't you?!"
104501,4,"There are full EXP potions at the guildhouse. With these, I can climb that next step on the path of adulthood... Gueheheh..."
104501,5,"You have so much Mana sitting at the guildhouse... Wait! C-could it be that you're planning on buying me with it?!"
104501,6,"The guildhouse is completely full of items. Just think of all the sick things you could do to me with them... *drool*"
104601,1,"Looks like your stamina is feline good. Time is money! Hurry back so we can claw in every last rupie possible!"
104601,2,"Ya got full skip tickets back at the guildhouse. We'll be rakin' in the loot paw over claw with those!"
104601,3,"Seems the guildhouse is at full stamina again. Nyow we can go clobber creeps until we're a couple of fat cats!"
104601,4,"The guildhouse is littered with EXP potions! This little kitty is still growin', so these'll be a big help!"
104601,5,"The guildhouse is overflowing with Mana nyow. We gotta sharpen our claws so we can keep scratching up even more loot!"
104601,6,"Myahoo, you've got full items at the guildhouse! Come and get your paws on 'em before they go to waste!"
104701,1,"Ah, your stamina has recovered. The time may be ripe to do battle."
104701,2,"Your guildhouse's skip ticket supply is full. Perhaps they could be put to use in carrying out some missions."
104701,3,"The stamina supply at your guildhouse seems to be full. If you have excess energy, perhaps some training is in order?"
104701,4,"Your EXP potion generator seems full to bursting. Building your strength is the first step to defending justice!"
104701,5,"Your guildhouse is practically overflowing with Mana. While awaiting your return, I was mistaken for a statue..."
104701,6,"All the supplies in your guildhouse have reached maximum capacity. I will watch over them until your return."
104801,1,"I hear your stamina is back to full. Come on, let's get out there and make some money!"
104801,2,"The skip tickets are full back at the guildhouse. Make sure you spend them wisely!"
104801,3,"Looks like your stamina is full at the guildhouse. Go and snag it quickly so we can start putting it to good use!"
104801,4,"The EXP potions at the guildhouse are full. More levels means greater efficiency!"
104801,5,"Your Mana is full back at the guildhouse. Let's spend it on an efficient adventure!"
104801,6,"All of your items at the guildhouse are full. Let's use them to make our adventures more efficient!"
104901,1,"Uh-oh, look who has full stamina again! How about we go on a picnic... or rather, a big adventure!"
104901,2,"You've got full skip tickets at the guildhouse! Now you don't have to fight any of those scary battles!"
104901,3,"Yoo-hoo, there's full stamina at the guildhouse! Time to go on an adventure with your big sis!"
104901,4,"You have lots of EXP potions at the guildhouse! I can't wait to see my little bro all grown up!"
104901,5,"You have lots and lots of Mana at the guildhouse. But don't worry... Big Sis will be right there to make sure you don't spend it frivolously! ♪"
104901,6,"The guildhouse is completely full of items! And they're all yours, just like your big sis!"
105001,1,"Your stamina is back to full! Now, escort me around town as a proper gentleman should!"
105001,2,"You have full skip tickets at the guildhouse. You'll be using them to take me someplace nice, right?"
105001,3,"Look! stamina at the guildhouse is totally full! Only someone as mature and responsible as me would have noticed."
105001,4,"There's lots of EXP potions at the guildhouse! What's going to happen to me if I keep growing?"
105001,5,"Look at all that Mana you have at the guildhouse! Now's your chance to take me out to a stylish cafe!"
105001,6,"Hey, your items are all full at the guildhouse! I bet you'd never remember to get them if I didn't say anything, huh? What a goof!"
105101,1,"My, looks like you have full stamina. If you're feeling so full of vim and vigor, why not join me for a few experiments?"
105101,2,"The skip tickets at the guildhouse are full. I don't want to repeat anything that I don't have to, so let's put them to good use."
105101,3,"The stamina back at the guildhouse is full. That's odd, here I was thinking that lately I haven't felt as strong as I used to be... Oh, pretend you didn't hear any of that! ♪"
105101,4,"How nice. Full EXP potions at the guildhouse. You know, any kind of experience can fuel growth."
105101,5,"Hey, there's lots of Mana back at the guildhouse. Naturally, you're going to give it all to me, right?"
105101,6,"All of your items at the guildhouse are full... You know, I'm beginning to think you like to keep me waiting."
105201,1,"Oh my, your stamina has fully recovered! Let's go put in some work together! ♪"
105201,2,"Your skip tickets are full at the guildhouse! I hear they make work as easy as pie!"
105201,3,"Uh-oh, you've got full stamina at the guildhouse. Eheheh, now we can really chew the cud. ♪"
105201,4,"Looks like the guildhouse is full of EXP potions. Could these be what I need to become a human?"
105201,5,"My, there's a lot of Mana at the guildhouse! I just love the way it all sparkles!"
105201,6,"Hey, you have full items at the Guildhouse! Must be nice being popular! ♪"
105301,1,"You are back at full stamina once more. But this is no time for sitting idle. Come, adventure awaits us!"
105301,2,"You've got a guildhouse full of skip tickets! Streamlining our outings will only make us stronger!"
105301,3,"You have full stamina at the guildhouse! On your feet, soldier! We're going to run some drills!"
105301,4,"The guildhouse is fully stocked with EXP potions! P-perhaps they can help me grow a little taller, too..."
105301,5,"The guildhouse is overflowing with Mana. You may as well take it. After all, you need it to do pretty much anything, right?"
105301,6,"All items at the guildhouse are fully stocked. It appears you have some very useful supplies in there."
105401,1,"Mr. Knight! Your stamina is full! No more sitting around—let's get moving!"
105401,2,"Hey, you've got full skip tickets at the guildhouse! Let's get out there and use them up as fast as we can! Oh, is that not how it works?"
105401,3,"Your stamina at the guildhouse is completely full! Now I can  juggle making costumes and organizing concerts, no problem!"
105401,4,"You've got full EXP potions at the guildhouse! Once I take my needlework to the next level, I'm going to stitch up a storm!"
105401,5,"Look at all that Mana at your guildhouse! I bet you're going to buy a present for Rei— What? For me? Wh-why would I want one?"
105401,6,"All your items at the guildhouse are full! Um, hello? Mr. Knight? Are you listening to me?"
105501,1,"Look, your stamina is completely full! ...Yes, that's how I'm going to say it..."
105501,2,"*stare* The guildhouse is full of skip tickets... I wonder if he's noticed..."
105501,3,"Y-your guildhouse is f-full of stamina! ...Aaaahhh, I actually said it!"
105501,4,"His guildhouse can't hold any more EXP potions. I wish I could actually tell him..."
105501,5,"Your guildhouse is full of Mana! But what are you going to spend it on? I think I can guess..."
105501,6,"All the items in the guildhouse have filled up to the brim... I was watching the whole time."
105601,1,"Looks like your stamina's fully recovered. Don't hesitate to give me a call if you need a hand."
105601,2,"Your skip tickets at the guildhouse are all full. Nothing like a nice stroll, huh? The perfect excuse for a nap."
105601,3,"Hey, your stamina at the guildhouse is all full. Nothing wrong with having free time, but don't forget to stay active."
105601,4,"The guildhouse is full up on EXP potions. If you need me to get stronger, then I'll do just that."
105601,5,"The guildhouse is overflowing with Mana. It's up to you how you use it, though."
105601,6,"Your items at the guildhouse are all full. Now seems like as good a time as any to go all out, I'd say."
105701,1,"Your stamina is maxed out again! We're going to need to work together if we want to become top-class skyfarers!"
105701,2,"You have full skip tickets at the guildhouse! Do you think traveling would be easier, too, if we could fly?"
105701,3,"stamina is back to full at the guildhouse! I feel like no job is too big for us now!"
105701,4,"The EXP potions at the guildhouse are at capacity! I'm going to get stronger and become a great skyfarer just like my father!"
105701,5,"Your Mana has filled up again at the guildhouse! Do you think we'll be able to afford an airship if we keep saving up?"
105701,6,"The items at the guildhouse are at max capacity! You've got all sorts of good stuff there, so don't let any of it go to waste!"
105801,1,"Your stamina is completely full! But my stomach is completely empty. Let's go eat!"
105801,2,"You have tons of skip tickets at the guildhouse. These tickets are just like food—you don't want to let any of them go to waste!"
105801,3,"Both me and the guildhouse have stamina to spare!"
105801,4,"You've got tons of EXP potions at the guildhouse! C'mon, let's go gulp 'em down!"
105801,5,"Oh, you've got Mana wasting at the guildhouse! Hey, do you think Mana is edible?"
105801,6,"Every item at the guildhouse is fully stocked! You think there's any food in there?"
105901,1,"I see that your stamina has fully recovered. I shall accompany you wherever it is you decide to go, my lord."
105901,2,"Your skip tickets at the guildhouse are full. Would you consider taking some with you on your next adventure?"
105901,3,"Excuse me, your stamina is full at the guildhouse. Hehe, you are so spirited, my lord."
