fix_reward_group_id,treasure_type_1,reward_type_1,reward_id_1,reward_num_1,treasure_type_2,reward_type_2,reward_id_2,reward_num_2,treasure_type_3,reward_type_3,reward_id_3,reward_num_3,treasure_type_4,reward_type_4,reward_id_4,reward_num_4,treasure_type_5,reward_type_5,reward_id_5,reward_num_5,treasure_type_6,reward_type_6,reward_id_6,reward_num_6,treasure_type_7,reward_type_7,reward_id_7,reward_num_7,treasure_type_8,reward_type_8,reward_id_8,reward_num_8,treasure_type_9,reward_type_9,reward_id_9,reward_num_9,treasure_type_10,reward_type_10,reward_id_10,reward_num_10
2100121,1,8,91002,30,1,4,123341,5,1,12,94002,14000,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100122,1,8,91002,30,1,4,113342,5,1,12,94002,14100,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100123,1,8,91002,30,1,4,123343,5,1,12,94002,14200,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100124,1,8,91002,30,1,4,123371,5,1,12,94002,14300,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100125,1,8,91002,30,1,4,113372,5,1,12,94002,14400,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100126,1,8,91002,30,1,4,113401,5,1,12,94002,14500,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100127,1,8,91002,30,1,4,113431,5,1,12,94002,14600,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100128,1,8,91002,30,1,4,123432,5,1,12,94002,14700,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100129,1,8,91002,30,1,4,123461,5,1,12,94002,14800,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100130,6,4,140000,1,1,8,91002,100,1,2,31032,2,1,12,94002,14900,1,2,20001,4,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100131,1,8,91002,30,1,4,123491,5,1,12,94002,15000,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100132,1,8,91002,30,1,4,113521,5,1,12,94002,15100,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100133,1,8,91002,30,1,4,113522,5,1,12,94002,15200,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100134,1,8,91002,30,1,4,113551,5,1,12,94002,15300,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100135,1,8,91002,30,1,4,113552,5,1,12,94002,15400,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100136,1,8,91002,30,1,4,113553,5,1,12,94002,15500,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100137,1,8,91002,30,1,4,113581,5,1,12,94002,15600,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100138,1,8,91002,30,1,4,123582,5,1,12,94002,15700,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100139,1,8,91002,30,1,4,113611,5,1,12,94002,15800,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100140,6,4,140000,1,1,8,91002,100,1,2,31023,2,1,12,94002,15900,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100141,1,8,91002,30,1,4,123583,5,1,12,94002,16000,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100142,1,8,91002,30,1,4,123612,5,1,12,94002,16100,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100143,1,8,91002,30,1,4,113614,5,1,12,94002,16200,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100144,1,8,91002,30,1,4,114222,5,1,12,94002,16300,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100145,1,8,91002,30,1,4,124251,5,1,12,94002,16400,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100146,1,8,91002,30,1,4,114252,5,1,12,94002,16500,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100147,1,8,91002,30,1,4,114281,5,1,12,94002,16600,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100148,1,8,91002,30,1,4,124311,5,1,12,94002,16700,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100149,1,8,91002,30,1,4,114341,5,1,12,94002,16800,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100150,6,4,140000,1,1,8,91002,100,1,2,31049,3,1,12,94002,16900,1,2,20001,5,1,2,50001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100151,1,8,91002,30,1,4,124101,5,1,12,94002,17000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100152,1,8,91002,30,1,4,114102,5,1,12,94002,17100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100153,1,8,91002,30,1,4,124131,5,1,12,94002,17200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100154,1,8,91002,30,1,4,114132,5,1,12,94002,17300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100155,1,8,91002,30,1,4,124161,5,1,12,94002,17400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100156,1,8,91002,30,1,4,114162,5,1,12,94002,17500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100157,1,8,91002,30,1,4,114191,5,1,12,94002,17600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100158,1,8,91002,30,1,4,124192,5,1,12,94002,17700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100159,1,8,91002,30,1,4,114221,5,1,12,94002,17800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100160,6,4,140000,1,1,8,91002,100,1,2,31053,3,1,12,94002,17900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100161,1,8,91002,30,1,4,124101,5,1,12,94002,18000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100162,1,8,91002,30,1,4,114102,5,1,12,94002,18100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100163,1,8,91002,30,1,4,124131,5,1,12,94002,18200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100164,1,8,91002,30,1,4,124071,5,1,12,94002,18300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100165,1,8,91002,30,1,4,114011,5,1,12,94002,18400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100166,1,8,91002,30,1,4,114072,5,1,12,94002,18500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100167,1,8,91002,30,1,4,114041,5,1,12,94002,18600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100168,1,8,91002,30,1,4,124042,5,1,12,94002,18700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100169,1,8,91002,30,1,4,114012,5,1,12,94002,18800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100170,6,4,140000,1,1,8,91002,100,1,2,31011,3,1,12,94002,18900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100171,1,8,91002,30,1,4,124282,5,1,12,94002,19000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100172,1,8,91002,30,1,4,114222,5,1,12,94002,19100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100173,1,8,91002,30,1,4,124312,5,1,12,94002,19200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100174,1,8,91002,30,1,4,124342,5,1,12,94002,19300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100175,1,8,91002,30,1,4,114252,5,1,12,94002,19400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100176,1,8,91002,30,1,4,124372,5,1,12,94002,19500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100177,1,8,91002,30,1,4,114132,5,1,12,94002,19600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100178,1,8,91002,30,1,4,124432,5,1,12,94002,19700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100179,1,8,91002,30,1,4,124522,5,1,12,94002,19800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100180,6,4,140000,1,1,8,91002,100,1,2,31036,3,1,12,94002,19900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100181,1,8,91002,30,1,4,114162,5,1,12,94002,20000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100182,1,8,91002,30,1,4,124042,5,1,12,94002,20100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100183,1,8,91002,30,1,4,114102,5,1,12,94002,20200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100184,1,8,91002,30,1,4,114072,5,1,12,94002,20300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100185,1,8,91002,30,1,4,124192,5,1,12,94002,20400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100186,1,8,91002,30,1,4,114012,5,1,12,94002,20500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100187,1,8,91002,30,1,4,124282,5,1,12,94002,20600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100188,1,8,91002,30,1,4,114222,5,1,12,94002,20700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100189,1,8,91002,30,1,4,124312,5,1,12,94002,20800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100190,6,4,140000,1,1,8,91002,100,1,2,31044,3,1,12,94002,20900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100191,1,8,91002,30,1,4,124342,5,1,12,94002,21000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100192,1,8,91002,30,1,4,114252,5,1,12,94002,21100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100193,1,8,91002,30,1,4,124372,5,1,12,94002,21200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100194,1,8,91002,30,1,4,114132,5,1,12,94002,21300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100195,1,8,91002,30,1,4,124432,5,1,12,94002,21400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100196,1,8,91002,30,1,4,124522,5,1,12,94002,21500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100197,1,8,91002,30,1,4,114162,5,1,12,94002,21600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100198,1,8,91002,30,1,4,124042,5,1,12,94002,21700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100199,1,8,91002,30,1,4,114102,5,1,12,94002,21800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100200,6,4,140000,1,1,8,91002,100,1,2,31023,3,1,12,94002,21900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100201,1,8,91002,30,1,4,114072,5,1,12,94002,22000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100202,1,8,91002,30,1,4,124192,5,1,12,94002,22100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100203,1,8,91002,30,1,4,114012,5,1,12,94002,22200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100204,1,8,91002,30,1,4,124282,5,1,12,94002,22300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100205,1,8,91002,30,1,4,114222,5,1,12,94002,22400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100206,1,8,91002,30,1,4,124312,5,1,12,94002,22500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100207,1,8,91002,30,1,4,124342,5,1,12,94002,22600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100208,1,8,91002,30,1,4,114252,5,1,12,94002,22700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100209,1,8,91002,30,1,4,124372,5,1,12,94002,22800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,6,4,140000,1,1,8,91002,100,1,2,31037,3,1,12,94002,22900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,1,8,91002,30,1,4,114132,5,1,12,94002,23000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100212,1,8,91002,30,1,4,124432,5,1,12,94002,23100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100213,1,8,91002,30,1,4,124522,5,1,12,94002,23200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100214,1,8,91002,30,1,4,114162,5,1,12,94002,23300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100215,1,8,91002,30,1,4,124042,5,1,12,94002,23400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100216,1,8,91002,30,1,4,114102,5,1,12,94002,23500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100217,1,8,91002,30,1,4,114072,5,1,12,94002,23600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100218,1,8,91002,30,1,4,124192,5,1,12,94002,23700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100219,1,8,91002,30,1,4,114012,5,1,12,94002,23800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100220,6,4,140000,1,1,8,91002,100,1,2,31011,3,1,12,94002,23900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100221,1,8,91002,30,1,4,124282,5,1,12,94002,24000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100222,1,8,91002,30,1,4,114222,5,1,12,94002,24100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100223,1,8,91002,30,1,4,124312,5,1,12,94002,24200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100224,1,8,91002,30,1,4,124342,5,1,12,94002,24300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100225,1,8,91002,30,1,4,114252,5,1,12,94002,24400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100226,1,8,91002,30,1,4,124372,5,1,12,94002,24500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100227,1,8,91002,30,1,4,114132,5,1,12,94002,24600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100228,1,8,91002,30,1,4,124432,5,1,12,94002,24700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100229,1,8,91002,30,1,4,124522,5,1,12,94002,24800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100230,6,4,140000,1,1,8,91002,100,1,2,31046,3,1,12,94002,24900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100231,1,8,91002,30,1,4,124282,5,1,12,94002,25000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100232,1,8,91002,30,1,4,114162,5,1,12,94002,25100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100233,1,8,91002,30,1,4,114581,5,1,12,94002,25200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100234,1,8,91002,30,1,4,114102,5,1,12,94002,25300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100235,1,8,91002,30,1,4,124372,5,1,12,94002,25400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100236,1,8,91002,30,1,4,124312,5,1,12,94002,25500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100237,1,8,91002,30,1,4,124432,5,1,12,94002,25600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100238,1,8,91002,30,1,4,124342,5,1,12,94002,25700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100239,1,8,91002,30,1,4,114072,5,1,12,94002,25800,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100240,6,4,140000,1,1,8,91002,100,1,2,31025,3,1,12,94002,25900,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100241,1,8,91002,30,1,4,114551,5,1,12,94002,26000,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100242,1,8,91002,30,1,4,124282,5,1,12,94002,26100,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100243,1,8,91002,30,1,4,124372,5,1,12,94002,26200,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100244,1,8,91002,30,1,4,114102,5,1,12,94002,26300,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100245,1,8,91002,30,1,4,124042,5,1,12,94002,26400,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100246,1,8,91002,30,1,4,124312,5,1,12,94002,26500,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100247,1,8,91002,30,1,4,114072,5,1,12,94002,26600,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100248,1,8,91002,30,1,4,124432,5,1,12,94002,26700,1,2,20001,8,1,2,50001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
