quest_id,quest_balance_version
71170380,20011401
71180381,20021401
71180382,20021401
71180383,20021401
71180384,20021401
71180385,20021401
71180386,20021401
71180387,20021401
71180388,20021401
71180389,20021401
71180390,20021401
71190391,20031201
71190392,20031201
71190393,20031201
71190394,20031201
71190395,20031201
71190396,20031201
71190397,20031201
71190398,20031201
71190399,20031201
71190400,20031201
71200401,20041401
71200402,20041401
71200403,20041401
71200404,20041401
71200405,20041401
71200406,20041401
71200407,20041401
71200408,20041401
71200409,20041401
71200410,20041401
71210411,20051401
71210412,20051401
71210413,20051401
71210414,20051401
71210415,20051401
71210416,20051401
71210417,20051401
71210418,20051401
71210419,20051401
71210420,20051401
71220421,20061401
71220422,20061401
71220423,20061401
71220424,20061401
71220425,20061401
71220426,20061401
71220427,20061401
71220428,20061401
71220429,20061401
71220430,20061401
71230431,20071401
71230432,20071401
71230433,20071401
71230434,20071401
71230435,20071401
71230436,20071401
71230437,20071401
71230438,20071401
71230439,20071401
71230440,20071401
71240441,20081401
71240442,20081401
71240443,20081401
71240444,20081401
71240445,20081401
71240446,20081401
71240447,20081401
71240448,20081401
71240449,20081401
71240450,20081401
71250451,20091501
71250452,20091501
71250453,20091501
71250454,20091501
71250455,20091501
71250456,20091501
71250457,20091501
71250458,20091501
71250459,20091501
71250460,20091501
71260461,20101401
71260462,20101401
71260463,20101401
71260464,20101401
71260465,20101401
71260466,20101401
71260467,20101401
71260468,20101401
71260469,20101401
71260470,20101401
71270471,20111801
71270472,20111801
71270473,20111801
71270474,20111801
71270475,20111801
71270476,20111801
71270477,20111801
71270478,20111801
71270479,20111801
71270480,20111801
72010070,19012801
72020110,19012801
72030130,19012801
72040150,19012801
72050170,19012801
72060190,19012801
72070210,19031401
72080230,19041301
72090250,19051301
72100270,19061301
72110290,19071501
72120310,19081401
72130330,19091401
72140350,19101401
72150360,19111401
72160370,19121401
72170380,20011401
72180390,20021401
72190400,20031201
72200410,20041401
72210420,20051401
72220430,20061401
72230440,20071401
72240450,20081401
72250460,20091501
72260470,20101401
72270480,20111801
73140350,19101401
73150360,19111401
73160370,19121401
73170380,20011401
73180390,20021401
73190400,20031201
73200410,20041401
73210420,20051401
73220430,20061401
73230440,20071401
73240450,20081401
73250460,20091501
73260470,20101401
73270480,20111801
