tower_quest_id,tower_area_id,floor_num,floor_image_type,floor_image_add_type,open_tower_ex_quest_id,boss_floor_flg,stamina,stamina_start,team_exp,limit_time,recovery_hp_rate,recovery_tp_rate,start_tp_rate,reward_image_1,reward_count_1,reward_image_2,reward_count_2,reward_image_3,reward_count_3,reward_image_4,reward_count_4,reward_image_5,reward_count_5,additional_reward_type,additional_reward_id,fix_reward_group_id,odds_group_id,chest_id,background,bg_position,wave_group_id,enemy_position_x_1,enemy_local_position_y_1,enemy_size_1,enemy_position_x_2,enemy_local_position_y_2,enemy_size_2,enemy_position_x_3,enemy_local_position_y_3,enemy_size_3,enemy_position_x_4,enemy_local_position_y_4,enemy_size_4,enemy_position_x_5,enemy_local_position_y_5,enemy_size_5,wave_bgm,clp_flag
71010026,1,26,1,3,0,0,0,0,0,90,100,100,500,91002,30,113401,5,94002,14500,0,0,0,0,0,0,2100126,0,40004,101181,-100,710100261,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010027,1,27,1,4,0,0,0,0,0,90,100,100,500,91002,30,113431,5,94002,14600,0,0,0,0,0,0,2100127,0,40004,101181,-100,710100271,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010028,1,28,1,2,0,0,0,0,0,90,100,100,500,91002,30,123432,5,94002,14700,0,0,0,0,0,0,2100128,0,40004,101181,-100,710100281,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010029,1,29,1,1,0,0,0,0,0,90,100,100,500,91002,30,123461,5,94002,14800,0,0,0,0,0,0,2100129,0,40004,101181,-100,710100291,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010030,1,30,1,3,0,1,0,0,0,90,100,100,500,140000,1,91002,100,31032,2,94002,14900,0,0,0,0,2100130,0,40004,101183,-100,710100301,-301,0,0.7,-101,0,0.7,99,0,0.7,299,-20,1.0,0,0,0.7,bgm_M126,1
71010031,1,31,1,4,0,0,0,0,0,90,100,100,500,91002,30,123491,5,94002,15000,0,0,0,0,0,0,2100131,0,40004,101181,-100,710100311,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010032,1,32,1,2,0,0,0,0,0,90,100,100,500,91002,30,113521,5,94002,15100,0,0,0,0,0,0,2100132,0,40004,101181,-100,710100321,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010033,1,33,1,1,0,0,0,0,0,90,100,100,500,91002,30,113522,5,94002,15200,0,0,0,0,0,0,2100133,0,40004,101181,-100,710100331,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010034,1,34,1,3,0,0,0,0,0,90,100,100,500,91002,30,113551,5,94002,15300,0,0,0,0,0,0,2100134,0,40004,101181,-100,710100341,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010035,1,35,1,4,0,0,0,0,0,90,100,100,500,91002,30,113552,5,94002,15400,0,0,0,0,0,0,2100135,0,40004,101181,-100,710100351,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010036,1,36,1,2,0,0,0,0,0,90,100,100,500,91002,30,113553,5,94002,15500,0,0,0,0,0,0,2100136,0,40004,101181,-100,710100361,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010037,1,37,1,1,0,0,0,0,0,90,100,100,500,91002,30,113581,5,94002,15600,0,0,0,0,0,0,2100137,0,40004,101181,-100,710100371,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010038,1,38,1,3,0,0,0,0,0,90,100,100,500,91002,30,123582,5,94002,15700,0,0,0,0,0,0,2100138,0,40004,101181,-100,710100381,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010039,1,39,1,4,0,0,0,0,0,90,100,100,500,91002,30,113611,5,94002,15800,0,0,0,0,0,0,2100139,0,40004,101181,-100,710100391,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010040,1,40,1,2,0,1,0,0,0,90,100,100,500,140000,1,91002,100,31023,2,94002,15900,0,0,0,0,2100140,0,40004,101183,-100,710100401,-301,0,0.7,-101,0,0.7,99,0,0.7,299,-20,1.0,0,0,0.7,bgm_M126,1
71010041,1,41,1,1,0,0,0,0,0,90,100,100,500,91002,30,123583,5,94002,16000,0,0,0,0,0,0,2100141,0,40004,101181,-100,710100411,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010042,1,42,1,3,0,0,0,0,0,90,100,100,500,91002,30,123612,5,94002,16100,0,0,0,0,0,0,2100142,0,40004,101181,-100,710100421,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010043,1,43,1,4,0,0,0,0,0,90,100,100,500,91002,30,113614,5,94002,16200,0,0,0,0,0,0,2100143,0,40004,101181,-100,710100431,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010044,1,44,1,2,0,0,0,0,0,90,100,100,500,91002,30,114222,5,94002,16300,0,0,0,0,0,0,2100144,0,40004,101181,-100,710100441,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010045,1,45,1,1,0,0,0,0,0,90,100,100,500,91002,30,124251,5,94002,16400,0,0,0,0,0,0,2100145,0,40004,101181,-100,710100451,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010046,1,46,1,3,0,0,0,0,0,90,100,100,500,91002,30,114252,5,94002,16500,0,0,0,0,0,0,2100146,0,40004,101181,-100,710100461,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010047,1,47,1,4,0,0,0,0,0,90,100,100,500,91002,30,114281,5,94002,16600,0,0,0,0,0,0,2100147,0,40004,101181,-100,710100471,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010048,1,48,1,2,0,0,0,0,0,90,100,100,500,91002,30,124311,5,94002,16700,0,0,0,0,0,0,2100148,0,40004,101181,-100,710100481,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010049,1,49,1,1,0,0,0,0,0,90,100,100,500,91002,30,114341,5,94002,16800,0,0,0,0,0,0,2100149,0,40004,101181,-100,710100491,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010050,1,50,1,3,0,1,0,0,0,90,50,50,500,140000,1,91002,100,31049,3,94002,16900,0,0,0,0,2100150,0,40004,101183,-100,710100501,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,-20,1.0,333,0,0.7,bgm_M126,1
71010051,1,51,1,4,0,0,0,0,0,90,50,50,500,91002,30,124101,5,94002,17000,0,0,0,0,0,0,2100151,0,40004,101181,-100,710100511,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010052,1,52,1,2,0,0,0,0,0,90,50,50,500,91002,30,114102,5,94002,17100,0,0,0,0,0,0,2100152,0,40004,101181,-100,710100521,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010053,1,53,1,1,0,0,0,0,0,90,50,50,500,91002,30,124131,5,94002,17200,0,0,0,0,0,0,2100153,0,40004,101181,-100,710100531,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010054,1,54,1,3,0,0,0,0,0,90,50,50,500,91002,30,114132,5,94002,17300,0,0,0,0,0,0,2100154,0,40004,101181,-100,710100541,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010055,1,55,1,4,0,0,0,0,0,90,50,50,500,91002,30,124161,5,94002,17400,0,0,0,0,0,0,2100155,0,40004,101181,-100,710100551,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010056,1,56,1,2,0,0,0,0,0,90,50,50,500,91002,30,114162,5,94002,17500,0,0,0,0,0,0,2100156,0,40004,101181,-100,710100561,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010057,1,57,1,1,0,0,0,0,0,90,50,50,500,91002,30,114191,5,94002,17600,0,0,0,0,0,0,2100157,0,40004,101181,-100,710100571,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010058,1,58,1,3,0,0,0,0,0,90,50,50,500,91002,30,124192,5,94002,17700,0,0,0,0,0,0,2100158,0,40004,101181,-100,710100581,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010059,1,59,1,4,0,0,0,0,0,90,50,50,500,91002,30,114221,5,94002,17800,0,0,0,0,0,0,2100159,0,40004,101181,-100,710100591,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010060,1,60,1,2,0,1,0,0,0,90,50,50,500,140000,1,91002,100,31053,3,94002,17900,0,0,0,0,2100160,0,40004,101183,-100,710100601,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,-20,1.0,333,0,0.7,bgm_M126,1
71010061,1,61,1,1,0,0,0,0,0,90,50,50,500,91002,30,124101,5,94002,18000,0,0,0,0,0,0,2100161,0,40004,101181,-100,710100611,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010062,1,62,1,3,0,0,0,0,0,90,50,50,500,91002,30,114102,5,94002,18100,0,0,0,0,0,0,2100162,0,40004,101181,-100,710100621,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010063,1,63,1,4,0,0,0,0,0,90,50,50,500,91002,30,124131,5,94002,18200,0,0,0,0,0,0,2100163,0,40004,101181,-100,710100631,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010064,1,64,1,2,0,0,0,0,0,90,50,50,500,91002,30,124071,5,94002,18300,0,0,0,0,0,0,2100164,0,40004,101181,-100,710100641,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010065,1,65,1,1,0,0,0,0,0,90,50,50,500,91002,30,114011,5,94002,18400,0,0,0,0,0,0,2100165,0,40004,101181,-100,710100651,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010066,1,66,1,3,0,0,0,0,0,90,50,50,500,91002,30,114072,5,94002,18500,0,0,0,0,0,0,2100166,0,40004,101181,-100,710100661,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010067,1,67,1,4,0,0,0,0,0,90,50,50,500,91002,30,114041,5,94002,18600,0,0,0,0,0,0,2100167,0,40004,101181,-100,710100671,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010068,1,68,1,2,0,0,0,0,0,90,50,50,500,91002,30,124042,5,94002,18700,0,0,0,0,0,0,2100168,0,40004,101181,-100,710100681,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010069,1,69,1,1,0,0,0,0,0,90,50,50,500,91002,30,114012,5,94002,18800,0,0,0,0,0,0,2100169,0,40004,101181,-100,710100691,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71010070,1,70,1,4,72010070,1,0,0,0,90,50,50,500,140000,1,91002,100,31011,3,94002,18900,0,0,0,0,2100170,0,40004,101183,-100,710100701,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,-20,1.0,333,0,0.7,bgm_M126,1
71020071,2,71,1,2,0,0,0,0,0,90,50,50,500,91002,30,124282,5,94002,19000,0,0,0,0,0,0,2100171,0,40004,101311,-100,710200711,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020072,2,72,1,1,0,0,0,0,0,90,50,50,500,91002,30,114222,5,94002,19100,0,0,0,0,0,0,2100172,0,40004,101311,-100,710200721,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020073,2,73,1,3,0,0,0,0,0,90,50,50,500,91002,30,124312,5,94002,19200,0,0,0,0,0,0,2100173,0,40004,101311,-100,710200731,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020074,2,74,1,4,0,0,0,0,0,90,50,50,500,91002,30,124342,5,94002,19300,0,0,0,0,0,0,2100174,0,40004,101311,-100,710200741,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020075,2,75,1,2,0,0,0,0,0,90,50,50,500,91002,30,114252,5,94002,19400,0,0,0,0,0,0,2100175,0,40004,101311,-100,710200751,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020076,2,76,1,1,0,0,0,0,0,90,50,50,500,91002,30,124372,5,94002,19500,0,0,0,0,0,0,2100176,0,40004,101311,-100,710200761,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020077,2,77,1,3,0,0,0,0,0,90,50,50,500,91002,30,114132,5,94002,19600,0,0,0,0,0,0,2100177,0,40004,101311,-100,710200771,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020078,2,78,1,4,0,0,0,0,0,90,50,50,500,91002,30,124432,5,94002,19700,0,0,0,0,0,0,2100178,0,40004,101311,-100,710200781,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020079,2,79,1,2,0,0,0,0,0,90,50,50,500,91002,30,124522,5,94002,19800,0,0,0,0,0,0,2100179,0,40004,101311,-100,710200791,-335,0,0.7,-168,0,0.7,-1,0,0.55,166,0,0.7,333,0,0.7,bgm_M127,1
71020080,2,80,1,1,0,1,0,0,0,90,50,50,500,140000,1,91002,100,31036,3,94002,19900,0,0,0,0,2100180,0,40004,101313,-100,710200801,-335,0,0.9,-168,0,0.9,-1,0,0.7,166,-20,0.7,333,0,0.7,bgm_M126,1
71020081,2,81,1,3,0,0,0,0,0,90,50,50,500,91002,30,114162,5,94002,20000,0,0,0,0,0,0,2100181,0,40004,101311,-100,710200811,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020082,2,82,1,4,0,0,0,0,0,90,50,50,500,91002,30,124042,5,94002,20100,0,0,0,0,0,0,2100182,0,40004,101311,-100,710200821,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020083,2,83,1,2,0,0,0,0,0,90,50,50,500,91002,30,114102,5,94002,20200,0,0,0,0,0,0,2100183,0,40004,101311,-100,710200831,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020084,2,84,1,1,0,0,0,0,0,90,50,50,500,91002,30,114072,5,94002,20300,0,0,0,0,0,0,2100184,0,40004,101311,-100,710200841,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020085,2,85,1,3,0,0,0,0,0,90,50,50,500,91002,30,124192,5,94002,20400,0,0,0,0,0,0,2100185,0,40004,101311,-100,710200851,-335,0,0.7,-168,0,0.7,-1,0,0.55,166,0,0.7,333,0,0.7,bgm_M127,1
71020086,2,86,1,4,0,0,0,0,0,90,50,50,500,91002,30,114012,5,94002,20500,0,0,0,0,0,0,2100186,0,40004,101311,-100,710200861,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020087,2,87,1,2,0,0,0,0,0,90,50,50,500,91002,30,124282,5,94002,20600,0,0,0,0,0,0,2100187,0,40004,101311,-100,710200871,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020088,2,88,1,1,0,0,0,0,0,90,50,50,500,91002,30,114222,5,94002,20700,0,0,0,0,0,0,2100188,0,40004,101311,-100,710200881,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020089,2,89,1,3,0,0,0,0,0,90,50,50,500,91002,30,124312,5,94002,20800,0,0,0,0,0,0,2100189,0,40004,101311,-100,710200891,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020090,2,90,1,4,0,1,0,0,0,90,50,50,500,140000,1,91002,100,31044,3,94002,20900,0,0,0,0,2100190,0,40004,101313,-100,710200901,-335,0,0.9,-168,0,0.9,-1,0,0.7,166,-20,0.7,333,0,0.7,bgm_M126,1
71020091,2,91,1,2,0,0,0,0,0,90,50,50,500,91002,30,124342,5,94002,21000,0,0,0,0,0,0,2100191,0,40004,101311,-100,710200911,-335,0,0.9,-168,0,0.7,-1,0,0.55,166,0,0.7,333,0,0.7,bgm_M127,1
71020092,2,92,1,1,0,0,0,0,0,90,50,50,500,91002,30,114252,5,94002,21100,0,0,0,0,0,0,2100192,0,40004,101311,-100,710200921,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020093,2,93,1,3,0,0,0,0,0,90,50,50,500,91002,30,124372,5,94002,21200,0,0,0,0,0,0,2100193,0,40004,101311,-100,710200931,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020094,2,94,1,4,0,0,0,0,0,90,50,50,500,91002,30,114132,5,94002,21300,0,0,0,0,0,0,2100194,0,40004,101311,-100,710200941,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020095,2,95,1,2,0,0,0,0,0,90,50,50,500,91002,30,124432,5,94002,21400,0,0,0,0,0,0,2100195,0,40004,101311,-100,710200951,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020096,2,96,1,1,0,0,0,0,0,90,50,50,500,91002,30,124522,5,94002,21500,0,0,0,0,0,0,2100196,0,40004,101311,-100,710200961,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020097,2,97,1,3,0,0,0,0,0,90,50,50,500,91002,30,114162,5,94002,21600,0,0,0,0,0,0,2100197,0,40004,101311,-100,710200971,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020098,2,98,1,4,0,0,0,0,0,90,50,50,500,91002,30,124042,5,94002,21700,0,0,0,0,0,0,2100198,0,40004,101311,-100,710200981,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020099,2,99,1,2,0,0,0,0,0,90,50,50,500,91002,30,114102,5,94002,21800,0,0,0,0,0,0,2100199,0,40004,101311,-100,710200991,-335,0,1.0,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020100,2,100,1,1,0,1,0,0,0,90,50,50,500,140000,1,91002,100,31023,3,94002,21900,0,0,0,0,2100200,0,40004,101313,-100,710201001,-335,0,0.9,-168,0,0.9,-1,0,0.7,166,0,0.7,333,-20,0.7,bgm_M126,1
71020101,2,101,1,3,0,0,0,0,0,90,50,50,500,91002,30,114072,5,94002,22000,0,0,0,0,0,0,2100201,0,40004,101311,-100,710201011,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
71020102,2,102,1,4,0,0,0,0,0,90,50,50,500,91002,30,124192,5,94002,22100,0,0,0,0,0,0,2100202,0,40004,101311,-100,710201021,-335,0,0.7,-168,0,0.7,-1,0,0.7,166,0,0.7,333,0,0.7,bgm_M127,1
