id,diary_id,seq_num,type,line_num,start_pos,end_pos,seek_time,sheet_name,cue_name,command,command_param
1150030,15,30,4,6,0,0,0.0,0,0,1,2.87013
1150031,15,31,2,0,0,0,0.0,vo_10011600,vo_10011600_1511,0,0.0
1150032,15,32,1,7,0,290,1.558441558,0,0,0,0.0
1150033,15,33,4,7,0,0,0.0,0,0,1,1.758442
1150034,15,34,2,0,0,0,0.0,vo_10011600,vo_10011600_1512,0,0.0
1150035,15,35,1,7,290,770,1.73,0,0,0,0.0
1150036,15,36,4,7,0,0,0.0,0,0,1,2.517532
1150037,15,37,2,0,0,0,0.0,vo_10011600,vo_10011600_1513,0,0.0
1150038,15,38,1,8,0,385,2.494805195,0,0,0,0.0
1150039,15,39,4,8,0,0,0.0,0,0,1,2.494805
1150040,15,40,2,0,0,0,0.0,vo_10011600,vo_10011600_1514,0,0.0
1150041,15,41,1,8,385,770,1.5,0,0,0,0.0
1150042,15,42,4,8,0,0,0.0,0,0,1,2.538961
1150043,15,43,1,9,0,350,0.01,0,0,0,0.0
1150044,15,44,4,9,0,0,0.0,0,0,1,0.0
1150045,15,45,2,0,0,0,0.0,vo_10011600,vo_10011600_1515,0,0.0
1150046,15,46,1,9,350,770,1.32987013,0,0,0,0.0
1160001,16,1,2,0,0,0,0.0,vo_10011600,vo_10011600_1601,0,0.0
1160002,16,2,1,1,0,150,0.623376623,0,0,0,0.0
1160003,16,3,4,1,0,0,0.0,0,0,1,2.123377
1160004,16,4,2,0,0,0,0.0,vo_10011600,vo_10011600_1602,0,0.0
1160005,16,5,1,2,0,700,3.636363636,0,0,0,0.0
1160006,16,6,4,2,0,0,0.0,0,0,1,5.136364
1160007,16,7,2,0,0,0,0.0,vo_10011600,vo_10011600_1603,0,0.0
1160008,16,8,1,3,0,446,1.8,0,0,0,0.0
1160009,16,9,4,3,0,0,0.0,0,0,1,2.184416
1160010,16,10,2,0,0,0,0.0,vo_10011600,vo_10011600_1604,0,0.0
1160011,16,11,1,3,446,510,0.353246753,0,0,0,0.0
1160012,16,12,4,3,0,0,0.0,0,0,1,0.553247
1160013,16,13,2,0,0,0,0.0,vo_10011600,vo_10011600_1605,0,0.0
1160014,16,14,1,3,510,770,1.101298701,0,0,0,0.0
1160015,16,15,4,3,0,0,0.0,0,0,1,1.101299
1160016,16,16,1,4,0,455,1.953246753,0,0,0,0.0
1160017,16,17,4,4,0,0,0.0,0,0,1,2.453247
1160018,16,18,2,0,0,0,0.0,vo_10011600,vo_10011600_1606,0,0.0
1160019,16,19,1,4,455,770,0.78961039,0,0,0,0.0
1160020,16,20,4,4,0,0,0.0,0,0,1,1.78961
1160021,16,21,2,0,0,0,0.0,vo_10011600,vo_10011600_1607,0,0.0
1160022,16,22,1,5,0,512,2.58,0,0,0,0.0
1160023,16,23,4,5,0,0,0.0,0,0,1,2.994805
1160024,16,24,2,0,0,0,0.0,vo_10011600,vo_10011600_1608,0,0.0
1160025,16,25,1,5,512,660,0.748051948,0,0,0,0.0
1160026,16,26,4,5,0,0,0.0,0,0,1,1.998052
1160027,16,27,2,0,0,0,0.0,vo_10011600,vo_10011600_1609,0,0.0
1160028,16,28,1,6,0,465,2.137662,0,0,0,0.0
1160029,16,29,4,6,0,0,0.0,0,0,1,2.137662
1160030,16,30,2,0,0,0,0.0,vo_10011600,vo_10011600_1610,0,0.0
1160031,16,31,1,6,465,710,1.412987013,0,0,0,0.0
1160032,16,32,4,6,0,0,0.0,0,0,1,1.412987
1160033,16,33,1,7,0,208,0.78961039,0,0,0,0.0
1160034,16,34,4,7,0,0,0.0,0,0,1,2.33961
1160035,16,35,2,0,0,0,0.0,vo_10011600,vo_10011600_1611,0,0.0
1160036,16,36,1,7,208,355,0.706493506,0,0,0,0.0
1160037,16,37,4,7,0,0,0.0,0,0,1,1.006494
1160038,16,38,2,0,0,0,0.0,vo_10011600,vo_10011600_1612,0,0.0
1160039,16,39,1,7,355,690,1.454545455,0,0,0,0.0
1160040,16,40,4,7,0,0,0.0,0,0,1,2.954545
1160041,16,41,2,0,0,0,0.0,vo_10011600,vo_10011600_1613,0,0.0
1160042,16,42,1,7,690,770,0.249350649,0,0,0,0.0
1160043,16,43,4,7,0,0,0.0,0,0,1,0.749351
1160044,16,44,2,0,0,0,0.0,vo_10011600,vo_10011600_1614,0,0.0
1160045,16,45,1,8,0,507,2.738961039,0,0,0,0.0
1160046,16,46,4,8,0,0,0.0,0,0,1,3.718961
1160047,16,47,2,0,0,0,0.0,vo_10011600,vo_10011600_1615,0,0.0
1160048,16,48,1,8,507,769,1.0,0,0,0,0.0
1160049,16,49,4,8,0,0,0.0,0,0,1,2.714805
1160050,16,50,1,9,769,770,0.01,0,0,0,0.0
1160051,16,51,4,9,0,0,0.0,0,0,1,0.0
1160052,16,52,2,0,0,0,0.0,vo_10011600,vo_10011600_1616,0,0.0
1160053,16,53,1,9,560,770,0.623376623,0,0,0,0.0
1170001,17,1,2,0,0,0,0.0,vo_10011600,vo_10011600_1701,0,0.0
1170002,17,2,1,1,0,160,1.1,0,0,0,0.0
1170003,17,3,4,1,0,0,0.0,0,0,1,2.164935
1170004,17,4,2,0,0,0,0.0,vo_10011600,vo_10011600_1702,0,0.0
1170005,17,5,1,2,0,150,1.530519481,0,0,0,0.0
1170006,17,6,4,2,0,0,0.0,0,0,1,1.530519
1170007,17,7,2,0,0,0,0.0,vo_10011600,vo_10011600_1703,0,0.0
1170008,17,8,1,2,150,770,4.850649351,0,0,0,0.0
1170009,17,9,4,2,0,0,0.0,0,0,1,4.850649
1170010,17,10,2,0,0,0,0.0,vo_10011600,vo_10011600_1704,0,0.0
1170011,17,11,1,3,0,79,0.85194,0,0,0,0.0
1170012,17,12,4,3,0,0,0.0,0,0,1,2.101948
1170013,17,13,2,0,0,0,0.0,vo_10011600,vo_10011600_1705,0,0.0
1170014,17,14,1,3,79,670,3.477273,0,0,0,0.0
1170015,17,15,4,3,0,0,0.0,0,0,1,4.477273
1170016,17,16,2,0,0,0,0.0,vo_10011600,vo_10011600_1706,0,0.0
1170017,17,17,1,4,0,350,2.862337662,0,0,0,0.0
1170018,17,18,4,4,0,0,0.0,0,0,1,2.862338
1170019,17,19,2,0,0,0,0.0,vo_10011600,vo_10011600_1707,0,0.0
1170020,17,20,1,4,350,650,2.4,0,0,0,0.0
1170021,17,21,4,4,0,0,0.0,0,0,1,3.038312
1170022,17,22,2,0,0,0,0.0,vo_10011600,vo_10011600_1708,0,0.0
1170023,17,23,1,5,0,770,3.768831169,0,0,0,0.0
1170024,17,24,4,5,0,0,0.0,0,0,1,3.768831
1170025,17,25,2,0,0,0,0.0,vo_10011600,vo_10011600_1709,0,0.0
1170026,17,26,1,6,0,357,2.246103896,0,0,0,0.0
1170027,17,27,4,6,0,0,0.0,0,0,1,2.246104
1170028,17,28,2,0,0,0,0.0,vo_10011600,vo_10011600_1710,0,0.0
1170029,17,29,1,6,357,770,1.976623377,0,0,0,0.0
1170030,17,30,4,6,0,0,0.0,0,0,1,1.976623
1170031,17,31,2,0,0,0,0.0,vo_10011600,vo_10011600_1711,0,0.0
1170032,17,32,1,7,0,200,1.383896104,0,0,0,0.0
1170033,17,33,4,7,0,0,0.0,0,0,1,2.783896
1170034,17,34,2,0,0,0,0.0,vo_10011600,vo_10011600_1712,0,0.0
1170035,17,35,1,7,200,430,1.818701299,0,0,0,0.0
1170036,17,36,4,7,0,0,0.0,0,0,1,1.818701
1170037,17,37,2,0,0,0,0.0,vo_10011600,vo_10011600_1713,0,0.0
1170038,17,38,1,7,430,770,2.672727273,0,0,0,0.0
1170039,17,39,4,7,0,0,0.0,0,0,1,2.672727
1170040,17,40,2,0,0,0,0.0,vo_10011600,vo_10011600_1714,0,0.0
1170041,17,41,1,8,0,186,1.1,0,0,0,0.0
1170042,17,42,4,8,0,0,0.0,0,0,1,1.381818
1170043,17,43,2,0,0,0,0.0,vo_10011600,vo_10011600_1715,0,0.0
1170044,17,44,1,8,186,525,2.57,0,0,0,0.0
1170045,17,45,4,8,0,0,0.0,0,0,1,2.600649
1170046,17,46,2,0,0,0,0.0,vo_10011600,vo_10011600_1716,0,0.0
1170047,17,47,1,8,525,770,1.5,0,0,0,0.0
1170048,17,48,4,8,0,0,0.0,0,0,1,2.976623
1170049,17,49,1,9,0,385,1.5,0,0,0,0.0
1170050,17,50,4,9,0,0,0.0,0,0,1,0.0
1170051,17,51,2,0,0,0,0.0,vo_10011600,vo_10011600_1717,0,0.0
1170052,17,52,1,9,385,770,1.5,0,0,0,0.0
